,UGP2 (7360)
ACH-000004,-0.297027425877
ACH-000007,-0.366982755379
ACH-000009,-0.29890689706900003
ACH-000011,-0.412502262679
ACH-000012,-0.253732936624
ACH-000013,-0.21120565117600001
ACH-000014,-0.321025163342
ACH-000015,-0.497700323268
ACH-000017,-0.19386376729200003
ACH-000018,-0.490671644747
ACH-000019,-0.37886845291
ACH-000021,-0.34506426973300003
ACH-000022,-0.18108218537300003
ACH-000025,-0.277579596368
ACH-000028,-0.48734917112099996
ACH-000030,-0.657965144362
ACH-000035,-0.416076407096
ACH-000036,-0.23388864886100003
ACH-000037,-0.381953384248
ACH-000039,-0.41655840292199997
ACH-000040,-0.437191116642
ACH-000041,-0.22646706284
ACH-000042,-0.52562061661
ACH-000045,-0.293100954878
ACH-000047,-0.775453697064
ACH-000052,-0.42582881808300005
ACH-000053,-0.246954453506
ACH-000054,-0.4127186408
ACH-000055,-0.6115613995629999
ACH-000060,-0.223884029898
ACH-000067,-0.346864522775
ACH-000070,-0.58030376204
ACH-000075,-0.148746363122
ACH-000078,-0.36141265927199995
ACH-000082,-0.247324803944
ACH-000085,-0.231192974214
ACH-000086,-0.181060908194
ACH-000087,-0.26834799547
ACH-000092,-0.544789755438
ACH-000095,-0.249274838425
ACH-000097,-0.411785855555
ACH-000098,-0.300058010927
ACH-000099,-0.31782251204100004
ACH-000108,-0.42370869077699996
ACH-000113,-0.412722513375
ACH-000115,-0.335951544742
ACH-000116,-0.31009554747699997
ACH-000118,-0.766770960909
ACH-000120,-0.215112566859
ACH-000123,-0.205617537023
ACH-000127,-0.315378912907
ACH-000128,-0.492146742027
ACH-000132,-0.664418407609
ACH-000133,-0.311951588969
ACH-000137,-0.322753825981
ACH-000138,-0.461425391378
ACH-000142,-0.844581936057
ACH-000143,-0.17299388402399998
ACH-000146,-0.178923029211
ACH-000148,-0.38254427394100005
ACH-000150,-0.073833468707
ACH-000152,-0.365128157083
ACH-000153,-0.483291111372
ACH-000159,-0.48640809968099996
ACH-000160,-0.226291728394
ACH-000163,-0.36613103335
ACH-000167,-0.501982725471
ACH-000168,-0.298539386585
ACH-000169,-0.27924403202500003
ACH-000178,-0.371893679338
ACH-000182,-0.41913915854500006
ACH-000183,-0.793340254161
ACH-000188,-0.5359774348040001
ACH-000189,-0.583694906143
ACH-000190,-0.151714063301
ACH-000198,-0.315449339711
ACH-000204,-0.41362330112499995
ACH-000206,-0.822161995791
ACH-000207,-0.525416944932
ACH-000211,-0.23875032440000002
ACH-000215,-0.177065306298
ACH-000221,-0.174601333541
ACH-000222,-0.729660261482
ACH-000223,-0.539694110809
ACH-000226,-0.263341387057
ACH-000227,-0.321194976438
ACH-000228,-0.329492797438
ACH-000231,-0.279266721663
ACH-000232,0.00235938821142
ACH-000233,-0.523210292915
ACH-000234,-0.442954255144
ACH-000235,-0.45011007772100003
ACH-000237,-0.279644189532
ACH-000238,-0.290641093521
ACH-000243,-0.5029718918230001
ACH-000244,-0.0318657886192
ACH-000246,-0.443362283292
ACH-000248,-0.45590203192900003
ACH-000250,-0.751378068962
ACH-000251,-0.530450954312
ACH-000253,-0.465014241068
ACH-000255,-0.19149417337400002
