,CYP2W1 (54905)
ACH-000004,-0.0759706807136
ACH-000007,-0.49363319656099997
ACH-000009,0.0344751792409
ACH-000011,-0.25800055348400003
ACH-000012,-0.112026466239
ACH-000013,-0.040928806788199996
ACH-000014,-0.20975835267700002
ACH-000015,-0.048419386680300006
ACH-000017,-0.301037007337
ACH-000018,-0.106521863619
ACH-000019,-0.0083880606361
ACH-000021,-0.0885269764333
ACH-000022,-0.146458810376
ACH-000025,-0.26468728585900003
ACH-000028,-0.0935297989968
ACH-000030,-0.0403255462415
ACH-000035,-0.192529056712
ACH-000036,-0.248138675338
ACH-000037,-0.314261405721
ACH-000039,0.156357130265
ACH-000040,-0.13582806212200002
ACH-000041,-0.0731763814616
ACH-000042,-0.49998190136299997
ACH-000045,-0.124514192565
ACH-000047,-0.41449564933399996
ACH-000052,-0.0653622479689
ACH-000053,-0.0702564645873
ACH-000054,-0.127527342459
ACH-000055,-0.101697241893
ACH-000060,-0.33114216758000004
ACH-000067,-0.09461099491039998
ACH-000070,-0.335245120339
ACH-000075,-0.126310360905
ACH-000078,0.0535393889578
ACH-000082,-0.21889344129799998
ACH-000085,-0.398706588157
ACH-000086,0.0031876331913
ACH-000087,-0.0332590158937
ACH-000092,-0.17794252035100003
ACH-000095,-0.145365013061
ACH-000097,-0.141910514144
ACH-000098,-0.0422266549921
ACH-000099,-0.201732366582
ACH-000108,-0.24594015141
ACH-000113,-0.136841952867
ACH-000115,-0.110656839802
ACH-000116,-0.151808925644
ACH-000118,-0.167003323881
ACH-000120,-0.0680668105365
ACH-000123,-0.0672828956585
ACH-000127,-0.09822417395260001
ACH-000128,-0.079019832681
ACH-000132,-0.104055028802
ACH-000133,-0.201268705103
ACH-000137,-0.0947295729843
ACH-000138,-0.081309388506
ACH-000142,-0.249770717451
ACH-000143,-0.188371368107
ACH-000146,-0.12071068374000002
ACH-000148,-0.0673101140988
ACH-000150,0.0657499736777
ACH-000152,-0.126607081221
ACH-000153,-0.0861475665027
ACH-000159,-0.043013177981199996
ACH-000160,-0.381517378719
ACH-000163,-0.45039953177599995
ACH-000167,-0.544395276347
ACH-000168,-0.205113428083
ACH-000169,-0.492287881012
ACH-000178,-0.11878177954000002
ACH-000182,-0.13522591735700001
ACH-000183,-0.012784215021200002
ACH-000188,-0.0687202555167
ACH-000189,-0.200808578517
ACH-000190,-0.0751117518012
ACH-000198,-0.082719036248
ACH-000204,-0.0721664023872
ACH-000206,-0.176592867207
ACH-000207,-0.109993911106
ACH-000211,-0.10208766829
ACH-000215,-0.0651330484899
ACH-000221,-0.09199296087639999
ACH-000222,-0.38189212448700005
ACH-000223,-0.031379330918299995
ACH-000226,-0.10308419831700001
ACH-000227,0.030754264926200002
ACH-000228,-0.07695414003930001
ACH-000231,-0.120466506854
ACH-000232,-0.0351763996969
ACH-000233,-0.0951782592146
ACH-000234,-0.138431134897
ACH-000235,-0.180524865618
ACH-000237,-0.280463855688
ACH-000238,-0.471975354848
ACH-000243,-0.157672193643
ACH-000244,-0.349583908371
ACH-000246,-0.22731291209499999
ACH-000248,-0.242550367337
ACH-000250,-0.177717967623
ACH-000251,-0.154967071134
ACH-000253,-0.408387384876
ACH-000255,-0.0505677769524
ACH-000256,-0.26576126806600003
ACH-000257,-0.202983540962
ACH-000258,-0.207508743627
ACH-000259,-0.263666134569
ACH-000260,-0.07980994173480001
ACH-000261,-0.0636319286654
ACH-000262,-0.06783048897419999
ACH-000263,-0.26597169818599997
ACH-000264,-0.284025779681
ACH-000265,-0.108930222958
ACH-000266,-0.35354454834700005
ACH-000272,-0.108652036606
ACH-000273,-0.151990151393
ACH-000274,-0.39533483181
ACH-000277,-0.15246384382300002
ACH-000278,-0.08381419174669999
ACH-000279,-0.119495873828
ACH-000280,-0.273333410173
ACH-000281,-0.625048489864
ACH-000288,-0.28644186375999997
ACH-000291,-0.0641337864004
ACH-000293,0.004201120743969999
ACH-000294,-0.33592683123499995
ACH-000295,0.208943103161
ACH-000296,0.0300245321659
ACH-000302,-0.059385523005999995
ACH-000304,-0.470375815381
ACH-000307,-0.137142046507
ACH-000308,-0.139776375402
ACH-000310,0.0040800112561
ACH-000311,-0.40177710742399997
ACH-000312,-0.16748715388399998
ACH-000315,-0.199786718336
ACH-000316,-0.281126519822
ACH-000317,-0.206840350913
ACH-000318,-0.0251148183055
ACH-000319,-0.005866077102430001
ACH-000320,-0.16625684587300002
ACH-000322,-0.265942842164
ACH-000323,-0.20200816508699998
ACH-000324,-0.0373485445353
ACH-000329,-0.12539319795
ACH-000330,-0.224111112637
ACH-000331,-0.0634166590698
ACH-000332,-0.193994121968
ACH-000334,-0.119753740239
ACH-000335,0.0624873039947
ACH-000336,-0.08657778512469999
ACH-000337,0.00267663038392
ACH-000339,-0.15569050224300002
ACH-000341,0.252694439245
ACH-000348,-0.163879924229
ACH-000350,-0.22199117840799998
ACH-000352,-0.103799079511
ACH-000356,-0.0746339727093
ACH-000361,0.26857446019299996
ACH-000362,-0.102866902887
ACH-000363,-0.0682884988216
ACH-000364,-0.139362660585
ACH-000365,-0.281849655057
ACH-000366,-0.10084695606
ACH-000368,-0.106219852047
ACH-000374,-0.15230413614399999
ACH-000375,-0.108297965475
ACH-000376,-0.225036378792
ACH-000381,-0.260380339347
ACH-000383,-0.342470342392
ACH-000387,-0.0383595141089
ACH-000389,-0.540818439325
ACH-000390,-0.078809831782
ACH-000393,-0.171041946371
ACH-000395,-0.557940808352
ACH-000397,-0.287153135286
ACH-000401,-0.142372068741
ACH-000402,-0.19622480908700002
ACH-000403,-0.32374880737100004
ACH-000404,-0.0791559843869
ACH-000406,-0.173630874784
ACH-000407,-0.155394538923
ACH-000408,0.137528596767
ACH-000410,-0.0336768822086
ACH-000411,-0.32541884277600003
ACH-000414,-0.12343726622000001
ACH-000415,0.00476632247151
ACH-000416,-0.11902845356599999
ACH-000420,-0.214320135636
ACH-000421,-0.0507394096966
ACH-000424,-0.0676135518864
ACH-000425,-0.17835342394200002
ACH-000426,0.0144657339589
ACH-000427,-0.232139966232
ACH-000433,-0.10613785186699999
ACH-000436,-0.0990880896093
ACH-000444,-0.260818787645
ACH-000445,-0.142623714721
ACH-000448,-0.122305466785
ACH-000450,-0.07674259690989998
ACH-000452,-0.35821235931999995
ACH-000454,0.0668775566996
ACH-000458,-0.121876062463
ACH-000459,-0.39673336049900004
ACH-000460,-0.261166920797
ACH-000461,0.0397572063262
ACH-000463,-0.127418042146
ACH-000464,-0.21178563974
ACH-000466,-0.0394165070569
ACH-000467,-0.40942683089599996
ACH-000468,-0.119606411463
ACH-000469,-0.293055502827
ACH-000470,-0.146855860701
ACH-000471,-0.0276276601135
ACH-000472,-0.0474298989716
ACH-000473,-0.438132734283
ACH-000475,-0.07497571368419999
ACH-000476,-0.35252203131399995
ACH-000477,-0.0914480976218
ACH-000480,0.0050329252874399995
ACH-000481,0.06591519320809999
ACH-000483,0.17332714607500002
ACH-000484,-0.17665570659899998
ACH-000485,-0.532556617995
ACH-000486,-0.14352503155
ACH-000487,-0.131084104148
ACH-000488,-0.204382828619
ACH-000490,-0.0686351401243
ACH-000491,-0.037324067433800005
ACH-000495,-0.0757140683897
ACH-000496,-0.581406014944
ACH-000499,0.060779923043099995
