,PKIG (11142)
ACH-000004,-0.0801728382097
ACH-000007,-0.14818061053
ACH-000009,-0.123358765129
ACH-000011,0.0113832740221
ACH-000012,0.0219259542528
ACH-000013,0.0634236544723
ACH-000014,-0.08665905886219999
ACH-000015,0.0193719301904
ACH-000017,-0.188654757355
ACH-000018,-0.0488593326998
ACH-000019,-0.278912600465
ACH-000021,-0.15268773208
ACH-000022,-0.164299830403
ACH-000025,-0.103993941338
ACH-000028,0.0626220659289
ACH-000030,-0.209938346789
ACH-000035,0.0253938398111
ACH-000036,-0.057250886825400006
ACH-000037,-0.0309755260337
ACH-000039,0.11035380294399999
ACH-000040,0.0233965642178
ACH-000041,0.0724495223691
ACH-000042,-0.352682269082
ACH-000045,-0.0802481611104
ACH-000047,-0.23436681609
ACH-000052,-0.009091907184479999
ACH-000053,-0.014547812242
ACH-000054,-0.050052531057400006
ACH-000055,-0.11873742147800001
ACH-000060,-0.149847528388
ACH-000067,-0.15410689006699999
ACH-000070,-0.0562588772371
ACH-000075,-0.0374567366469
ACH-000078,0.035092557154199996
ACH-000082,-0.177747746007
ACH-000085,-0.277190708384
ACH-000086,-0.08722698255799999
ACH-000087,-0.0476895870213
ACH-000092,-0.216349176814
ACH-000095,0.034959990106900006
ACH-000097,-0.16741280243599999
ACH-000098,-0.0292534430369
ACH-000099,0.0485293135596
ACH-000108,-0.189715804531
ACH-000113,-0.12923358785999997
ACH-000115,-0.17747318357
ACH-000116,0.0643454732987
ACH-000118,-0.09952759854969999
ACH-000120,-0.031176233552599995
ACH-000123,-0.109658713145
ACH-000127,-0.053019765448199994
ACH-000128,-0.147714001786
ACH-000132,0.0101204828797
ACH-000133,-0.143126560073
ACH-000137,-0.227021008574
ACH-000138,0.128069916153
ACH-000142,0.09916638063380001
ACH-000143,-0.11396733613299999
ACH-000146,-0.00190832526582
ACH-000148,0.00719605913714
ACH-000150,0.0207978328031
ACH-000152,-0.114312642473
ACH-000153,-0.196675564859
ACH-000159,-0.0323094691541
ACH-000160,-0.251174635703
ACH-000163,-0.108925405221
ACH-000167,-0.150497343158
ACH-000168,0.206195004967
ACH-000169,-0.0239684141291
ACH-000178,-0.0495750300359
ACH-000182,-0.293221314838
ACH-000183,-0.0705585258055
ACH-000188,-0.103234057495
ACH-000189,-0.09653128413869999
ACH-000190,-0.11251825255799999
ACH-000198,0.0179821345993
ACH-000204,-0.0879896727533
ACH-000206,0.150182637665
ACH-000207,-0.212123560002
ACH-000211,-0.0696647959396
ACH-000215,-0.0714878449802
ACH-000221,-0.0967035442955
ACH-000222,-0.0618118430612
ACH-000223,-0.0978148926506
ACH-000226,-0.106354841178
ACH-000227,-0.0395415960979
ACH-000228,-0.125123021062
ACH-000231,-0.142533683271
ACH-000232,-0.0663949923285
ACH-000233,-0.149317485158
ACH-000234,-0.0315762369455
ACH-000235,-0.14177921494999998
ACH-000237,-0.0137019362233
ACH-000238,-0.168630493324
ACH-000243,-0.165695784036
ACH-000244,-0.0310901860804
ACH-000246,-0.09669315079560001
ACH-000248,-0.141821232275
ACH-000250,-0.108332270604
ACH-000251,0.10930310193800001
ACH-000253,-0.0738753939722
ACH-000255,-0.192441521401
ACH-000256,-0.21385236983699998
ACH-000257,-0.127439826064
ACH-000258,-0.325821489261
ACH-000259,-0.0691520792988
ACH-000260,-0.115618035078
ACH-000261,-0.207875669003
ACH-000262,0.159751281506
ACH-000263,-0.129178146873
ACH-000264,-0.117555539944
ACH-000265,-0.176977238008
ACH-000266,-0.0982347434657
ACH-000272,-0.07588170474980001
ACH-000273,-0.0250061934035
ACH-000274,-0.22719708324700003
ACH-000277,-0.291952956294
ACH-000278,-0.196599980191
ACH-000279,0.09267038604280001
ACH-000280,-0.306943982207
ACH-000281,-0.162048557623
ACH-000288,-0.04867899433680001
ACH-000291,-0.11038510861199999
ACH-000293,-0.141304103954
ACH-000294,-0.0484351920789
ACH-000295,-0.07899800142539999
ACH-000296,-0.11778570475299999
ACH-000302,0.0181439784294
ACH-000304,-0.258858113387
ACH-000307,-0.0257088004371
ACH-000308,-0.11203389560900001
ACH-000310,0.130143236639
ACH-000311,-0.130242888756
ACH-000312,-0.20041913126
ACH-000315,-0.34434835195299995
ACH-000316,0.069761770919
ACH-000317,0.0406356192381
ACH-000318,-0.162472390364
ACH-000319,0.0637357152726
ACH-000320,-0.223297549385
ACH-000322,-0.361561165132
ACH-000323,-0.12402115510600001
ACH-000324,-0.0328258168554
ACH-000329,-0.0726277103382
ACH-000330,-0.160972262732
ACH-000331,-0.182226194587
ACH-000332,-0.0934305739242
ACH-000334,0.160218761097
ACH-000335,-0.0511929770261
ACH-000336,0.20131370462900003
ACH-000337,-0.22386857140900002
ACH-000339,-0.0633237060189
ACH-000341,-0.161857568224
ACH-000348,-0.0240504444458
ACH-000350,-0.12957132192600002
ACH-000352,0.07746589593160001
ACH-000356,0.0867778356102
ACH-000361,-0.330148659262
ACH-000362,0.061432559449500004
ACH-000363,0.0007670907405460001
ACH-000364,-0.0120643309118
ACH-000365,-0.014453363305799998
ACH-000366,-0.0782600999597
ACH-000368,-0.21120791118299997
ACH-000374,0.089463143321
ACH-000375,-0.0494413004739
ACH-000376,-0.0217131117943
ACH-000381,0.110733158456
ACH-000383,-0.06489288154680001
ACH-000387,0.12069775404899999
ACH-000389,-0.11327531670299999
ACH-000390,-0.00923608314727
ACH-000393,-0.121992886479
ACH-000395,-0.198673804082
ACH-000397,-0.11382124534000002
ACH-000401,-0.160182464725
ACH-000402,0.15877228335899998
ACH-000403,-0.267426658263
ACH-000404,0.022231300008999998
ACH-000406,-0.0291309543441
ACH-000407,-0.09149799567360001
ACH-000408,0.031014540323799997
ACH-000410,0.122564374635
ACH-000411,-0.0688708430566
ACH-000414,-0.211604492726
ACH-000415,0.016268539555
ACH-000416,-0.142080296185
ACH-000420,-0.0870361505082
ACH-000421,0.011972442457999999
ACH-000424,-0.302796308558
ACH-000425,-0.168922931574
ACH-000426,0.09367119873579999
ACH-000427,-0.19558998545899997
ACH-000433,-0.0347457712657
ACH-000436,-0.10364506382099999
ACH-000444,-0.111221229849
ACH-000445,-0.00896138258903
ACH-000448,-0.0110966434933
ACH-000450,0.0953370313827
ACH-000452,-0.08309346765589999
ACH-000454,0.034054241888200006
ACH-000458,-0.127092842935
ACH-000459,0.233429463112
ACH-000460,-0.06986808989689999
ACH-000461,-0.215095003533
ACH-000463,-0.20030351329399998
ACH-000464,-0.0613818917355
ACH-000466,-0.13287174815400002
ACH-000467,-0.184993329263
ACH-000468,-0.133858310665
ACH-000469,-0.0990674349513
ACH-000470,-0.21281342188400001
ACH-000471,0.00191376409132
ACH-000472,-0.0641504043111
ACH-000473,-0.18438561215
ACH-000475,-0.17974412147399998
ACH-000476,-0.0157928843287
ACH-000477,-0.05408257377569999
ACH-000480,-0.317062340558
ACH-000481,0.00095965190187
ACH-000483,-0.037340410881099996
ACH-000484,-0.302817313921
ACH-000485,-0.0979566526697
ACH-000486,-0.0850436517717
ACH-000487,-0.101081309108
ACH-000488,-0.29486535183
ACH-000490,-0.11151507136199999
ACH-000491,-0.089556000931
ACH-000495,0.013438182488799999
ACH-000496,-0.22240213581999999
ACH-000499,-0.0419342417287
ACH-000500,-0.22895086310899998
ACH-000502,-0.138663681515
ACH-000503,0.0925799209207
ACH-000505,-0.082774246794
ACH-000507,-0.0437060604304
ACH-000510,-0.0508352600216
ACH-000511,-0.0152632277785
ACH-000512,-0.00619757735643
ACH-000516,-0.115296951585
ACH-000517,-0.05186531928859999
ACH-000518,-0.194595935213
ACH-000520,0.096682110792
ACH-000521,-0.241244328231
ACH-000522,-0.109454179733
