,LIPM (340654)
ACH-000004,-0.290217903049
ACH-000007,-0.473719503297
ACH-000009,-0.32853039624
ACH-000011,-0.34528079310800003
ACH-000012,-0.33423709117600003
ACH-000013,-0.164370712776
ACH-000014,-0.204248874887
ACH-000015,-0.378810749124
ACH-000017,-0.16844567309300001
ACH-000018,-0.316637074496
ACH-000019,-0.452549881626
ACH-000021,-0.182573122018
ACH-000022,-0.283347640227
ACH-000025,-0.48507398700800003
ACH-000028,-0.33252025071400004
ACH-000030,-0.322664124655
ACH-000035,-0.277854776255
ACH-000036,-0.32119163341699997
ACH-000037,-0.440807957671
ACH-000039,-0.503063410713
ACH-000040,-0.376512035899
ACH-000041,-0.46200539294799997
ACH-000042,-0.350874947045
ACH-000045,-0.411284323621
ACH-000047,-0.278366617088
ACH-000052,-0.409161699666
ACH-000053,-0.36263873874799996
ACH-000054,-0.456200468318
ACH-000055,-0.400500531025
ACH-000060,-0.47478914675899997
ACH-000067,-0.330465774635
ACH-000070,-0.510603897111
ACH-000075,-0.2678276028
ACH-000078,-0.207573682584
ACH-000082,-0.338029075279
ACH-000085,-0.390447794517
ACH-000086,-0.29751375047
ACH-000087,-0.539851938496
ACH-000092,-0.17849094114100003
ACH-000095,-0.35087598231600003
ACH-000097,-0.242901096747
ACH-000098,-0.29737265713399996
ACH-000099,-0.309691307286
ACH-000108,-0.200038264047
ACH-000113,-0.275495936848
ACH-000115,-0.282264326283
ACH-000116,-0.30015260648000003
ACH-000118,-0.278318132178
ACH-000120,-0.12261884256
ACH-000123,-0.369647113927
ACH-000127,-0.400463536848
ACH-000128,-0.14899733729
ACH-000132,-0.26982567144499997
ACH-000133,-0.375929607086
ACH-000137,-0.269429089492
ACH-000138,-0.10731925618100001
ACH-000142,-0.21411768366
ACH-000143,-0.286582701521
ACH-000146,-0.19334360743299997
ACH-000148,-0.36588979286
ACH-000150,-0.251350688911
ACH-000152,-0.282052926206
ACH-000153,-0.567928979856
