,HYKK (123688)
ACH-000004,-0.284768687827
ACH-000007,-0.29743782792
ACH-000009,-0.30560862635200003
ACH-000011,-0.09732798310039999
ACH-000012,-0.15172759078
ACH-000013,-0.115665859276
ACH-000014,-0.216778563729
ACH-000015,-0.22834322512
ACH-000017,-0.48239607319600003
ACH-000018,-0.136735330555
ACH-000019,-0.314611539467
ACH-000021,-0.0420021268444
ACH-000022,-0.119913402783
ACH-000025,0.04908492828409999
ACH-000028,-0.183081569574
ACH-000030,-0.139200619336
ACH-000035,-0.0885412123426
ACH-000036,0.062381417187299996
ACH-000037,-0.0615033111235
ACH-000039,-0.08670527524689998
ACH-000040,0.0147849477612
ACH-000041,-0.265340148411
ACH-000042,-0.21594566797400003
ACH-000045,-0.0986831463307
ACH-000047,-0.187752746591
ACH-000052,-0.0788727401955
ACH-000053,-0.131512599328
ACH-000054,-0.25002577600299997
ACH-000055,-0.0035632170889899994
ACH-000060,-0.159064173569
ACH-000067,-0.0782007427962
ACH-000070,-0.0191168652
ACH-000075,-0.141032628899
ACH-000078,-0.34171712684199995
ACH-000082,-0.21160048928800002
ACH-000085,-0.41478351323299995
ACH-000086,-0.0966823787703
ACH-000087,-0.19003679489300002
ACH-000092,-0.168356918178
ACH-000095,-0.22707172957400001
ACH-000097,-0.268604123137
ACH-000098,-0.0921860645222
ACH-000099,-0.29051069158500004
ACH-000108,-0.0399554647655
ACH-000113,-0.132560011275
ACH-000115,-0.259637534051
ACH-000116,-0.117702175741
ACH-000118,-0.11800774455600001
ACH-000120,-0.0574007040709
ACH-000123,-0.23616060831099997
ACH-000127,-0.14261953863399998
ACH-000128,-0.07124707971510001
ACH-000132,-0.169159239208
ACH-000133,0.0501944251882
ACH-000137,-0.11781842318499999
ACH-000138,0.017472729592
ACH-000142,0.0310864317433
ACH-000143,-0.22321149218400002
ACH-000146,-0.19987146754500001
ACH-000148,-0.131653398852
ACH-000150,-0.0169059763636
ACH-000152,-0.07742716674710001
ACH-000153,-0.019453601457
ACH-000159,-0.059218913174800006
ACH-000160,-0.0847890545404
ACH-000163,-0.0683382674919
ACH-000167,-0.125097539176
ACH-000168,-0.166420796712
ACH-000169,-0.18131769390299998
ACH-000178,-0.0282213880255
ACH-000182,-0.179032879668
ACH-000183,-0.15342180326899998
ACH-000188,-0.06658349509480001
ACH-000189,0.09852741138219999
ACH-000190,-0.203129856921
ACH-000198,-0.256378346882
ACH-000204,-0.16138434713400002
ACH-000206,-0.16529538445800002
ACH-000207,0.157050290736
ACH-000211,-0.19529389498100003
ACH-000215,-0.0880258210083
ACH-000221,-0.07806197377339999
ACH-000222,-0.13810918390000002
ACH-000223,-0.298527947934
ACH-000226,-0.0287407897029
ACH-000227,-0.271959834741
ACH-000228,-0.020600648322000002
ACH-000231,-0.048488884599699994
ACH-000232,-0.15788687110400002
ACH-000233,-0.227943465025
ACH-000234,-0.0948529639735
ACH-000235,-0.21678526150199998
ACH-000237,-0.374222433367
ACH-000238,-0.0206733787534
ACH-000243,-0.209311014912
ACH-000244,-0.267963455489
ACH-000246,-0.10869379000999999
ACH-000248,-0.358400778137
ACH-000250,-0.16426257338300002
ACH-000251,0.096241843435
ACH-000253,-0.09309203083889998
ACH-000255,-0.257016721738
ACH-000256,-0.0192128985019
ACH-000257,-0.0781284024804
ACH-000258,-0.284374940617
ACH-000259,-0.10278677585899999
ACH-000260,-0.200854691153
ACH-000261,-0.198316057023
ACH-000262,-0.0372790704159
ACH-000263,-0.674392766074
ACH-000264,-0.1312168216
ACH-000265,-0.23112622528700003
ACH-000266,-0.2310751476
ACH-000272,-0.190823439556
ACH-000273,-0.124962955478
ACH-000274,-0.15196518263
ACH-000277,-0.478810945773
ACH-000278,-0.292331818735
ACH-000279,-0.201600721642
ACH-000280,-0.0922027095575
ACH-000281,-0.36636310713299997
ACH-000288,-0.019275326937900003
ACH-000291,-0.275783545497
ACH-000293,-0.063831324348
ACH-000294,-0.0789688659748
ACH-000295,-0.0354880692926
ACH-000296,-0.0835734940906
ACH-000302,-0.160831402771
ACH-000304,-0.36645107081399997
ACH-000307,-0.2959726978
ACH-000308,-0.261213109039
ACH-000310,-0.586211811268
ACH-000311,-0.0399043359092
ACH-000312,-0.182257882245
ACH-000315,-0.114580329098
ACH-000316,-0.158489702762
ACH-000317,-0.00505432746832
ACH-000318,-0.286487161112
ACH-000319,-0.12117258379000001
ACH-000320,-0.06693593790180001
ACH-000322,-0.4995898666
ACH-000323,-0.128834204694
ACH-000324,-0.056174558267400004
ACH-000329,-0.116968672151
ACH-000330,-0.223346157791
ACH-000331,-0.0710516179915
ACH-000332,-0.137399620102
ACH-000334,-0.204776490482
ACH-000335,0.0480384345328
ACH-000336,-0.0680125260607
ACH-000337,-0.0589005023217
ACH-000339,-0.0623796381816
ACH-000341,-0.23420016200899998
ACH-000348,-0.17337584950999999
ACH-000350,-0.38809556708899995
ACH-000352,-0.263911524778
ACH-000356,-0.166246546795
ACH-000361,0.137107563506
ACH-000362,-0.130469422784
ACH-000363,-0.30474714457400004
ACH-000364,-0.0288306264271
ACH-000365,-0.17717947665999997
ACH-000366,-0.146658444555
ACH-000368,-0.151116362899
ACH-000374,0.00626492817086
ACH-000375,-0.184304293332
ACH-000376,-0.0696762522387
ACH-000381,-0.027833990927900003
ACH-000383,-0.122986469212
ACH-000387,-0.20126946179299998
ACH-000389,-0.163711757382
ACH-000390,-0.0952766947807
ACH-000393,-0.241367384399
ACH-000395,0.0016908331532100001
ACH-000397,-0.039487565468
ACH-000401,-0.160292694638
ACH-000402,0.00858462882309
ACH-000403,-0.0887121612816
ACH-000404,-0.0941723796222
ACH-000406,-0.10260019519500001
ACH-000407,-0.211746109351
ACH-000408,0.0196838671923
ACH-000410,-0.107787444145
ACH-000411,-0.257549856028
ACH-000414,-0.286626105315
ACH-000415,0.007963024995439999
ACH-000416,-0.17485409075199998
ACH-000420,-0.21971256697799998
ACH-000421,-0.204760927645
ACH-000424,-0.384972811336
ACH-000425,-0.255270413785
ACH-000426,-0.17841417443500002
ACH-000427,0.0775425649577
ACH-000433,-0.14857864023700001
ACH-000436,-0.24562168595400002
ACH-000444,-0.084736182445
ACH-000445,-0.249005027441
ACH-000448,-0.20602165825999996
ACH-000450,-0.122140927146
