,NAE1 (8883)
ACH-000004,-1.18443672141
ACH-000007,-1.2327886482
ACH-000009,-1.15310439428
ACH-000011,-1.0400684010799999
ACH-000012,-1.1084669791500001
ACH-000013,-0.811348875181
ACH-000014,-1.28819124236
ACH-000015,-1.08941276125
ACH-000017,-1.63516157877
ACH-000018,-0.709476894622
ACH-000019,-0.969666394014
ACH-000021,-1.34269969354
ACH-000022,-0.854095918699
ACH-000025,-1.17772668891
ACH-000028,-1.2287415804700001
ACH-000030,-1.28206583006
ACH-000035,-1.143573875
ACH-000036,-0.996685848008
ACH-000037,-0.9956365308390001
ACH-000039,-1.52528368835
ACH-000040,-1.0522524461799998
ACH-000041,-1.43720465951
ACH-000042,-1.4166954383700001
ACH-000045,-0.955365690931
ACH-000047,-0.8515461301880001
ACH-000052,-1.38650883694
ACH-000053,-0.650684700406
ACH-000054,-1.1925643977299998
ACH-000055,-1.24442310539
ACH-000060,-0.960081540965
ACH-000067,-1.20282634888
ACH-000070,-0.616889383781
ACH-000075,-1.4307893516999999
ACH-000078,-1.1892446185299999
ACH-000082,-0.562317936754
ACH-000085,-0.8849702423370001
ACH-000086,-1.1960633119
ACH-000087,-1.43331193129
ACH-000092,-0.592526403345
ACH-000095,-1.05921021784
ACH-000097,-1.23079691253
ACH-000098,-0.982991370362
ACH-000099,-1.0757968255500001
ACH-000108,-0.928101141943
ACH-000113,-0.720522735591
ACH-000115,-1.18343244786
ACH-000116,-1.03913721746
ACH-000118,-1.03084670204
ACH-000120,-1.04969141957
ACH-000123,-1.15643455036
ACH-000127,-0.927621769754
ACH-000128,-0.996443402211
ACH-000132,-1.1370809173999998
ACH-000133,-1.5955855948
ACH-000137,-1.47783412655
ACH-000138,-1.32556452722
ACH-000142,-1.3741386521799999
ACH-000143,-0.889196643765
ACH-000146,-1.18630206465
ACH-000148,-1.3155791825
ACH-000150,-1.245007661
ACH-000152,-1.34543087636
ACH-000153,-1.02458033126
ACH-000159,-1.32996398032
ACH-000160,-1.6645893784299999
ACH-000163,-0.9575621998970001
ACH-000167,-1.1784957092100001
ACH-000168,-1.0274684887999999
ACH-000169,-0.8896806391650001
ACH-000178,-1.0156406926600001
ACH-000182,-1.2787210081799998
ACH-000183,-1.1172315308
ACH-000188,-1.17209735496
ACH-000189,-1.29241880171
ACH-000190,-1.47674963711
ACH-000198,-0.98494060539
ACH-000204,-1.10277608902
ACH-000206,-1.34365751632
ACH-000207,-1.13802904223
ACH-000211,-1.31129560639
ACH-000215,-1.14507299786
ACH-000221,-1.12532156052
ACH-000222,-1.38062095193
ACH-000223,-1.18693128221
ACH-000226,-0.865781169853
ACH-000227,-0.9061946186229999
ACH-000228,-1.1440181090700001
ACH-000231,-1.17644818585
ACH-000232,-0.8864301471029999
ACH-000233,-1.08034815792
ACH-000234,-1.06904014487
ACH-000235,-1.2635259738299998
