,XPOT (11260)
ACH-000004,-0.336916054186
ACH-000007,-0.416995575779
ACH-000009,-0.805199397228
ACH-000011,-0.577533658538
ACH-000012,-0.48324487968900004
ACH-000013,-0.674322255821
ACH-000014,-0.647074138632
ACH-000015,-0.34731089779200003
ACH-000017,-0.16996279369399997
ACH-000018,-0.42180417710900003
ACH-000019,-0.30332426651
ACH-000021,-0.374902400947
ACH-000022,-0.256044419859
ACH-000025,-0.757860533704
ACH-000028,-0.19734691415199998
ACH-000030,-0.40765456974
ACH-000035,-0.5736969968869999
ACH-000036,-0.435411563648
ACH-000037,-0.0647318074747
ACH-000039,-0.505854528621
ACH-000040,-0.406574599431
ACH-000041,-0.342838320034
ACH-000042,-0.490247354752
ACH-000045,-0.574223945417
ACH-000047,-0.603288901797
ACH-000052,-0.682256335616
ACH-000053,-0.101216613767
ACH-000054,-0.131886753537
ACH-000055,-0.7393882384129999
ACH-000060,-0.514178925383
ACH-000067,-0.47082577154399996
ACH-000070,-1.06164673048
ACH-000075,-0.920751920798
ACH-000078,-0.18181129120099998
ACH-000082,-0.409490198944
ACH-000085,-0.377910989643
ACH-000086,-0.558495691526
ACH-000087,-0.529823108708
ACH-000092,-0.281523254014
ACH-000095,-0.5146921411600001
ACH-000097,0.13476421229
ACH-000098,-0.275271415711
ACH-000099,-0.213211554537
ACH-000108,-0.250418907302
ACH-000113,-0.319533218127
ACH-000115,-0.030814559866
ACH-000116,-0.49956916233599996
ACH-000118,-0.7378418430079999
ACH-000120,-0.284847529658
ACH-000123,-0.41490963644900003
ACH-000127,-0.36554420484399996
ACH-000128,-0.626852224823
ACH-000132,-0.324204961556
ACH-000133,-0.375779312312
ACH-000137,-0.5478038462579999
ACH-000138,-0.51811216599
ACH-000142,-0.459966779983
ACH-000143,-0.515821387511
ACH-000146,-0.209592893645
ACH-000148,-0.550506124669
ACH-000150,-0.42454597034900005
ACH-000152,-0.0507174827755
ACH-000153,-1.09525163392
ACH-000159,-0.481549117673
ACH-000160,-0.40656716871200005
ACH-000163,-0.410160254705
