,POLQ (10721)
ACH-000004,-0.8461503943690001
ACH-000007,-0.548460008088
ACH-000009,-0.5254103582949999
ACH-000011,-0.41699168818899995
ACH-000012,-0.45700277788599997
ACH-000013,-0.261383253549
ACH-000014,-0.5188559897249999
ACH-000015,-0.32910845699499996
ACH-000017,-0.435310311522
ACH-000018,-0.37004479315
ACH-000019,-0.9375936579430001
ACH-000021,-0.504445700171
ACH-000022,-0.329413304914
ACH-000025,-0.5264172167800001
ACH-000028,-0.497385420387
ACH-000030,-0.38324707311300005
ACH-000035,-0.578067682921
ACH-000036,-0.724025730649
ACH-000037,-0.129510741846
ACH-000039,-0.7509578816779999
ACH-000040,-0.38405789026
ACH-000041,-0.37131237467100003
ACH-000042,-0.397193227467
ACH-000045,-0.49695428047
ACH-000047,-0.515729511428
ACH-000052,-0.16235131209200002
ACH-000053,-0.660592195796
ACH-000054,-0.494597852975
ACH-000055,-0.286479622928
ACH-000060,-0.27422944093199997
ACH-000067,-0.6921088621960001
ACH-000070,-0.434268995263
ACH-000075,-0.5703097602970001
ACH-000078,-0.46049702666500003
ACH-000082,-0.378483631843
ACH-000085,-0.08383836362689999
ACH-000086,-0.697687906417
ACH-000087,-0.232355630653
ACH-000092,-0.343791264623
ACH-000095,-0.422018594602
ACH-000097,-0.598144942764
ACH-000098,-0.48075470577600005
ACH-000099,-0.5481418843399999
ACH-000108,-0.527776881299
ACH-000113,-0.472987991272
ACH-000115,-0.300863463851
ACH-000116,-0.35283720308
ACH-000118,-0.541412457812
ACH-000120,-0.36827229704899994
ACH-000123,-0.540555996063
ACH-000127,-0.199667057029
ACH-000128,-0.5613295122899999
ACH-000132,-0.518536433232
ACH-000133,-0.45500152806199995
ACH-000137,-0.468237832297
ACH-000138,-0.455040184806
ACH-000142,-0.226891643303
ACH-000143,-0.410029529767
ACH-000146,-0.37280703250200004
ACH-000148,-0.42358619751000004
ACH-000150,-0.107713606399
ACH-000152,-0.642439506358
ACH-000153,-0.5508869766669999
ACH-000159,-0.391876181939
ACH-000160,-0.7057951164409999
ACH-000163,-0.501461192769
ACH-000167,-0.7088418340420001
ACH-000168,-0.430989184612
ACH-000169,-0.388040065713
ACH-000178,-0.269382774865
ACH-000182,-0.262799532319
ACH-000183,-0.5849767242189999
ACH-000188,-0.354869188881
ACH-000189,-0.496068589432
ACH-000190,-0.39695024897799996
ACH-000198,-0.307906196877
ACH-000204,-0.571248084918
ACH-000206,-0.478007568895
ACH-000207,-0.7207966716399999
ACH-000211,-0.6220578387479999
ACH-000215,-0.331991592134
ACH-000221,-0.33602839399400003
ACH-000222,-0.48086043537600004
ACH-000223,-1.29689776016
ACH-000226,-0.730594807228
ACH-000227,-0.47269255257
ACH-000228,-0.573272077614
ACH-000231,-0.462589353396
ACH-000232,-0.42658898678499996
ACH-000233,-0.428768776997
ACH-000234,-0.133274770039
ACH-000235,-0.34664348980099996
ACH-000237,-0.313272018989
ACH-000238,-0.162423859784
ACH-000243,-0.626169824185
ACH-000244,-0.407235168943
ACH-000246,-0.514167599428
ACH-000248,-0.559951554239
ACH-000250,-0.271142081995
ACH-000251,-0.5437944098749999
ACH-000253,-0.318451276259
ACH-000255,-0.457766649413
ACH-000256,-0.162443239356
ACH-000257,-0.207622283774
ACH-000258,-0.811445419764
ACH-000259,-0.21745837311500002
ACH-000260,-0.46045179924699997
ACH-000261,-0.470925065434
ACH-000262,-0.393117129632
ACH-000263,-0.595315568969
ACH-000264,-0.45023097008999996
ACH-000265,-0.47844844187299995
ACH-000266,-0.624979249112
ACH-000272,-0.475088767989
ACH-000273,-0.393421718149
ACH-000274,-0.583788739283
ACH-000277,-0.407434352893
ACH-000278,-0.31708942656800004
ACH-000279,-0.36884181329800003
ACH-000280,-0.593887158325
ACH-000281,-0.284953585896
ACH-000288,-0.387479037882
ACH-000291,-0.239009820647
ACH-000293,-0.43609116023199995
ACH-000294,-0.6579485437579999
ACH-000295,-0.0255686321367
ACH-000296,-0.815038733319
ACH-000302,-0.632016059632
ACH-000304,-0.47473412909999996
ACH-000307,-0.354465972583
ACH-000308,-0.264504388415
ACH-000310,-0.517506807098
ACH-000311,-0.6003624195880001
ACH-000312,-0.41389632099
ACH-000315,-0.22019288864599998
ACH-000316,-0.34652152310999995
ACH-000317,-0.391239869964
ACH-000318,-0.462339977988
ACH-000319,-0.273676600156
ACH-000320,-0.389150917391
ACH-000322,-0.48921934029700004
ACH-000323,-0.504504284375
ACH-000324,-0.801351284024
ACH-000329,-0.333490497286
ACH-000330,-0.274815064901
