,SH3PXD2B (285590)
ACH-000004,-0.022572308840999998
ACH-000007,-0.140643847855
ACH-000009,-0.15902787145199998
ACH-000011,-0.110872778823
ACH-000012,-0.022221968535099997
ACH-000013,-0.0147722715487
ACH-000014,0.11668024596200001
ACH-000015,-0.16437885832000002
ACH-000017,-0.190407514981
ACH-000018,-0.0083541539379
ACH-000019,-0.138544991155
ACH-000021,0.0014593470969300002
ACH-000022,-0.0801954848487
ACH-000025,0.13827098593599998
ACH-000028,-0.0109420160864
ACH-000030,0.0587359687177
ACH-000035,-0.0223942550973
ACH-000036,-0.11312873240499999
ACH-000037,-0.268566039236
ACH-000039,-0.12257009170999998
ACH-000040,-0.250832625803
ACH-000041,-0.055779170125099996
ACH-000042,-0.104960343637
ACH-000045,-0.135730866328
ACH-000047,-0.04619608723119999
ACH-000052,0.000622631091286
ACH-000053,-0.141615905109
ACH-000054,-0.0325183152885
ACH-000055,-0.119682002885
ACH-000060,-0.028702371578900005
ACH-000067,-0.0139898520139
ACH-000070,-0.054173633696800005
ACH-000075,-0.0406594332495
ACH-000078,-0.0639118107894
ACH-000082,-0.055014571429699996
ACH-000085,-0.0518579570729
ACH-000086,0.0199458379653
ACH-000087,0.229500560409
ACH-000092,-0.126522337497
ACH-000095,-0.174692814376
ACH-000097,-0.22722381098400002
ACH-000098,-0.254828488363
ACH-000099,-0.06964862951510001
ACH-000108,-0.14224303215700002
ACH-000113,-0.104316630956
ACH-000115,-0.22024544789500003
ACH-000116,-0.115009387228
ACH-000118,-0.0658893268878
ACH-000120,-0.0704810689445
ACH-000123,0.0400764879931
ACH-000127,0.00271634327301
ACH-000128,-0.055055480289
ACH-000132,-0.163817958336
ACH-000133,-0.11345647293299999
ACH-000137,-0.12146256662499999
ACH-000138,-0.057732040226999994
ACH-000142,-0.05623480429430001
ACH-000143,-0.18578719210099998
ACH-000146,-0.0525731800957
ACH-000148,-0.12357782905300001
ACH-000150,-0.21130141393899998
ACH-000152,-0.013454375266799998
ACH-000153,0.249226505297
ACH-000159,-0.011306669074799998
ACH-000160,-0.083044555021
ACH-000163,0.017395179617700002
ACH-000167,0.0572423366675
ACH-000168,-0.17632230048099998
ACH-000169,-0.061233759948399996
ACH-000178,0.0458424758255
ACH-000182,-0.0222086665446
ACH-000183,-0.0820509771718
ACH-000188,-0.03923339338180001
ACH-000189,0.21733781075999997
ACH-000190,-0.239658795658
ACH-000198,0.0914663883546
ACH-000204,-0.19671131476599998
ACH-000206,-0.197935544857
ACH-000207,-0.0332465322133
ACH-000211,-0.06583314699130001
ACH-000215,0.070097220859
