,FTO (79068)
ACH-000004,-0.19930630665600002
ACH-000007,-0.373101140752
ACH-000009,-0.22784752473
ACH-000011,-0.0677364732422
ACH-000012,-0.0537685982139
ACH-000013,-0.115938840895
ACH-000014,-0.262118796791
ACH-000015,-0.160517304532
ACH-000017,-0.0529766367899
ACH-000018,-0.277834140372
ACH-000019,-0.0443024064125
ACH-000021,-0.00225815277046
ACH-000022,-0.124399842728
ACH-000025,-0.11633708060699999
ACH-000028,-0.227002286756
ACH-000030,-0.0216773591601
ACH-000035,-0.267972538252
ACH-000036,-0.359360620314
ACH-000037,-0.128761746736
ACH-000039,-0.109139563583
ACH-000040,-0.0205096443013
ACH-000041,-0.209323448543
ACH-000042,-0.17304261750500002
ACH-000045,0.103299909699
ACH-000047,-0.0685349223719
ACH-000052,-0.42442080604599997
ACH-000053,-0.158439809714
ACH-000054,-0.061385967590899995
ACH-000055,-0.148790973855
ACH-000060,-0.223148098217
ACH-000067,-0.20537399235999998
ACH-000070,-0.257656719446
ACH-000075,-0.0442127995111
ACH-000078,-0.180912863084
ACH-000082,0.011884174413000001
ACH-000085,-0.317204340993
ACH-000086,-0.08157087228019999
ACH-000087,-0.06598395958259999
ACH-000092,-0.00279629807708
ACH-000095,-0.174454024395
ACH-000097,-0.29525839605799997
ACH-000098,-0.165840396927
ACH-000099,-0.183459782557
ACH-000108,0.290900939899
ACH-000113,0.0337124588728
ACH-000115,-0.164390511727
ACH-000116,0.047089100407499994
ACH-000118,0.0196860045408
ACH-000120,-0.165595643048
ACH-000123,-0.250907866619
ACH-000127,-0.15250345578299998
ACH-000128,-0.195156545367
ACH-000132,-0.0373507703114
ACH-000133,-0.050186527428400005
ACH-000137,-0.0320915137308
ACH-000138,-0.167850699894
ACH-000142,-0.07191822819680001
ACH-000143,0.0424469202939
ACH-000146,-0.06818403199300001
ACH-000148,-0.160175480837
ACH-000150,-0.0953831732365
ACH-000152,-0.0148412392501
ACH-000153,-0.207143226414
ACH-000159,-0.159251486369
ACH-000160,0.134528621944
ACH-000163,0.109563786934
ACH-000167,0.531000173333
ACH-000168,0.0848231602135
ACH-000169,0.00289459529779
ACH-000178,-0.21804868379
ACH-000182,-0.247464154558
ACH-000183,-0.15754987090199998
ACH-000188,-0.143459676915
ACH-000189,-0.111359414817
ACH-000190,0.34224049711300003
ACH-000198,-0.272163999232
