,CHAF1A (10036)
ACH-000004,-1.13238537711
ACH-000007,-0.934033898541
ACH-000009,-1.0308535426799998
ACH-000011,-1.22340258688
ACH-000012,-1.3972438305500001
ACH-000013,-1.24172045869
ACH-000014,-1.43832179646
ACH-000015,-1.48250921414
ACH-000017,-1.3258672000799998
ACH-000018,-1.4069750843000002
ACH-000019,-1.2009808067899999
ACH-000021,-1.16956013934
ACH-000022,-1.4772977984
ACH-000025,-1.22723095324
ACH-000028,-1.3091559864700002
ACH-000030,-1.16411162396
ACH-000035,-1.28442121777
ACH-000036,-1.16247775802
ACH-000037,-1.34181960808
ACH-000039,-1.3304943343200002
ACH-000040,-1.0299753769700002
ACH-000041,-1.61384843214
ACH-000042,-0.8735872691050001
ACH-000045,-0.979612831435
ACH-000047,-1.34466799066
ACH-000052,-1.3810093180399998
ACH-000053,-1.03470783355
ACH-000054,-1.1691286793200002
ACH-000055,-1.48596340747
ACH-000060,-1.33303064943
ACH-000067,-1.5809092133700002
ACH-000070,-1.0713379753899999
ACH-000075,-1.19994074094
ACH-000078,-1.44109211434
ACH-000082,-1.2625831211399998
ACH-000085,-1.4860032746
ACH-000086,-1.18512143606
ACH-000087,-1.3975258971899998
ACH-000092,-1.3295162614700002
ACH-000095,-1.2760612141299998
ACH-000097,-1.34446297614
ACH-000098,-1.2343767577
ACH-000099,-1.37592470069
ACH-000108,-1.3515589267500001
ACH-000113,-1.6165023375299998
ACH-000115,-1.86217040247
ACH-000116,-1.70065569444
ACH-000118,-1.1164417526100001
ACH-000120,-1.30052088392
ACH-000123,-1.3257290538
ACH-000127,-1.03574868623
ACH-000128,-1.41662683776
ACH-000132,-1.49306995322
ACH-000133,-1.36760510412
ACH-000137,-1.29819843075
ACH-000138,-1.22737766463
ACH-000142,-1.0566773765000002
ACH-000143,-1.1886461110200002
ACH-000146,-1.25747199529
ACH-000148,-1.14490437481
ACH-000150,-1.1080809836
ACH-000152,-1.08915830885
ACH-000153,-0.7519930338449999
ACH-000159,-1.48462553916
ACH-000160,-1.11038374923
ACH-000163,-0.956271018049
ACH-000167,-1.3431579969299998
ACH-000168,-1.1049291163
ACH-000169,-1.03738473913
ACH-000178,-1.25390742895
ACH-000182,-1.31622249778
ACH-000183,-1.1681296673200001
ACH-000188,-1.48218872726
ACH-000189,-0.912073121152
ACH-000190,-1.0426453717200002
ACH-000198,-1.49058301754
ACH-000204,-1.08404966845
ACH-000206,-1.00707438933
ACH-000207,-1.17009338228
ACH-000211,-1.34079799744
ACH-000215,-1.3988810594499999
ACH-000221,-1.3569668941
ACH-000222,-1.24529678931
ACH-000223,-1.27575041878
ACH-000226,-1.07374071934
ACH-000227,-1.3359018476
ACH-000228,-1.24610202098
ACH-000231,-1.05025830615
ACH-000232,-1.34983746961
ACH-000233,-1.4137223064500002
ACH-000234,-1.38005912311
ACH-000235,-1.2112833613
ACH-000237,-1.4084234300799998
ACH-000238,-1.18946137752
ACH-000243,-1.2175012159899998
ACH-000244,-1.0638724669600002
ACH-000246,-1.25491947183
ACH-000248,-1.2150485045700001
ACH-000250,-1.50052232106
ACH-000251,-0.910962230793
ACH-000253,-1.36876219875
ACH-000255,-1.03917243031
ACH-000256,-1.13029922384
ACH-000257,-1.4551283170200002
ACH-000258,-0.9616675507350001
ACH-000259,-1.21316859185
ACH-000260,-1.3276957604100001
ACH-000261,-1.3101453728599999
ACH-000262,-1.09908191075
ACH-000263,-1.25382070817
ACH-000264,-1.56599152245
ACH-000265,-1.27980426634
ACH-000266,-1.11007317667
ACH-000272,-1.0094044938700002
ACH-000273,-1.2685614574500002
ACH-000274,-1.27237853654
ACH-000277,-1.24805078669
ACH-000278,-1.3791896389200002
ACH-000279,-0.799331870054
ACH-000280,-1.3581019524200002
ACH-000281,-1.0827188997200001
ACH-000288,-0.9156328880750001
ACH-000291,-1.19199862434
ACH-000293,-1.47236221154
ACH-000294,-1.31259720125
ACH-000295,-1.18607869801
ACH-000296,-1.7535319561400002
ACH-000302,-1.36618367421
ACH-000304,-1.49534112171
ACH-000307,-1.18311622294
ACH-000308,-1.34518299591
ACH-000310,-1.3442999795
ACH-000311,-1.09831084273
ACH-000312,-1.18994544891
ACH-000315,-1.30357295367
ACH-000316,-1.1687700026899999
ACH-000317,-0.775526812122
ACH-000318,-1.12924085279
ACH-000319,-1.34307706783
ACH-000320,-1.20275540031
ACH-000322,-1.39099872253
ACH-000323,-1.24388761499
ACH-000324,-1.3361264742499999
ACH-000329,-1.2209411888
ACH-000330,-1.1844541842
ACH-000331,-1.1079816898600001
ACH-000332,-1.32277140834
ACH-000334,-1.18629483503
ACH-000335,-0.816855750974
ACH-000336,-1.62418968425
ACH-000337,-0.9552868285580001
ACH-000339,-1.22205942878
ACH-000341,-1.7359252563699998
ACH-000348,-1.3772460536700002
ACH-000350,-1.34148576182
ACH-000352,-1.28967115601
ACH-000356,-1.04272988783
