,GLIPR1L1 (256710)
ACH-000004,-0.175955404654
ACH-000007,-0.487793797925
ACH-000009,-0.211538541573
ACH-000011,-0.489344361046
ACH-000012,-0.165369510442
ACH-000013,-0.18400951208900002
ACH-000014,-0.33565256588200004
ACH-000015,-0.34771900485600005
ACH-000017,-0.346313096407
ACH-000018,-0.485739635902
ACH-000019,-0.43140596083800004
ACH-000021,-0.280946848644
ACH-000022,-0.38243479734200003
ACH-000025,-0.319320397523
ACH-000028,-0.42809353356700003
ACH-000030,-0.298460145824
ACH-000035,-0.25995966346099997
ACH-000036,-0.183820102774
ACH-000037,-0.382734841017
ACH-000039,-0.353098126311
ACH-000040,-0.478064759231
ACH-000041,-0.57945503901
ACH-000042,-0.39012313430699996
ACH-000045,-0.136957255934
ACH-000047,-0.256267091152
ACH-000052,-0.37780120649300003
ACH-000053,-0.25135173223900004
ACH-000054,-0.13152977882
ACH-000055,-0.251649205401
ACH-000060,-0.30098573296
ACH-000067,-0.217965473433
ACH-000070,-0.10092483330700001
ACH-000075,-0.0596949016478
ACH-000078,-0.172332877624
ACH-000082,-0.282498731617
ACH-000085,-0.430027963555
ACH-000086,-0.278459383524
ACH-000087,-0.416122500101
ACH-000092,-0.368644721467
ACH-000095,-0.141897309144
ACH-000097,-0.167776886279
ACH-000098,-0.237440066954
ACH-000099,-0.314469382316
ACH-000108,0.10032782389900001
ACH-000113,-0.241943117709
ACH-000115,-0.029770375209
ACH-000116,-0.37554699284299997
ACH-000118,-0.135468654333
ACH-000120,-0.20668853424699998
ACH-000123,-0.24112096779699999
ACH-000127,-0.258174030563
ACH-000128,-0.548660257788
ACH-000132,-0.118808034346
ACH-000133,-0.219318583573
ACH-000137,-0.418897590748
ACH-000138,-0.337577797743
ACH-000142,-0.08828241992329999
ACH-000143,-0.311809103372
ACH-000146,-0.18569245658199998
ACH-000148,-0.246757027895
ACH-000150,-0.333074288481
ACH-000152,-0.329810574819
ACH-000153,-0.245383000273
ACH-000159,-0.132164332896
ACH-000160,-0.285582748853
ACH-000163,-0.292649360901
ACH-000167,-0.145862601588
ACH-000168,-0.294184230195
ACH-000169,-0.186837001324
ACH-000178,-0.277366535515
ACH-000182,-0.32696369091
ACH-000183,-0.168839080482
ACH-000188,-0.0730230178598
ACH-000189,-0.0268825247213
ACH-000190,-0.237569375542
ACH-000198,-0.22913046665999998
ACH-000204,-0.494576998839
ACH-000206,-0.18205766131499998
ACH-000207,-0.232815331554
ACH-000211,-0.25243210150600004
ACH-000215,-0.245988183177
ACH-000221,-0.16610732572599998
ACH-000222,-0.414524495947
ACH-000223,-0.469426012092
ACH-000226,-0.26591850132
ACH-000227,-0.367606281084
ACH-000228,-0.315393559181
ACH-000231,-0.198028041955
ACH-000232,-0.30053652081300003
ACH-000233,-0.19239580655900002
ACH-000234,-0.670785867264
ACH-000235,-0.37405347427100005
ACH-000237,-0.246928008077
ACH-000238,-0.223070971931
ACH-000243,-0.22901142816199999
ACH-000244,-0.0457845437404
ACH-000246,-0.364863784072
ACH-000248,-0.40890967255599997
ACH-000250,-0.288110669963
ACH-000251,-0.42932195866899997
ACH-000253,-0.38547837842
ACH-000255,0.0150766541676
ACH-000256,-0.18325600049899998
ACH-000257,-0.364020520635
ACH-000258,-0.00870630163587
ACH-000259,-0.211246989778
ACH-000260,-0.0652466247189
ACH-000261,-0.326445981833
ACH-000262,0.00903544693509
ACH-000263,-0.24149296063
ACH-000264,-0.22888275643199998
ACH-000265,-0.12724782352
ACH-000266,-0.26578566961
ACH-000272,-0.173156653616
ACH-000273,-0.354000763969
ACH-000274,-0.300339244948
ACH-000277,-0.094632874873
ACH-000278,-0.459677252689
ACH-000279,-0.305068783068
ACH-000280,-0.0027717876163600003
ACH-000281,-0.520008802584
ACH-000288,-0.32746509854899997
ACH-000291,-0.029007314724499998
ACH-000293,-0.0013562466905899999
ACH-000294,-0.192745363112
ACH-000295,-0.095324366706
ACH-000296,-0.250716701572
ACH-000302,-0.101656989088
ACH-000304,-0.7219949592139999
ACH-000307,-0.092382737806
ACH-000308,-0.380137420361
ACH-000310,-0.453084985305
ACH-000311,-0.229195657016
ACH-000312,-0.163539169297
ACH-000315,-0.24532970523400002
ACH-000316,-0.208058697566
ACH-000317,-0.0251159310904
ACH-000318,-0.493558119827
ACH-000319,-0.150007911992
ACH-000320,-0.2111162094
ACH-000322,-0.311734746994
ACH-000323,-0.141324284364
ACH-000324,-0.24027210368000002
ACH-000329,-0.264297579879
ACH-000330,-0.520986448633
ACH-000331,-0.439729279124
ACH-000332,-0.257532341861
ACH-000334,-0.280776448236
ACH-000335,-0.42532767101400004
ACH-000336,-0.24547761198100002
ACH-000337,-0.29557956156
ACH-000339,-0.37840267010399997
ACH-000341,-0.015562551777700002
ACH-000348,-0.26547462526
ACH-000350,-0.21829042978799998
ACH-000352,-0.141314746859
ACH-000356,-0.46438738106399996
ACH-000361,-0.17335382940900002
ACH-000362,-0.254465903258
ACH-000363,-0.241833282999
ACH-000364,-0.39299822895099995
