,PACSIN3 (29763)
ACH-000004,-0.385299212129
ACH-000007,-0.191143438788
ACH-000009,-0.156583875838
ACH-000011,-0.08480732850539999
ACH-000012,-0.162877369665
ACH-000013,-0.376769366946
ACH-000014,-0.306363729762
ACH-000015,-0.19832138519099998
ACH-000017,-0.145515340121
ACH-000018,-0.128560068405
ACH-000019,-0.103830112993
ACH-000021,-0.353427792253
ACH-000022,-0.239919708321
ACH-000025,-0.323490084531
ACH-000028,-0.124335342485
ACH-000030,-0.354261152959
ACH-000035,-0.336063032456
ACH-000036,-0.30537882996599996
ACH-000037,-0.36757314910300004
ACH-000039,-0.410904990809
ACH-000040,-0.461262122034
ACH-000041,-0.36799418026
ACH-000042,-0.30280048503699997
ACH-000045,-0.057195786791400006
ACH-000047,-0.31931800175700004
ACH-000052,-0.28910560507800004
ACH-000053,-0.16959370787300002
ACH-000054,-0.186141796034
ACH-000055,-0.135634462548
ACH-000060,-0.31273405628199996
ACH-000067,-0.180667184382
ACH-000070,-0.240774722214
ACH-000075,-0.666952798349
ACH-000078,-0.34938560340999997
ACH-000082,-0.201986395288
ACH-000085,-0.20896188249000003
ACH-000086,-0.227960785656
ACH-000087,-0.168662197261
ACH-000092,-0.20837389277600002
ACH-000095,-0.21322699538800002
ACH-000097,-0.33381168776500003
ACH-000098,-0.291070714502
ACH-000099,-0.227881831349
ACH-000108,-0.20795314291900002
ACH-000113,-0.138026353347
ACH-000115,-0.021610262085799997
ACH-000116,-0.19013290229600002
ACH-000118,-0.24971117981899998
ACH-000120,-0.12131911022700001
ACH-000123,-0.207189276929
ACH-000127,-0.292284147905
ACH-000128,-0.277432866379
ACH-000132,-0.28580500151599997
ACH-000133,-0.37512992908
ACH-000137,-0.504473814186
ACH-000138,-0.302464685481
ACH-000142,-0.296164405232
ACH-000143,-0.351376087116
ACH-000146,-0.234495162144
ACH-000148,-0.259718150828
ACH-000150,-0.312658297506
ACH-000152,-0.215370514347
ACH-000153,0.0424563555375
ACH-000159,-0.368953509098
ACH-000160,-0.24572228704500002
ACH-000163,-0.132331748903
ACH-000167,-0.649218101823
ACH-000168,-0.205695751083
ACH-000169,-0.30434984470800003
ACH-000178,-0.16256283168
ACH-000182,-0.272192962892
ACH-000183,-0.441810191147
ACH-000188,-0.38122828078000004
ACH-000189,-0.11470309967299999
ACH-000190,-0.047732669278199996
ACH-000198,-0.327639573927
ACH-000204,-0.10487703623500001
ACH-000206,-0.14158553093499998
ACH-000207,-0.386610668006
ACH-000211,-0.201166833809
ACH-000215,-0.307634819141
ACH-000221,-0.218366160079
ACH-000222,-0.135824949907
ACH-000223,-0.15872930538799998
ACH-000226,-0.409412720389
ACH-000227,-0.332341242498
ACH-000228,0.051828536424599995
ACH-000231,-0.312394984507
ACH-000232,-0.29014644175500004
ACH-000233,-0.09034993524139999
ACH-000234,-0.131250115238
ACH-000235,-0.261969692284
ACH-000237,-0.37103509557899994
ACH-000238,-0.0624553906734
ACH-000243,-0.247462080007
ACH-000244,-0.240196125662
ACH-000246,-0.261949534719
ACH-000248,-0.042540719824
ACH-000250,-0.248814977062
ACH-000251,-0.240736405467
ACH-000253,-0.39566515225500004
ACH-000255,-0.351978613186
ACH-000256,-0.315465184089
ACH-000257,-0.168751785141
ACH-000258,-0.316592702408
ACH-000259,-0.262289069311
ACH-000260,-0.315832667463
ACH-000261,-0.260807614917
ACH-000262,0.034398118222800006
ACH-000263,-0.41220825978
ACH-000264,-0.47477117214599995
ACH-000265,-0.29637547933499997
ACH-000266,-0.23134909351100003
ACH-000272,-0.14717371811799998
ACH-000273,-0.280986494621
ACH-000274,-0.37588194919
ACH-000277,-0.130146889347
ACH-000278,-0.341408262374
ACH-000279,-0.351850714458
ACH-000280,-0.386434668529
ACH-000281,-0.0550399261383
ACH-000288,-0.304233551343
ACH-000291,-0.328673904567
ACH-000293,-0.338622559649
ACH-000294,-0.139547862355
ACH-000295,-0.338332173917
ACH-000296,-0.19838407823399998
ACH-000302,-0.18075398732
ACH-000304,-0.30412959929600003
ACH-000307,-0.405678813043
ACH-000308,-0.280486653199
ACH-000310,-0.205670640982
ACH-000311,-0.12431051371400001
ACH-000312,-0.330600134503
ACH-000315,-0.28692316255899997
ACH-000316,-0.19219749763500002
ACH-000317,-0.31285845447
ACH-000318,-0.213683262799
ACH-000319,-0.37802260742399996
ACH-000320,-0.40805654172399997
ACH-000322,-0.30243586034200004
ACH-000323,-0.356206465035
ACH-000324,-0.194257638614
ACH-000329,-0.464601237553
ACH-000330,-0.173244982572
ACH-000331,-0.351975543587
ACH-000332,-0.146282757119
ACH-000334,-0.511299549064
ACH-000335,-0.207891733778
ACH-000336,-0.565570378051
ACH-000337,-0.07121351191610001
ACH-000339,-0.236981428807
