,POLR2H (5437)
ACH-000004,-0.82172425437
ACH-000007,-0.913106035077
ACH-000009,-1.25933124596
ACH-000011,-1.12470614859
ACH-000012,-0.967286638241
ACH-000013,-1.11210337169
ACH-000014,-0.8925844750220001
ACH-000015,-0.8812321759980001
ACH-000017,-0.9643762317739999
ACH-000018,-0.813820775468
ACH-000019,-0.9389472193999999
ACH-000021,-1.2007217704100002
ACH-000022,-0.95198575159
ACH-000025,-0.773322346227
ACH-000028,-1.25362369081
ACH-000030,-0.939121440079
ACH-000035,-0.847355600549
ACH-000036,-0.913198447271
ACH-000037,-0.965996053894
ACH-000039,-1.1277827226700001
ACH-000040,-1.0380654119600001
ACH-000041,-1.52169029773
ACH-000042,-0.929717052357
ACH-000045,-1.34127660624
ACH-000047,-1.15176272984
ACH-000052,-0.781363901981
ACH-000053,-1.00653221822
ACH-000054,-1.0352331092799998
ACH-000055,-0.925537825377
ACH-000060,-0.8028774969370001
ACH-000067,-0.852050240143
ACH-000070,-1.03687526263
ACH-000075,-0.727577059042
ACH-000078,-1.44386047157
ACH-000082,-1.1506066843
ACH-000085,-1.01405790934
ACH-000086,-0.754642860932
ACH-000087,-1.1782076134100001
ACH-000092,-0.9631682289700001
ACH-000095,-1.16574754147
ACH-000097,-1.10639047346
ACH-000098,-0.6754994345149999
ACH-000099,-0.975742711155
ACH-000108,-1.10702541921
ACH-000113,-0.9824867214799998
ACH-000115,-1.4184540106099999
ACH-000116,-0.960921682793
ACH-000118,-1.12558260276
ACH-000120,-1.00802988841
ACH-000123,-1.16661304236
ACH-000127,-1.24892494372
ACH-000128,-1.01894551985
ACH-000132,-1.00706025287
ACH-000133,-0.789943183298
ACH-000137,-0.895451487022
ACH-000138,-0.983543207392
ACH-000142,-0.725451602324
ACH-000143,-1.0630687759
ACH-000146,-1.13676350782
ACH-000148,-0.907148714682
ACH-000150,-0.941328934173
ACH-000152,-0.92494232324
ACH-000153,-1.0660099004
ACH-000159,-1.2133436730299998
ACH-000160,-0.712577483564
ACH-000163,-1.50108058581
ACH-000167,-1.18601501572
