,PPA1 (5464)
ACH-000004,-1.1313232363799999
ACH-000007,-1.18014480105
ACH-000009,-0.8852574262970001
ACH-000011,-1.2066316813299998
ACH-000012,-1.16122990908
ACH-000013,-0.218793956578
ACH-000014,-1.23696378942
ACH-000015,-1.29561664969
ACH-000017,-0.36234639373899996
ACH-000018,-1.5432961434
ACH-000019,-0.34009255236599994
ACH-000021,-1.5605311939200002
ACH-000022,-0.9249789607269999
ACH-000025,-1.15739090271
ACH-000028,-0.8495725690549999
ACH-000030,-1.1263821574200001
ACH-000035,-1.10609527264
ACH-000036,-1.2393203557299999
ACH-000037,-1.4967716259200001
ACH-000039,-1.40276755111
ACH-000040,-1.51102351401
ACH-000041,-1.22770670441
ACH-000042,-1.2428202749
ACH-000045,-1.23176327391
ACH-000047,-1.1473101778
ACH-000052,-1.41458297461
ACH-000053,-0.747212119331
ACH-000054,-1.30067114783
ACH-000055,-1.28066947393
ACH-000060,-1.0788029880399999
ACH-000067,-1.15916851911
ACH-000070,-1.4506667611500002
ACH-000075,-1.01043854027
ACH-000078,-1.3922993455200001
ACH-000082,-0.850188983928
ACH-000085,-1.52092696063
ACH-000086,-1.35067111957
ACH-000087,-1.25382656275
ACH-000092,-1.51322202455
ACH-000095,-1.29791197386
ACH-000097,-0.535869825196
ACH-000098,-1.3652780728100002
ACH-000099,-1.30246773541
ACH-000108,-1.33792740094
ACH-000113,-1.17848775376
ACH-000115,-0.628044575485
ACH-000116,-1.10534989455
ACH-000118,-1.25445046908
ACH-000120,-1.11610509199
ACH-000123,-1.2158045663
ACH-000127,-1.3301739763
ACH-000128,-1.2797389818
ACH-000132,-1.01328888001
ACH-000133,-1.28680928699
ACH-000137,-1.32193959824
ACH-000138,-1.16323481575
ACH-000142,-1.48471640712
ACH-000143,-1.02599593501
ACH-000146,-0.8594408536820001
ACH-000148,-1.33104153463
ACH-000150,-1.3858061305
ACH-000152,-1.19183481108
ACH-000153,-0.9853940972480001
ACH-000159,-1.3732682741
ACH-000160,-1.13479280219
ACH-000163,-1.28614240604
ACH-000167,-1.35456342852
ACH-000168,-1.4282716414399999
ACH-000169,-1.38923516573
ACH-000178,-1.13877625842
ACH-000182,-0.7747310708399999
ACH-000183,-1.21845499855
ACH-000188,-1.1286806372700002
ACH-000189,-1.68103862681
ACH-000190,-1.2582501247600002
ACH-000198,-1.09544918139
ACH-000204,-1.37080861735
ACH-000206,-0.680201909548
ACH-000207,-1.4010629865600002
ACH-000211,-1.58164660586
ACH-000215,-1.24614040537
ACH-000221,-1.06710109622
ACH-000222,-1.11098208911
ACH-000223,-0.919070642141
ACH-000226,-1.1794597300799998
ACH-000227,-1.27875118064
ACH-000228,-1.41036902898
ACH-000231,-1.06551476403
ACH-000232,-1.30853380999
ACH-000233,-1.14808341435
ACH-000234,-1.33061452722
ACH-000235,-1.05149158667
ACH-000237,-1.07475140856
ACH-000238,-1.4208769996500001
ACH-000243,-1.15822600093
ACH-000244,-1.07852869515
ACH-000246,-1.15735363663
ACH-000248,-1.03642931421
ACH-000250,-1.00494399927
ACH-000251,-1.1913658354799999
ACH-000253,-1.1609860136299999
ACH-000255,-1.31777955713
ACH-000256,-1.3250381874700001
ACH-000257,-1.8032220953
ACH-000258,-1.30476446039
ACH-000259,-1.14056890036
ACH-000260,-1.2442197566600002
ACH-000261,-1.53239057472
ACH-000262,-1.61800119155
ACH-000263,-1.1666089499099999
ACH-000264,-0.969011881845
ACH-000265,-1.0468346293200002
ACH-000266,-0.9056955567630001
ACH-000272,-1.28547046478
ACH-000273,-1.5713276133
ACH-000274,-0.986092237361
ACH-000277,-0.367929173514
ACH-000278,-1.19905003624
ACH-000279,-1.39148381968
ACH-000280,-0.9516295147600001
ACH-000281,-1.43768829022
ACH-000288,-1.4038517427000001
ACH-000291,-0.984513982032
ACH-000293,-0.666667386915
ACH-000294,-1.0110836824
ACH-000295,-1.24887336121
ACH-000296,-1.20680989905
ACH-000302,-0.8938457352700001
ACH-000304,-1.38782060278
ACH-000307,-1.16938586323
ACH-000308,-1.16969293405
ACH-000310,-0.705726817376
ACH-000311,-0.964565285958
ACH-000312,-1.11036790183
ACH-000315,-1.2659394316500001
ACH-000316,-0.9827413611910001
ACH-000317,-1.08472328582
ACH-000318,-1.03349684521
ACH-000319,-1.2969442099500001
ACH-000320,-1.40057027643
ACH-000322,-1.30058910967
ACH-000323,-1.26108824399
ACH-000324,-1.31748147911
ACH-000329,-1.4416315065
ACH-000330,-0.7442232749590001
ACH-000331,-1.05250582142
ACH-000332,-0.7941484034999999
ACH-000334,-0.7640393654530001
ACH-000335,-1.5215384742500002
ACH-000336,-1.37288977259
ACH-000337,-1.15979191663
ACH-000339,-0.8722093513420001
ACH-000341,-1.52001156551
ACH-000348,-1.0481070496
ACH-000350,-0.7056300460959999
ACH-000352,-0.581815822552
ACH-000356,-1.07646867329
ACH-000361,-1.3675839230899998
