,HLA-DRA (3122)
ACH-000004,-0.0790503366117
ACH-000007,0.09288756253529999
ACH-000009,-0.06879831299389999
ACH-000011,-0.00021004943631799998
ACH-000012,-0.0334835734779
ACH-000013,-0.026631304837799998
ACH-000014,-0.22099228306
ACH-000015,-0.0785934509416
ACH-000017,-0.052053056364400004
ACH-000018,-0.106204169773
ACH-000019,-0.24497640086599998
ACH-000021,0.032620436101700005
ACH-000022,-0.0131300570156
ACH-000025,0.014580460644700002
ACH-000028,-0.047258785196000005
ACH-000030,-0.015045886761399998
ACH-000035,-0.14534692980900002
ACH-000036,0.0996770249287
ACH-000037,0.161988856373
ACH-000039,-0.296036934834
ACH-000040,0.09997071308389999
ACH-000041,-0.14821528132099998
ACH-000042,0.139562653732
ACH-000045,-0.009914423298270001
ACH-000047,-0.0687394151368
ACH-000052,-0.012385884278200001
ACH-000053,-0.0488947735139
ACH-000054,0.06970626130030001
ACH-000055,0.16803951900199998
ACH-000060,-0.12428592660599999
ACH-000067,-0.0972065971151
ACH-000070,-0.08024575841710001
ACH-000075,0.25796899838599996
ACH-000078,-0.108892811887
ACH-000082,-0.16878007671300002
ACH-000085,0.175787893855
ACH-000086,-0.023588219361900004
ACH-000087,0.0121104538387
ACH-000092,-0.00711543569062
ACH-000095,0.109549016559
ACH-000097,0.0580349651387
ACH-000098,-0.143946607697
ACH-000099,-0.0583582672243
ACH-000108,-0.00992291004474
ACH-000113,0.023668018582799998
ACH-000115,-0.00598620031985
ACH-000116,-0.049323454557600004
ACH-000118,-0.021919348908700002
ACH-000120,0.00464314569576
ACH-000123,-0.043260533030400006
ACH-000127,-0.0957945892446
ACH-000128,-0.0548846585802
ACH-000132,-0.00381932686986
ACH-000133,-0.07161746849989999
ACH-000137,0.0686970237883
ACH-000138,-0.005221398348560001
ACH-000142,0.0717142585466
ACH-000143,-0.0964434492818
ACH-000146,-0.08746084444129999
ACH-000148,0.027951875162400004
ACH-000150,0.029784728840200003
ACH-000152,-0.175556875517
ACH-000153,-0.144561405907
ACH-000159,0.024561914189900003
ACH-000160,0.0612350636486
ACH-000163,0.0377981706902
ACH-000167,-0.198106203836
ACH-000168,0.0814153457559
ACH-000169,-0.157839972393
ACH-000178,-0.05970447113940001
ACH-000182,-0.0175547895992
ACH-000183,-0.334974697536
ACH-000188,0.0875887879039
ACH-000189,0.230448131146
ACH-000190,-0.24497133561700002
ACH-000198,-0.09500411829460001
ACH-000204,-0.109506597345
ACH-000206,-0.179730722082
ACH-000207,-0.0295374923796
ACH-000211,-0.0281245853199
ACH-000215,-0.0693088947201
ACH-000221,0.033109634504100004
ACH-000222,-0.0353267144458
ACH-000223,-0.24095538177700002
ACH-000226,0.0353960608192
ACH-000227,0.10014957715600001
ACH-000228,-0.061475503994199994
ACH-000231,-0.04138054595519999
ACH-000232,-0.0451494253027
ACH-000233,-0.0940849736175
ACH-000234,-0.106075208943
ACH-000235,0.0217846455926
ACH-000237,-0.151193932489
ACH-000238,0.12498634464700001
ACH-000243,-0.0513067306943
ACH-000244,-0.277023564675
ACH-000246,-0.170249441694
ACH-000248,-0.2935800816
ACH-000250,-0.114196498927
ACH-000251,0.164629820983
ACH-000253,-0.0814903393431
ACH-000255,-0.15290593833799998
ACH-000256,0.257316816499
ACH-000257,0.10232805503900001
ACH-000258,0.13030878559599998
ACH-000259,0.049342193691
ACH-000260,-0.08423753892920001
ACH-000261,-0.059591167960900006
ACH-000262,0.12062708364600001
ACH-000263,-0.158817208901
ACH-000264,-0.0837051262941
ACH-000265,-0.0335682273054
ACH-000266,-0.06397724252449999
ACH-000272,-0.0858646586531
ACH-000273,-0.217052529482
ACH-000274,-0.0646189778366
ACH-000277,0.018783277642400002
ACH-000278,-0.06260482623329999
ACH-000279,-0.059276030665800006
ACH-000280,-0.111415486576
ACH-000281,-0.11187299619
ACH-000288,0.0681608484666
ACH-000291,-0.022723980110400003
ACH-000293,0.111810221422
ACH-000294,0.0968160255216
ACH-000295,-0.0238868371675
ACH-000296,0.170854396185
ACH-000302,-0.101372441101
ACH-000304,-0.21686925499899998
ACH-000307,-0.033335891108
ACH-000308,-0.013853696936999999
ACH-000310,-0.00809680549749
ACH-000311,-0.0970104462171
ACH-000312,-0.065828400757
ACH-000315,-0.112940033973
ACH-000316,-0.109687429633
ACH-000317,-0.062240962036
ACH-000318,0.0221787426994
ACH-000319,-0.06685725937419999
ACH-000320,-0.0102458818731
ACH-000322,-0.283206877026
ACH-000323,-0.0557340901521
ACH-000324,-0.117065861799
ACH-000329,-0.07074282926389999
ACH-000330,-0.07528665212239999
ACH-000331,-0.125251777488
ACH-000332,-0.0256160728579
ACH-000334,0.0122388905375
ACH-000335,0.0821082570676
ACH-000336,0.14883658647
ACH-000337,0.120864315613
ACH-000339,-0.110780204203
ACH-000341,0.06364144752119999
ACH-000348,0.0189422725318
ACH-000350,0.10624927987600001
ACH-000352,0.012234133999100002
ACH-000356,0.0544785443841
ACH-000361,-0.169729948979
ACH-000362,0.00300775019308
ACH-000363,0.0091432784293
ACH-000364,0.0632847150501
ACH-000365,0.0358665910803
ACH-000366,0.036958274346
ACH-000368,-0.0326369130589
ACH-000374,-0.27911115694899996
