,CWF19L1 (55280)
ACH-000004,-0.207271077293
ACH-000007,-0.291152577127
ACH-000009,-0.270423014636
ACH-000011,0.0370502485135
ACH-000012,-0.22661343911100001
ACH-000013,-0.191579576644
ACH-000014,-0.349861529402
ACH-000015,-0.237011563573
ACH-000017,-0.414747113903
ACH-000018,-0.169923766551
ACH-000019,-0.450039886695
ACH-000021,-0.189193313526
ACH-000022,-0.0927426717228
ACH-000025,-0.164789575155
ACH-000028,-0.153146352274
ACH-000030,-0.12284292655500001
ACH-000035,-0.112351602103
ACH-000036,-0.23051332535100003
ACH-000037,-0.44228599766599996
ACH-000039,-0.136691042151
ACH-000040,-0.21705248956999998
ACH-000041,-0.232700257429
ACH-000042,-0.41681415904700003
ACH-000045,-0.455356637178
ACH-000047,-0.15498730654200002
ACH-000052,-0.075427750988
ACH-000053,-0.741834413594
ACH-000054,-0.19369796382100002
ACH-000055,-0.431460631924
ACH-000060,-0.12108689576
ACH-000067,-0.43954499441699996
ACH-000070,-0.19532025700800001
ACH-000075,-0.06607697593169999
ACH-000078,0.00649712565687
ACH-000082,-0.28169341998
ACH-000085,-0.12183829504
ACH-000086,-0.132154179121
ACH-000087,-0.186262893671
ACH-000092,-0.18775947450999997
ACH-000095,-0.0414682297548
ACH-000097,-0.285441312063
ACH-000098,-0.213188246128
ACH-000099,-0.0638948282892
ACH-000108,-0.41527490465000005
ACH-000113,-0.277942382674
ACH-000115,-0.368242830944
ACH-000116,-0.243307675195
ACH-000118,-0.919769961936
ACH-000120,0.15690464682900002
ACH-000123,-0.234717867617
ACH-000127,-0.09704135929220001
ACH-000128,-0.0167942779268
ACH-000132,-0.17392270205200003
ACH-000133,-0.246213004104
ACH-000137,-0.44917334239900003
ACH-000138,-0.1267173291
ACH-000142,-0.295558513668
ACH-000143,-0.191217991135
ACH-000146,-0.140470198487
ACH-000148,-0.179821234846
ACH-000150,-0.692268545731
ACH-000152,-0.161821975966
ACH-000153,-0.0331176603228
ACH-000159,-0.07088469982000001
ACH-000160,-0.452437529789
ACH-000163,-0.13363912965
ACH-000167,-0.46934266519100004
ACH-000168,-0.025746649556700002
ACH-000169,-0.184865069467
ACH-000178,-0.28442670224
ACH-000182,-0.35972877461499997
ACH-000183,-0.0916242289656
ACH-000188,-0.543924945109
ACH-000189,-0.405465393663
ACH-000190,-1.04925051282
ACH-000198,-0.0102431543851
ACH-000204,-0.466445599376
ACH-000206,-0.422203155021
ACH-000207,-0.24121318917399998
ACH-000211,-0.275271708423
ACH-000215,-0.315115699714
ACH-000221,-0.00360167296482
ACH-000222,-0.0259198407517
ACH-000223,-0.223518539167
ACH-000226,-0.277585539492
ACH-000227,-0.35191776523
ACH-000228,-0.272987433651
ACH-000231,-0.20075733452199998
ACH-000232,-0.8762649402320001
ACH-000233,-0.817457857625
ACH-000234,-0.00253886611665
ACH-000235,-0.232670936359
ACH-000237,-0.138105869298
ACH-000238,-0.31966348286400004
ACH-000243,-0.453940962513
ACH-000244,-0.0305460810518
ACH-000246,-0.146460991546
ACH-000248,-0.220463910718
ACH-000250,-0.503569043232
ACH-000251,-0.19389110258499997
ACH-000253,-0.317358268511
ACH-000255,-0.29269942556
ACH-000256,-0.146979249162
ACH-000257,-0.30065221999499997
ACH-000258,-0.09893456147910001
ACH-000259,-0.13411794309
ACH-000260,-0.270511167278
ACH-000261,-0.0797179785693
ACH-000262,-0.165193786665
ACH-000263,-0.0431366160017
ACH-000264,-0.27585148768
ACH-000265,-0.35350942864600005
ACH-000266,-0.255327077972
ACH-000272,-0.08069872816160001
ACH-000273,-0.29747171544100004
ACH-000274,-0.217144314651
ACH-000277,-0.402147169617
ACH-000278,-0.33110380905299996
ACH-000279,-0.199340234665
ACH-000280,-0.49248306834399996
ACH-000281,-0.519308437073
ACH-000288,-0.12754904064300002
ACH-000291,-0.125063154473
ACH-000293,-0.208920110766
ACH-000294,-0.272018634305
ACH-000295,-0.121311825485
ACH-000296,-0.77660788997
ACH-000302,-0.39509578534100004
ACH-000304,-0.35621754431999997
ACH-000307,-0.0774500674642
ACH-000308,-0.247840031584
ACH-000310,-0.19230143188999999
ACH-000311,-0.35849078447899996
ACH-000312,-0.22116369784499998
ACH-000315,-0.0576383911895
ACH-000316,-0.29164089252500003
ACH-000317,-0.331027298325
ACH-000318,-0.300174257679
ACH-000319,-0.30285529054099997
ACH-000320,-0.278397389533
ACH-000322,-0.15126304819599998
ACH-000323,-0.315297408997
ACH-000324,-0.726472603385
ACH-000329,-0.312648272899
ACH-000330,-0.44178721593099995
ACH-000331,-0.1808869531
ACH-000332,-0.18541156468400002
ACH-000334,-0.190779291386
ACH-000335,-0.343874603798
ACH-000336,0.117842497151
ACH-000337,-0.32092609717799997
ACH-000339,-0.157862054012
ACH-000341,-0.36485863300300003
ACH-000348,-0.205331921913
ACH-000350,-0.255552850558
ACH-000352,-0.227896144032
ACH-000356,-0.337112843694
ACH-000361,0.08765812474760001
ACH-000362,-0.197586922469
ACH-000363,-0.27728411328200003
ACH-000364,-0.578112096755
ACH-000365,-0.170534067539
ACH-000366,-0.56002867668
ACH-000368,-0.0375367395753
ACH-000374,-0.25703223277
ACH-000375,0.048654769831800004
ACH-000376,-0.416217538243
ACH-000381,-0.315010604387
ACH-000383,-0.107674775964
ACH-000387,-0.260130154493
ACH-000389,-0.386051247038
