,RBM8A (9939)
ACH-000004,-1.25619189306
ACH-000007,-1.3660635697799999
ACH-000009,-1.56064061415
ACH-000011,-1.46349111864
ACH-000012,-1.32074673587
ACH-000013,-1.31268927875
ACH-000014,-1.5125952947299999
ACH-000015,-1.5823724124
ACH-000017,-1.89258819735
ACH-000018,-1.64009420665
ACH-000019,-1.17862587496
ACH-000021,-1.34798556568
ACH-000022,-1.9637686087400001
ACH-000025,-1.1141807491
ACH-000028,-1.16541175574
ACH-000030,-1.7781822254700002
ACH-000035,-1.19454409304
ACH-000036,-1.44729990951
ACH-000037,-2.1063339379599997
ACH-000039,-1.92680651938
ACH-000040,-1.56376650551
ACH-000041,-1.36495116435
ACH-000042,-1.4463956835799998
ACH-000045,-1.85830904443
ACH-000047,-1.41923942208
ACH-000052,-1.78680271342
ACH-000053,-1.39163147382
ACH-000054,-1.68009289801
ACH-000055,-1.49969678888
ACH-000060,-1.56350394067
ACH-000067,-1.13402645544
ACH-000070,-1.16874052419
ACH-000075,-1.2166206522799998
ACH-000078,-1.51754007237
ACH-000082,-1.14443380951
ACH-000085,-1.1614213818799999
ACH-000086,-1.2987344458
ACH-000087,-1.40357258826
ACH-000092,-1.4783689440399999
ACH-000095,-1.52152953491
ACH-000097,-1.18329825907
ACH-000098,-1.36446391806
ACH-000099,-1.61755779168
ACH-000108,-1.2519498146899999
ACH-000113,-1.86461794268
ACH-000115,-1.78203200227
ACH-000116,-1.10577890438
ACH-000118,-1.53780488528
ACH-000120,-1.4370969323700002
ACH-000123,-1.67117625398
ACH-000127,-1.63298829181
ACH-000128,-1.3681933895299998
ACH-000132,-1.21745274416
ACH-000133,-1.0840640185600001
ACH-000137,-1.30736676544
ACH-000138,-1.38508902029
ACH-000142,-1.31499475221
ACH-000143,-1.4240411925299998
ACH-000146,-1.36237096739
ACH-000148,-1.54446728551
ACH-000150,-1.39879615408
ACH-000152,-1.39591909836
ACH-000153,-1.9580258741
ACH-000159,-0.9225012200470001
ACH-000160,-1.4378579181
ACH-000163,-1.46672847564
ACH-000167,-1.62448049009
ACH-000168,-1.5136249303
ACH-000169,-1.31903419048
ACH-000178,-1.2583650402200002
ACH-000182,-1.47003522867
ACH-000183,-1.48941719462
ACH-000188,-1.5392683595299999
ACH-000189,-1.3561714762900001
ACH-000190,-1.34837473079
ACH-000198,-1.79440908802
ACH-000204,-1.34214339826
ACH-000206,-1.8541954275900001
ACH-000207,-2.1554871726099996
ACH-000211,-1.4669537828900001
ACH-000215,-1.3878890359399998
ACH-000221,-1.53956126056
ACH-000222,-1.87926112115
ACH-000223,-1.9692618133099997
ACH-000226,-1.51208302662
ACH-000227,-1.73301416322
ACH-000228,-1.8809515365599998
ACH-000231,-1.38689280011
ACH-000232,-1.23157053191
ACH-000233,-1.64983044717
ACH-000234,-1.44120906558
ACH-000235,-1.6188235532700002
ACH-000237,-1.69081656454
ACH-000238,-1.8386194088599999
ACH-000243,-1.63690871524
ACH-000244,-1.73524120129
ACH-000246,-1.0614541781
ACH-000248,-1.5147399212700001
ACH-000250,-1.49884669093
ACH-000251,-1.9658150533099996
ACH-000253,-1.4687881711700002
ACH-000255,-1.2296023235299998
ACH-000256,-1.57556988641
ACH-000257,-1.4737620389300001
ACH-000258,-1.32321752971
ACH-000259,-1.5841205585299998
ACH-000260,-1.43146394829
ACH-000261,-1.0517855361
ACH-000262,-1.4707669157499998
ACH-000263,-1.57310844055
ACH-000264,-1.33966473397
ACH-000265,-1.53602322664
ACH-000266,-1.5374006545200003
ACH-000272,-1.4724562288
ACH-000273,-1.13357279483
ACH-000274,-1.47167178706
ACH-000277,-1.7155517682199999
ACH-000278,-1.7228309914900002
ACH-000279,-1.57691480606
ACH-000280,-1.16739857188
ACH-000281,-1.55791254794
ACH-000288,-1.3629213966799998
ACH-000291,-1.52602348288
ACH-000293,-1.78846128994
ACH-000294,-1.32177053249
ACH-000295,-1.54663170443
ACH-000296,-1.44955707732
ACH-000302,-1.3347755267899999
ACH-000304,-1.5486605805700002
ACH-000307,-1.77353460029
ACH-000308,-1.14463748835
ACH-000310,-1.3616744906600002
ACH-000311,-1.36087248764
ACH-000312,-1.2654853274
ACH-000315,-1.75126062162
ACH-000316,-1.2294457135299999
ACH-000317,-1.61412308632
ACH-000318,-1.18532490346
ACH-000319,-1.2684397250200001
ACH-000320,-1.54404462087
ACH-000322,-1.4653716914500001
ACH-000323,-1.54516398227
ACH-000324,-1.33648940422
ACH-000329,-1.50907713205
ACH-000330,-0.851646361967
ACH-000331,-1.3495386162399998
ACH-000332,-1.4491030468700001
ACH-000334,-1.4877316559399998
ACH-000335,-1.5458004957
ACH-000336,-1.52399281941
ACH-000337,-1.09967607122
ACH-000339,-1.25858204143
ACH-000341,-1.17999515746
ACH-000348,-1.7531743415
ACH-000350,-1.40834082209
ACH-000352,-1.28204193388
ACH-000356,-1.3901956611300001
ACH-000361,-1.1694258077200002
ACH-000362,-1.8131717656400002
ACH-000363,-1.5024443839
ACH-000364,-1.4023448996899999
ACH-000365,-1.5598296002399998
ACH-000366,-1.4607367272299998
ACH-000368,-1.46861914319
ACH-000374,-1.43541775882
ACH-000375,-1.47003281011
ACH-000376,-1.3295765880200001
ACH-000381,-1.4480888757700001
ACH-000383,-1.9836894540999999
ACH-000387,-1.76885694998
ACH-000389,-1.35720068094
ACH-000390,-0.9567011668709999
ACH-000393,-1.41928943996
ACH-000395,-1.6475406576299998
ACH-000397,-1.75768612116
ACH-000401,-1.7121716145700001
ACH-000402,-2.09514198344
ACH-000403,-1.87813279199
ACH-000404,-1.27522726241
ACH-000406,-1.6469754971700001
ACH-000407,-1.42759445025
ACH-000408,-1.5930889747900001
ACH-000410,-0.96925888698
ACH-000411,-1.4431823962299999
ACH-000414,-1.2364322072
ACH-000415,-1.16189323278
ACH-000416,-1.40582589746
ACH-000420,-1.2852456044
ACH-000421,-1.36585138343
ACH-000424,-1.6416798588100001
ACH-000425,-1.3044849661700002
ACH-000426,-1.19834495422
ACH-000427,-1.6203368374200002
ACH-000433,-1.29576582545
ACH-000436,-1.76706105792
ACH-000444,-1.70778318819
ACH-000445,-1.07934860843
ACH-000448,-1.17089170287
ACH-000450,-2.15296429543
ACH-000452,-1.45646509057
ACH-000454,-1.6554731711200001
ACH-000458,-1.5340230458000002
ACH-000459,-2.0303832550400003
ACH-000460,-1.24541150564
ACH-000461,-1.7136304324899998
ACH-000463,-1.20834678233
ACH-000464,-1.58448536621
ACH-000466,-1.64661831631
ACH-000467,-1.3040196587200001
ACH-000468,-1.6322894945500002
ACH-000469,-1.50885194686
ACH-000470,-1.65916651248
ACH-000471,-1.18278101953
ACH-000472,-1.6483040574099999
ACH-000473,-1.2705168964700002
ACH-000475,-1.4356878341400001
ACH-000476,-1.27947021545
ACH-000477,-1.9199256006299998
ACH-000480,-1.68834008575
ACH-000481,-1.9504085793200001
ACH-000483,-1.3860889635299998
ACH-000484,-1.4108726956400002
ACH-000485,-1.8444771545200003
ACH-000486,-1.3173412058
ACH-000487,-1.4636044992800001
ACH-000488,-1.4085076991
ACH-000490,-1.4882966217700002
ACH-000491,-1.65229878262
ACH-000495,-1.22021246503
ACH-000496,-1.36253603286
ACH-000499,-1.87312174753
ACH-000500,-1.19183226906
ACH-000502,-1.7440157283000002
ACH-000503,-1.32606203063
ACH-000505,-1.7035254104799997
ACH-000507,-1.49821609276
ACH-000510,-1.49643285356
ACH-000511,-1.3394191935700002
ACH-000512,-1.3344216988200002
ACH-000516,-1.4731656948299998
ACH-000517,-1.55443554257
ACH-000518,-1.4014981337399999
ACH-000520,-1.74392842622
ACH-000521,-1.24061121781
ACH-000522,-1.29830867374
ACH-000524,-1.3070563938600002
ACH-000527,-1.53329863254
ACH-000528,-1.35171524313
ACH-000537,-1.2075761146600001
ACH-000541,-1.40365310416
ACH-000542,-1.54716361613
ACH-000544,-1.0437282950799998
ACH-000545,-0.934652315524
ACH-000547,-1.4927347577799999
ACH-000548,-1.6796673448800001
ACH-000549,-1.47249738738
ACH-000550,-1.71014055381
ACH-000552,-1.87823730719
ACH-000556,-1.3622561018000001
ACH-000557,-1.63178730497
ACH-000570,-1.0630998989799998
ACH-000571,-1.7801159770299997
ACH-000573,-0.9507112539460001
ACH-000576,-1.26746316984
ACH-000580,-1.67504185974
ACH-000584,-1.47733818551
ACH-000585,-1.23752491375
ACH-000588,-1.76267326887
ACH-000589,-1.2756096394299998
ACH-000591,-1.24527077623
ACH-000593,-1.3368138288200002
ACH-000600,-1.16346939798
ACH-000601,-1.54611670238
ACH-000604,-1.4338511961000002
