,GSTO2 (119391)
ACH-000004,0.076527753272
ACH-000007,0.0179748826992
ACH-000009,-0.030721620725400002
ACH-000011,-0.0388837953683
ACH-000012,-0.0442937887435
ACH-000013,-0.0193320278894
ACH-000014,-0.20590963587299999
ACH-000015,-0.00606987040028
ACH-000017,0.185308790819
ACH-000018,0.23405318980300002
ACH-000019,-0.165480599906
ACH-000021,0.06697274249969999
ACH-000022,-0.0709285091953
ACH-000025,-0.0287961192311
ACH-000028,-0.108180796171
ACH-000030,-0.12107232881300001
ACH-000035,0.034062644308700006
ACH-000036,-0.0749033841141
ACH-000037,0.0264509723452
ACH-000039,0.143565682326
ACH-000040,0.0968074339183
ACH-000041,0.0317327384079
ACH-000042,-0.100829000064
ACH-000045,0.15111734204299998
ACH-000047,-0.032169892432200003
ACH-000052,-0.0186555168967
ACH-000053,-0.0330831971937
ACH-000054,-0.00686780056924
ACH-000055,-0.0117175803321
ACH-000060,-0.09766875356689998
ACH-000067,-0.0515596441866
ACH-000070,-0.0256925148094
ACH-000075,-0.0932045353157
ACH-000078,-0.039177588319
ACH-000082,0.004548817548600001
ACH-000085,-0.093531482895
ACH-000086,-0.031170906571
ACH-000087,-0.165494235156
ACH-000092,0.010107540687700001
ACH-000095,0.0514072144355
ACH-000097,-0.0126156674721
ACH-000098,-0.072497071917
ACH-000099,-0.04617764634530001
ACH-000108,-0.059906614218
ACH-000113,-0.0152065107393
ACH-000115,-0.144427493934
ACH-000116,0.0118988874828
ACH-000118,-0.047116205767099996
ACH-000120,-0.104814889679
ACH-000123,-0.066565166501
ACH-000127,-0.058817993954300006
ACH-000128,0.0840065957981
ACH-000132,-0.145832254256
ACH-000133,-0.052971946241
ACH-000137,-0.016613337077799998
ACH-000138,-0.0405861369546
ACH-000142,-0.0897795054222
ACH-000143,0.148893186404
ACH-000146,0.068707558742
ACH-000148,0.0571138669348
ACH-000150,0.10847113487
ACH-000152,-0.0145288783836
ACH-000153,0.0305177614583
ACH-000159,-0.055912668074400006
ACH-000160,-0.311253725772
ACH-000163,0.0438079831932
ACH-000167,-0.21229830708500003
ACH-000168,0.042534965070400006
ACH-000169,-0.115201915652
ACH-000178,-0.0334710106818
ACH-000182,0.0208354665688
ACH-000183,-0.00106298227446
ACH-000188,-0.12199677525800001
ACH-000189,-0.354708475478
ACH-000190,-0.0499423092775
ACH-000198,-0.056692471091
ACH-000204,-0.322328171891
ACH-000206,0.143157224349
ACH-000207,-0.206739431829
ACH-000211,-0.0346474871511
ACH-000215,0.0586447438165
ACH-000221,-0.0843079503723
ACH-000222,-0.35898005616499995
ACH-000223,-0.240717965698
ACH-000226,0.0008543342527020001
ACH-000227,-0.215498139363
ACH-000228,-0.13736661124000002
ACH-000231,-0.120317975148
ACH-000232,0.08558516452670001
ACH-000233,-0.105131749922
ACH-000234,0.035835077646199996
ACH-000235,-0.10781760834200001
ACH-000237,-0.007156746526970001
ACH-000238,0.0834981656787
ACH-000243,-0.158548507025
ACH-000244,0.092334576785
ACH-000246,-0.019720137438900002
ACH-000248,-1.45936187434e-06
ACH-000250,-0.0446593644492
ACH-000251,-0.383734645951
ACH-000253,-0.056446667767599996
ACH-000255,0.032324281989999995
ACH-000256,-0.06626257448940001
ACH-000257,-0.0200937678415
ACH-000258,-0.0380786557834
ACH-000259,-0.177903955182
ACH-000260,0.012164422959700001
ACH-000261,-0.036519538442599996
ACH-000262,-0.0809383998438
ACH-000263,0.675418835017
ACH-000264,-0.0315829643438
ACH-000265,-0.053285886180499994
ACH-000266,-0.105849025044
ACH-000272,-0.00219770723444
ACH-000273,-0.0356534680384
ACH-000274,-0.0415895400475
ACH-000277,0.0658793491912
ACH-000278,-0.101255231275
ACH-000279,0.052270965408600004
ACH-000280,-0.1662305367
ACH-000281,0.0095164039613
ACH-000288,-0.0840020341495
ACH-000291,0.0492131030344
