,PPAP2B (8613)
ACH-000004,-0.11855979463199999
ACH-000007,-0.157120979735
ACH-000009,-0.220898372791
ACH-000011,-0.248770835839
ACH-000012,-0.029349321118400003
ACH-000013,-0.0300097875281
ACH-000014,-0.203443150897
ACH-000015,-0.271675775468
ACH-000017,-0.00382704470111
ACH-000018,-0.21865632681999997
ACH-000019,0.000296920097478
ACH-000021,0.0374010876439
ACH-000022,-0.103181563807
ACH-000025,-0.17652763221700002
ACH-000028,-0.10364265688100001
ACH-000030,-0.12090874584799999
ACH-000035,-0.21510807934099999
ACH-000036,-0.0257488173159
ACH-000037,-0.0936022689607
ACH-000039,-0.0945404780862
ACH-000040,-0.34030181490500006
ACH-000041,-0.271503990865
ACH-000042,0.106465958343
ACH-000045,-0.0313958372135
ACH-000047,-0.022658347622400002
ACH-000052,-0.16858734171
ACH-000053,-0.101394052788
ACH-000054,-0.362858637397
ACH-000055,0.0291694359607
ACH-000060,-0.0920426460874
ACH-000067,0.0675305684426
ACH-000070,-0.205942023711
ACH-000075,-0.312475855248
ACH-000078,-0.0704774050533
ACH-000082,0.0485155856165
ACH-000085,0.0159880708008
ACH-000086,-0.215243143095
ACH-000087,-0.18757705213599998
ACH-000092,-0.0826166119971
ACH-000095,-0.009121587460780001
ACH-000097,0.035450353912699996
ACH-000098,-0.0864988765261
ACH-000099,0.0256571019789
ACH-000108,0.0278231747523
ACH-000113,-0.07728894236839999
ACH-000115,-0.326624475059
ACH-000116,0.07908273353569999
ACH-000118,-0.10455137542300001
ACH-000120,0.126754405682
ACH-000123,-0.0101051330055
ACH-000127,-0.0317089398115
ACH-000128,-0.0549667542289
ACH-000132,0.0060199843004200004
ACH-000133,-0.325680591418
ACH-000137,-0.323004523471
ACH-000138,0.030057990964599997
ACH-000142,-0.0272038571821
ACH-000143,-0.25526585421799997
ACH-000146,0.07880851623110001
ACH-000148,-0.16271923342
ACH-000150,-0.220668673179
ACH-000152,-0.11681933159000002
ACH-000153,0.07263586300710001
ACH-000159,-0.113341832391
ACH-000160,0.0643080541997
ACH-000163,-0.179496840847
ACH-000167,-0.272710449994
ACH-000168,0.17386801772399998
ACH-000169,0.0983915134328
ACH-000178,-0.28058121553300003
ACH-000182,-0.017788244162299998
ACH-000183,0.043056583986800005
ACH-000188,-0.108926785812
ACH-000189,-0.689890763396
ACH-000190,-0.004095567978039999
ACH-000198,-0.0719809610715
ACH-000204,-0.5110631221140001
ACH-000206,-0.224813466237
ACH-000207,0.0817102165631
ACH-000211,-0.108519434595
ACH-000215,0.0686342806676
ACH-000221,-0.16059821666
ACH-000222,0.19156056712699998
ACH-000223,-0.222807416962
ACH-000226,-0.06499714530209999
ACH-000227,0.021428946683299997
ACH-000228,0.130297672333
ACH-000231,-0.122639015753
ACH-000232,-0.21564487216400002
ACH-000233,-0.171255138714
ACH-000234,-0.0012209968615699998
ACH-000235,-0.036863295309599996
ACH-000237,-0.102164001559
ACH-000238,-0.045035178724
ACH-000243,0.0485775792701
ACH-000244,-0.00367130772176
ACH-000246,-0.0882728337621
ACH-000248,-0.114070589636
ACH-000250,-0.028697702034400002
ACH-000251,-0.255588966809
ACH-000253,0.0443010500263
ACH-000255,-0.050713481864599994
ACH-000256,-0.298984642958
ACH-000257,0.125549165479
ACH-000258,-0.48178378106700004
ACH-000259,-0.0960870790198
ACH-000260,-0.0674037897763
ACH-000261,0.328669036493
ACH-000262,-0.45300575848700003
ACH-000263,0.0980453295943
ACH-000264,-0.0020216542468
ACH-000265,-0.0706991811401
ACH-000266,0.08065463998700001
ACH-000272,-0.360889746473
ACH-000273,-0.054781274639999995
ACH-000274,-0.0171915513784
ACH-000277,0.055006753958
ACH-000278,-0.392496907345
ACH-000279,-0.12110514592
ACH-000280,-0.00455460406212
ACH-000281,0.43245585285099997
ACH-000288,-0.0267197484107
ACH-000291,-0.22176495047800002
