,NGFR (4804)
ACH-000004,-0.247128910025
ACH-000007,-0.189392994444
ACH-000009,-0.457054152896
ACH-000011,-0.36800222834
ACH-000012,-0.333981579646
ACH-000013,-0.0984322515627
ACH-000014,-0.326796313634
ACH-000015,-0.255901435172
ACH-000017,-0.166876037863
ACH-000018,-0.195185579034
ACH-000019,-0.610075637935
ACH-000021,-0.40215769048
ACH-000022,-0.22709492618500002
ACH-000025,-0.205178909482
ACH-000028,-0.221351637718
ACH-000030,-0.25996878789
ACH-000035,-0.418749638993
ACH-000036,-0.426175774115
ACH-000037,-0.181015196507
ACH-000039,-0.37193894066
ACH-000040,-0.44005283518700006
ACH-000041,-0.250432416987
ACH-000042,-0.341860378107
ACH-000045,-0.19556026238899998
ACH-000047,-0.324601354887
ACH-000052,-0.258968880384
ACH-000053,-0.197660982513
ACH-000054,-0.407671155435
ACH-000055,-0.017744517545900004
ACH-000060,-0.21277967599599998
ACH-000067,-0.24300166323199998
ACH-000070,-0.319647516628
ACH-000075,-0.31963949944200004
ACH-000078,-0.234943020203
ACH-000082,-0.25646058869000005
ACH-000085,-0.18533556028499998
ACH-000086,-0.24968345405
ACH-000087,-0.238738318385
ACH-000092,-0.367670375308
ACH-000095,-0.33563037858499994
ACH-000097,-0.327337785915
ACH-000098,-0.354280635406
ACH-000099,-0.263367253849
ACH-000108,-0.158938033068
ACH-000113,-0.21399075312899998
ACH-000115,-0.628041135259
ACH-000116,-0.321893490537
ACH-000118,-0.17953962064100001
ACH-000120,-0.269164575645
ACH-000123,-0.36827491285400005
ACH-000127,-0.207499615449
ACH-000128,-0.38961420907899996
ACH-000132,-0.225223068683
ACH-000133,-0.270066952681
ACH-000137,-0.304731639144
ACH-000138,-0.368261992341
ACH-000142,-0.322897149453
ACH-000143,-0.274611184931
ACH-000146,-0.19554026789099999
ACH-000148,-0.291461295992
ACH-000150,-0.32375641333599997
ACH-000152,-0.427898261352
ACH-000153,-0.49677728431
ACH-000159,-0.40861516553000005
ACH-000160,-0.139230022241
ACH-000163,-0.300618774594
ACH-000167,-0.387582093103
ACH-000168,-0.126657934728
ACH-000169,-0.17179203008000002
ACH-000178,-0.162410144663
ACH-000182,-0.18143309503199997
ACH-000183,-0.31911480194200004
ACH-000188,-0.122808632661
ACH-000189,-0.178943619538
ACH-000190,-0.13296240828199998
ACH-000198,-0.32804963304
ACH-000204,-0.258774477539
ACH-000206,-0.203352573836
ACH-000207,-0.149785347273
ACH-000211,-0.217930661491
ACH-000215,-0.405848757882
ACH-000221,-0.24480813653
ACH-000222,-0.391564598338
ACH-000223,-0.18766937199
ACH-000226,-0.233884071345
ACH-000227,-0.336534708322
ACH-000228,-0.224258375931
ACH-000231,-0.315215911774
ACH-000232,-0.240090583413
ACH-000233,-0.213930345027
ACH-000234,-0.169981298211
ACH-000235,-0.29719457395599996
ACH-000237,-0.345415840845
ACH-000238,-0.48213687755
ACH-000243,-0.28528072895100004
ACH-000244,-0.7075082511190001
ACH-000246,-0.278800198008
ACH-000248,-0.286676581421
ACH-000250,-0.326252047142
ACH-000251,-0.380225253762
ACH-000253,-0.177350082636
ACH-000255,-0.38331946177000004
ACH-000256,-0.179332928174
ACH-000257,-0.31717305038800003
ACH-000258,-0.150925895032
ACH-000259,-0.17451137642200001
ACH-000260,-0.160421197885
ACH-000261,-0.30139547331300004
ACH-000262,-0.160384329207
ACH-000263,-0.416258458391
ACH-000264,-0.292039025849
ACH-000265,-0.365606289426
ACH-000266,-0.23234492376200003
ACH-000272,-0.277709076188
ACH-000273,-0.191207101824
ACH-000274,-0.415547893028
ACH-000277,-0.40210619842699996
ACH-000278,-0.299622046574
ACH-000279,-0.336224432978
ACH-000280,-0.09695252233780001
ACH-000281,-0.046685702348699995
ACH-000288,-0.406556496219
ACH-000291,-0.347329975784
ACH-000293,-0.281683125466
ACH-000294,-0.158259362847
ACH-000295,-0.52835277739
ACH-000296,-0.165882629161
ACH-000302,-0.144695119924
ACH-000304,-0.319880540909
ACH-000307,-0.248435062091
ACH-000308,-0.200160453475
ACH-000310,-0.249506933579
ACH-000311,-0.164162648658
ACH-000312,-0.257222541832
ACH-000315,-0.11725718091199999
ACH-000316,-0.405596779845
ACH-000317,-0.29599958951600003
ACH-000318,-0.250041028374
ACH-000319,-0.23920406007300002
ACH-000320,-0.06506142831730001
ACH-000322,-0.290194538345
ACH-000323,-0.226417089273
ACH-000324,-0.25758776559999996
ACH-000329,-0.39398979016999996
ACH-000330,-0.47154918232
ACH-000331,-0.209636447245
ACH-000332,-0.228538976517
ACH-000334,-0.156591280762
ACH-000335,-0.251730009144
ACH-000336,-0.128263702062
ACH-000337,-0.22543755177400002
ACH-000339,-0.163825153342
ACH-000341,-0.048742476723
ACH-000348,-0.322581286365
ACH-000350,-0.36693339802599995
ACH-000352,-0.327396776153
ACH-000356,-0.43663787866000003
ACH-000361,-0.31548729460999997
ACH-000362,-0.240276613974
ACH-000363,-0.273061613746
ACH-000364,-0.234098431586
ACH-000365,-0.19421389254299998
ACH-000366,-0.188456851948
ACH-000368,-0.4057019228
ACH-000374,-0.23616790305500002
ACH-000375,-0.146926349957
ACH-000376,-0.156991448788
ACH-000381,-0.345938803764
ACH-000383,-0.249616386878
ACH-000387,-0.125896787623
ACH-000389,-0.45667208041999996
ACH-000390,-0.341738656684
ACH-000393,-0.295913679582
ACH-000395,-0.229385802546
ACH-000397,-0.341423748239
ACH-000401,-0.24785977531
ACH-000402,-0.38597265680799997
ACH-000403,-0.169456820686
ACH-000404,-0.597627754117
ACH-000406,-0.238524208708
ACH-000407,-0.381656358491
ACH-000408,-0.32991907643
ACH-000410,-0.04141076392
ACH-000411,-0.325826214119
ACH-000414,-0.289153311212
ACH-000415,-0.18522072602899997
ACH-000416,-0.323820687283
ACH-000420,-0.385228047631
ACH-000421,-0.251685602813
ACH-000424,-0.563219662366
ACH-000425,-0.276451465619
ACH-000426,-0.0633444975172
ACH-000427,-0.35920079444499997
ACH-000433,-0.37950060628300003
ACH-000436,-0.117049379464
ACH-000444,-0.189021876806
ACH-000445,-0.180549912905
ACH-000448,-0.1461656755
ACH-000450,-0.360237192038
ACH-000452,-0.24920959529
ACH-000454,-0.286302534501
ACH-000458,-0.307923978644
ACH-000459,0.263699089834
ACH-000460,-0.167159262811
ACH-000461,-0.35470835916599996
ACH-000463,-0.229206468982
ACH-000464,-0.288581069582
ACH-000466,-0.373442656224
ACH-000467,-0.074250208867
ACH-000468,-0.453443583237
ACH-000469,-0.316477775028
ACH-000470,-0.24743587567699998
ACH-000471,-0.29338232981
ACH-000472,-0.297395475612
ACH-000473,-0.38640333744499994
ACH-000475,-0.249913511545
ACH-000476,-0.462024591361
ACH-000477,-0.204369818891
ACH-000480,-0.19394175395100002
ACH-000481,-0.276274784783
ACH-000483,-0.0570973047329
ACH-000484,-0.314879330485
ACH-000485,-0.421632376105
ACH-000486,-0.27246686228100003
ACH-000487,-0.19048885784800001
ACH-000488,-0.19644557646699998
ACH-000490,-0.0661733878686
ACH-000491,-0.423671287071
ACH-000495,-0.130816717586
ACH-000496,-0.20823339865499998
ACH-000499,-0.10322186594699999
ACH-000500,-0.6851338252660001
ACH-000502,-0.316117653307
ACH-000503,-0.127480543035
ACH-000505,-0.16806951195099998
ACH-000507,-0.32002157636399997
ACH-000510,-0.341163353853
ACH-000511,-0.194497768368
ACH-000512,-0.020167744423900003
ACH-000516,-0.20728409476
ACH-000517,-0.255781404855
ACH-000518,-0.510411329107
ACH-000520,-0.275774499191
ACH-000521,-0.505745191403
ACH-000522,-0.358670967882
ACH-000524,-0.253278748241
ACH-000527,-0.22430909536999996
ACH-000528,-0.21607471431800002
ACH-000537,-0.303049607405
ACH-000541,-0.018169954565400003
ACH-000542,-0.359888740589
ACH-000544,-0.45881851303800003
ACH-000545,-0.25818077835299996
ACH-000547,-0.385526428647
ACH-000548,-0.234225402346
ACH-000549,-0.256590379019
ACH-000550,-0.23469488219999998
ACH-000552,-0.258149565613
ACH-000556,-0.26563560711399997
ACH-000557,-0.18306474668699999
ACH-000570,-0.268783380825
ACH-000571,-0.26145844339
ACH-000573,-0.167949505566
ACH-000576,-0.251781982543
ACH-000580,-0.27810978049699997
ACH-000584,-0.34476534054700003
ACH-000585,-0.129246197369
ACH-000588,-0.347689483526
ACH-000589,-0.29122036932100004
ACH-000591,-0.18369941096200001
ACH-000593,-0.36707585145000005
ACH-000600,-0.202860558889
ACH-000601,-0.21582338394699999
ACH-000604,-0.570119163453
ACH-000605,-0.221946922736
ACH-000606,-0.214980204802
ACH-000608,-0.326775234548
ACH-000614,-0.12781927830999998
ACH-000616,-0.250174114499
ACH-000618,-0.17039817533399998
ACH-000619,-0.305231226244
ACH-000620,-0.17414894091299998
ACH-000621,-0.100395062692
ACH-000622,-0.390961123794
ACH-000623,-0.361274413749
ACH-000624,-0.19760815592300002
ACH-000627,-0.34351574055100004
ACH-000630,-0.21927461602899997
ACH-000632,-0.34826599023599997
ACH-000633,-0.46822141851000004
ACH-000637,-0.154584538017
ACH-000638,-0.247514174027
ACH-000646,-0.285630384387
ACH-000647,-0.40620925065499996
ACH-000648,-0.1303790675
ACH-000649,-0.283589034513
ACH-000651,-0.263848703665
ACH-000652,-0.397766013205
ACH-000653,-0.26582070835099997
ACH-000657,-0.243043802761
ACH-000658,-0.242651347704
ACH-000661,-0.297197364048
ACH-000662,-0.262490438816
ACH-000663,-0.38801733960900003
ACH-000665,-0.227976750936
ACH-000671,-0.177895322143
ACH-000673,-0.27368990791299996
ACH-000676,-0.544484944732
ACH-000677,-0.163303648658
ACH-000681,-0.22744012675900002
ACH-000682,-0.16877000354200003
ACH-000683,-0.356677358718
ACH-000684,-0.38305290264499997
ACH-000688,-0.361653259419
ACH-000693,-0.290171823266
ACH-000694,-0.188405964509
ACH-000695,-0.217022762476
ACH-000696,-0.29905018654599996
ACH-000697,-0.526235073471
ACH-000699,-0.255786176241
ACH-000701,-0.15721270048
ACH-000706,-0.18963372464000003
ACH-000711,-0.23000579307799998
ACH-000713,-0.13447486934900002
ACH-000714,-0.366834557063
ACH-000718,-0.04992119447980001
ACH-000720,-0.273395493191
ACH-000721,-0.332417928045
ACH-000724,-0.0918439565196
ACH-000725,-0.478109000162
ACH-000732,-0.27729829154
