,HSPE1 (3336)
ACH-000004,-2.1696251535599997
ACH-000007,-2.17849892966
ACH-000009,-2.05483806961
ACH-000011,-2.30339234116
ACH-000012,-1.84873046357
ACH-000013,-2.66175207271
ACH-000014,-2.4272052201
ACH-000015,-2.12250984554
ACH-000017,-2.4980715899
ACH-000018,-1.5542398191999998
ACH-000019,-1.8532447163099999
ACH-000021,-2.01668800123
ACH-000022,-2.37795517124
ACH-000025,-1.8332250338499998
ACH-000028,-1.74659113857
ACH-000030,-2.14166875885
ACH-000035,-1.76889999507
ACH-000036,-1.69680485715
ACH-000037,-1.36819954776
ACH-000039,-2.2830250758900004
ACH-000040,-1.8553497720299998
ACH-000041,-2.32916884299
ACH-000042,-2.1465605629900004
ACH-000045,-2.24549109536
ACH-000047,-2.3701552596599997
ACH-000052,-1.9083900951700001
ACH-000053,-1.91054530197
ACH-000054,-1.69612108664
ACH-000055,-2.0535260929700003
ACH-000060,-2.0911457648400003
ACH-000067,-2.00196989287
ACH-000070,-2.42872063297
ACH-000075,-1.72480665628
ACH-000078,-2.15160276528
ACH-000082,-2.29653948735
ACH-000085,-2.1136424251
ACH-000086,-1.7248263942700002
ACH-000087,-1.9375381924500001
ACH-000092,-1.93150035127
ACH-000095,-2.22287935481
ACH-000097,-2.15621638545
ACH-000098,-2.19652774262
ACH-000099,-1.9963313269999998
ACH-000108,-1.7829117514700001
ACH-000113,-2.16514652413
ACH-000115,-3.30537375508
ACH-000116,-2.23967372258
ACH-000118,-1.9120453519599998
ACH-000120,-1.98714714518
ACH-000123,-2.06923035698
ACH-000127,-1.80671590414
ACH-000128,-2.14895729825
ACH-000132,-2.3460854460599996
ACH-000133,-2.11673224747
ACH-000137,-1.9131401730700002
ACH-000138,-2.0628235524900003
ACH-000142,-1.89369858735
ACH-000143,-2.16226390587
ACH-000146,-2.7159147227499996
ACH-000148,-2.40772918229
ACH-000150,-2.0764570275599996
ACH-000152,-1.72020458343
ACH-000153,-1.6625190364500002
ACH-000159,-1.974280995
ACH-000160,-2.41246038813
ACH-000163,-2.18337213086
ACH-000167,-2.7087081751700004
ACH-000168,-2.38154938104
ACH-000169,-1.7658451857
ACH-000178,-2.16706302079
ACH-000182,-2.1641223614
ACH-000183,-2.1374516504799996
ACH-000188,-2.27465718053
ACH-000189,-2.06904205994
ACH-000190,-1.85189547463
ACH-000198,-2.10550640297
ACH-000204,-1.9662313069599997
ACH-000206,-2.45302800721
ACH-000207,-1.50944247239
ACH-000211,-1.9392726608400002
ACH-000215,-2.39395570201
ACH-000221,-2.48765681825
ACH-000222,-2.1088704811400003
ACH-000223,-2.13183894333
ACH-000226,-2.0097432462
ACH-000227,-2.3739487584599996
ACH-000228,-2.18891804097
ACH-000231,-2.0220800406
ACH-000232,-2.27694611568
ACH-000233,-2.08804639459
ACH-000234,-1.7263305891999998
ACH-000235,-2.10279712558
ACH-000237,-2.0119703007
ACH-000238,-2.16953275372
ACH-000243,-1.87601376088
ACH-000244,-2.23372393117
ACH-000246,-2.00432284535
ACH-000248,-1.8614774315
ACH-000250,-2.02887277557
ACH-000251,-2.62018609553
ACH-000253,-1.98835704405
ACH-000255,-1.8093313048599997
ACH-000256,-2.4177242587400003
ACH-000257,-2.58919588819
ACH-000258,-1.42626095528
ACH-000259,-2.21163255095
ACH-000260,-2.06309513643
ACH-000261,-2.16893151696
ACH-000262,-1.95601615818
ACH-000263,-2.40450294716
ACH-000264,-2.272337893
ACH-000265,-2.21490295456
ACH-000266,-2.00072291121
ACH-000272,-1.9693359315799999
ACH-000273,-1.9531060158400002
ACH-000274,-2.36715392198
ACH-000277,-2.20692789127
ACH-000278,-2.0551715862599997
ACH-000279,-2.0862335176199998
ACH-000280,-2.2366016860099998
ACH-000281,-1.7702857459099999
ACH-000288,-2.1337075836
ACH-000291,-1.92440642538
ACH-000293,-2.0366634234
ACH-000294,-2.1926969949
ACH-000295,-2.2657271407099997
ACH-000296,-2.0702728881
ACH-000302,-2.65888503079
ACH-000304,-3.06086666273
ACH-000307,-2.3498482724
ACH-000308,-2.0967437531999997
ACH-000310,-1.9633727711400002
ACH-000311,-2.33642423441
ACH-000312,-1.9152520348500002
ACH-000315,-2.02717220919
ACH-000316,-2.42494598716
ACH-000317,-2.3495213468
ACH-000318,-2.3693990999900003
ACH-000319,-1.8488407341799997
ACH-000320,-1.9213357258300001
ACH-000322,-1.7166395355000001
ACH-000323,-1.9378161847
ACH-000324,-1.8523920242200003
ACH-000329,-2.28771927602
ACH-000330,-1.9333697876499998
ACH-000331,-2.04248576137
ACH-000332,-2.11782502753
