,NDC80 (10403)
ACH-000004,-1.53764369936
ACH-000007,-1.53278762134
ACH-000009,-1.41805012806
ACH-000011,-1.3903572746200001
ACH-000012,-1.6275688543200002
ACH-000013,-1.32417432195
ACH-000014,-1.43977760345
ACH-000015,-1.2591625086799998
ACH-000017,-1.5087468953799998
ACH-000018,-1.1247399924600001
ACH-000019,-1.4026744674399998
ACH-000021,-1.3996866688999998
ACH-000022,-1.53746353965
ACH-000025,-1.38275297394
ACH-000028,-1.39260267544
ACH-000030,-1.3230964997399999
ACH-000035,-1.02596738051
ACH-000036,-1.3495270145299998
ACH-000037,-1.38587971324
ACH-000039,-1.60539684799
ACH-000040,-1.3884583254299998
ACH-000041,-1.4457810971
ACH-000042,-1.4596184691299998
ACH-000045,-1.1726836732400001
ACH-000047,-1.30414965724
ACH-000052,-1.49341152025
ACH-000053,-1.4637963381299999
ACH-000054,-1.3944026154
ACH-000055,-1.14474061508
ACH-000060,-1.07055353033
ACH-000067,-1.3584529074
ACH-000070,-1.29314155875
ACH-000075,-1.4197364701800002
ACH-000078,-1.71697319817
ACH-000082,-1.39989515056
ACH-000085,-1.08642331098
ACH-000086,-1.35027163087
ACH-000087,-1.21413375856
ACH-000092,-1.08711297375
ACH-000095,-1.53099642951
ACH-000097,-1.3515173886
ACH-000098,-1.2562576698799999
ACH-000099,-1.5582190223299999
ACH-000108,-1.5399246959000001
ACH-000113,-1.3448245545700002
ACH-000115,-1.95597441753
ACH-000116,-1.3701712513600002
ACH-000118,-1.3099837567200001
ACH-000120,-1.3414508805
ACH-000123,-1.4480452104700001
ACH-000127,-1.30273912171
ACH-000128,-1.4969513365
ACH-000132,-1.27213143374
ACH-000133,-1.1456939610299999
ACH-000137,-1.2785272053799999
ACH-000138,-1.92463205973
ACH-000142,-1.3519281267299998
ACH-000143,-1.32693893316
ACH-000146,-1.49628053655
ACH-000148,-1.35251250417
ACH-000150,-1.06780189658
ACH-000152,-1.0152069135600001
ACH-000153,-1.4184479851499998
ACH-000159,-1.6914083289700002
ACH-000160,-1.33276347161
ACH-000163,-1.1180681822299998
ACH-000167,-1.8749417307700003
ACH-000168,-1.14201936567
ACH-000169,-1.38523835456
ACH-000178,-1.22756614905
ACH-000182,-1.5656520593099998
ACH-000183,-1.26709622357
ACH-000188,-1.3972199924700002
ACH-000189,-1.2884815639799998
ACH-000190,-1.69567955241
ACH-000198,-1.4079849700600002
ACH-000204,-1.2942536716500002
ACH-000206,-1.23617669937
ACH-000207,-1.8671061921599998
ACH-000211,-1.76840449837
ACH-000215,-1.53750162718
ACH-000221,-1.41164141153
ACH-000222,-1.63093377389
ACH-000223,-1.5917618630200001
ACH-000226,-1.40768861887
ACH-000227,-1.6465053226800002
ACH-000228,-1.37085500336
ACH-000231,-1.1918339766700001
ACH-000232,-1.3677788354799998
ACH-000233,-1.8834348741599998
ACH-000234,-1.5852548231799999
ACH-000235,-1.53587485648
ACH-000237,-1.49099172167
ACH-000238,-1.7822675079299999
ACH-000243,-1.64526986159
ACH-000244,-1.63043938735
ACH-000246,-1.5731041217100001
ACH-000248,-1.47150301957
ACH-000250,-1.4346617403200002
ACH-000251,-1.7235380487099998
ACH-000253,-1.64949591746
ACH-000255,-0.965185609253
ACH-000256,-1.6456921759099998
ACH-000257,-1.1610047919700002
ACH-000258,-1.3664180642100001
ACH-000259,-1.77282706305
ACH-000260,-1.3909926136200002
ACH-000261,-1.20148921292
ACH-000262,-1.4413295720700001
ACH-000263,-1.2033479015100002
ACH-000264,-1.86580438604
ACH-000265,-1.44900140996
ACH-000266,-1.66989258012
ACH-000272,-1.1442163884
ACH-000273,-1.3044208200799998
ACH-000274,-1.46243366908
ACH-000277,-1.56172587514
ACH-000278,-1.6443793888299998
ACH-000279,-1.7488286552599999
ACH-000280,-1.12543670054
ACH-000281,-1.8224365695200002
ACH-000288,-1.27954230081
ACH-000291,-1.11057129754
ACH-000293,-1.54418771748
ACH-000294,-1.56197477974
ACH-000295,-1.58158002937
ACH-000296,-1.35485281682
ACH-000302,-1.11450677475
ACH-000304,-1.6153823519200001
ACH-000307,-0.934566449084
ACH-000308,-1.28120793284
ACH-000310,-1.7943708911900003
ACH-000311,-1.4526972812
ACH-000312,-1.6905268703799998
ACH-000315,-1.48274081873
ACH-000316,-1.18590243784
ACH-000317,-0.9018903455700001
ACH-000318,-1.39622361473
ACH-000319,-1.35529508485
ACH-000320,-1.4919741956900001
ACH-000322,-1.58042662984
ACH-000323,-1.2204208134
ACH-000324,-1.51626593259
ACH-000329,-1.75791879865
ACH-000330,-1.72283728312
ACH-000331,-1.27539930167
ACH-000332,-1.1467986217100001
ACH-000334,-1.53284911575
ACH-000335,-1.18211445862
ACH-000336,-1.5829322800499999
ACH-000337,-1.04690416874
ACH-000339,-1.40503095745
ACH-000341,-1.87989543224
ACH-000348,-1.59759811995
ACH-000350,-1.52340733055
ACH-000352,-1.68574284584
ACH-000356,-1.18508481324
ACH-000361,-1.49898229438
ACH-000362,-1.5293691853100002
ACH-000363,-1.2282440647
ACH-000364,-1.08241831438
ACH-000365,-1.21361535352
ACH-000366,-1.22597306308
ACH-000368,-1.1302086347
ACH-000374,-1.21165164661
ACH-000375,-1.46592367525
ACH-000376,-1.3894060897
ACH-000381,-1.5050869545299999
ACH-000383,-1.67366006042
ACH-000387,-1.5032939077899998
ACH-000389,-1.36807327489
ACH-000390,-1.59310037634
ACH-000393,-1.3938809361500002
ACH-000395,-1.13081032171
ACH-000397,-1.40134420016
ACH-000401,-1.31731158019
ACH-000402,-0.8083620807100002
ACH-000403,-2.01048079804
ACH-000404,-1.36446395661
ACH-000406,-1.58831656699
ACH-000407,-1.47092358135
ACH-000408,-1.0104653828799999
ACH-000410,-1.3599026389
ACH-000411,-1.25618992559
ACH-000414,-1.8641712536400001
ACH-000415,-1.4431818581600002
ACH-000416,-1.5156294629499998
ACH-000420,-1.40315603073
ACH-000421,-1.4573216699899998
ACH-000424,-1.3539889132700003
ACH-000425,-1.60394906437
ACH-000426,-0.978064130186
ACH-000427,-1.1061148451
ACH-000433,-1.10692714408
ACH-000436,-1.1547090451000002
ACH-000444,-1.44257097842
ACH-000445,-1.3000177745000001
ACH-000448,-1.13592734767
ACH-000450,-1.51538218965
ACH-000452,-1.58164792027
ACH-000454,-0.938297188222
ACH-000458,-1.3343168806
ACH-000459,-1.0319825914899998
