,HIST1H2AH (85235)
ACH-000004,-0.114457278003
ACH-000007,-0.431709103658
ACH-000009,-0.15542282317
ACH-000011,-0.397353743169
ACH-000012,-0.199298503581
ACH-000013,-0.195788117997
ACH-000014,-0.288428134103
ACH-000015,-0.130829828986
ACH-000017,-0.5379826591529999
ACH-000018,-0.0374045481016
ACH-000019,-0.337470738793
ACH-000021,-0.113714775867
ACH-000022,-0.27930217276299996
ACH-000025,-0.206343244566
ACH-000028,-0.154539984022
ACH-000030,-0.271688260023
ACH-000035,-0.17303755311000002
ACH-000036,-0.172263372916
ACH-000037,-0.0474553231879
ACH-000039,-0.103338064213
ACH-000040,-0.30129749190099997
ACH-000041,-0.136868068797
ACH-000042,-0.22742334595600003
ACH-000045,-0.477680265474
ACH-000047,-0.358633827032
ACH-000052,-0.422960471284
ACH-000053,-0.235559546466
ACH-000054,-0.1089393775
ACH-000055,-0.269980865641
ACH-000060,-0.0731945296304
ACH-000067,-0.29370322732299997
ACH-000070,-0.103442112086
ACH-000075,-0.259836541379
ACH-000078,-0.270814445535
ACH-000082,-0.196202966119
ACH-000085,-0.48147293342799996
ACH-000086,-0.0475484725685
ACH-000087,-0.251217591061
ACH-000092,-0.20389900679
ACH-000095,-0.234720233147
ACH-000097,-0.31093867770399997
ACH-000098,-0.294686049628
ACH-000099,-0.17197332655900002
ACH-000108,-0.18199481557799999
ACH-000113,-0.229606282494
ACH-000115,-0.245000660092
ACH-000116,-0.226799165478
ACH-000118,-0.3560194951199999
ACH-000120,-0.239063989059
ACH-000123,-0.25385626644299997
ACH-000127,-0.22770456110399998
ACH-000128,0.046634968055999995
ACH-000132,-0.397496889006
ACH-000133,-0.060865931441099995
ACH-000137,-0.49591741606399997
ACH-000138,-0.5063550836999999
ACH-000142,-0.26047158152399996
ACH-000143,-0.42148843746799997
ACH-000146,-0.050341531623300004
ACH-000148,-0.0993359183633
ACH-000150,-0.29466883275600003
ACH-000152,-0.401176636597
ACH-000153,-0.341331802993
ACH-000159,-0.23433092887200002
ACH-000160,-0.28348267302499996
ACH-000163,-0.112964363599
ACH-000167,-0.118299626302
ACH-000168,-0.21904171849800003
ACH-000169,-0.386245067271
ACH-000178,-0.18914491056699997
ACH-000182,-0.29325608001
ACH-000183,0.039937026185199995
ACH-000188,-0.171125231611
ACH-000189,-0.544692160525
ACH-000190,-0.17110743372900003
ACH-000198,-0.305039083218
ACH-000204,-0.166619459472
ACH-000206,-0.40672389492899996
ACH-000207,-0.41654298140699997
ACH-000211,-0.216490860152
ACH-000215,-0.299353600389
ACH-000221,-0.015945565773100003
ACH-000222,-0.07440508130989999
ACH-000223,-0.292034244968
ACH-000226,-0.24921637519499998
ACH-000227,-0.136482685878
ACH-000228,-0.13043303662699998
ACH-000231,-0.262735496403
ACH-000232,-0.161564818557
ACH-000233,-0.37373037332599995
ACH-000234,-0.141928943797
ACH-000235,-0.289987487907
ACH-000237,-0.230010336697
ACH-000238,-0.08692498216430002
ACH-000243,-0.26859329457
ACH-000244,-0.255438044277
ACH-000246,-0.240548250205
ACH-000248,-0.485601141121
ACH-000250,-0.307570893434
ACH-000251,-0.60278079501
ACH-000253,-0.19916010557500002
ACH-000255,-0.155172476111
ACH-000256,-0.37669467881200003
ACH-000257,0.06966731627969999
ACH-000258,-0.21003149022
ACH-000259,-0.181466066505
ACH-000260,-0.272073378918
ACH-000261,-0.22830111836599998
ACH-000262,-0.0905310292448
ACH-000263,-0.17799809717999998
ACH-000264,-0.207915964273
ACH-000265,-0.20617701397500002
ACH-000266,-0.145455533892
ACH-000272,-0.284285136553
ACH-000273,-0.343596597016
ACH-000274,-0.22847008347
ACH-000277,-0.280849144758
ACH-000278,-0.15645769083900002
ACH-000279,-0.30356318931299997
ACH-000280,-0.0275045549155
ACH-000281,-0.24252793465599998
ACH-000288,-0.056939352111499995
ACH-000291,-0.199153498316
ACH-000293,-0.293881050677
ACH-000294,-0.033970366349
ACH-000295,-0.418357622419
ACH-000296,-0.406463632134
ACH-000302,-0.20709909740600002
