,RAP1A (5906)
ACH-000004,-0.23870746501499998
ACH-000007,-0.356686827397
ACH-000009,-0.410022837162
ACH-000011,-0.228871953841
ACH-000012,-0.350682167886
ACH-000013,-0.29295527253000003
ACH-000014,-0.370135089798
ACH-000015,-0.277181391381
ACH-000017,-0.30899301844099997
ACH-000018,-0.312389239081
ACH-000019,-0.297759404226
ACH-000021,-0.24547268027600003
ACH-000022,-0.30727711875700003
ACH-000025,-0.286282694271
ACH-000028,-0.541234896858
ACH-000030,-0.283169248441
ACH-000035,-0.478166600686
ACH-000036,-0.219607965757
ACH-000037,-0.29663906589899997
ACH-000039,-0.363546966095
ACH-000040,-0.38160775716399997
ACH-000041,-0.232043913184
ACH-000042,-0.252727183706
ACH-000045,-0.08199483039939999
ACH-000047,-0.287146416838
ACH-000052,-0.360271751221
ACH-000053,-0.18536200646200002
ACH-000054,-0.386628435879
ACH-000055,-0.319724871625
ACH-000060,-0.456960372992
ACH-000067,-0.516384356089
ACH-000070,-0.09961580034800001
ACH-000075,-0.306569738376
ACH-000078,-0.462316372972
ACH-000082,-0.188967612169
ACH-000085,-0.192479691668
ACH-000086,-0.33660550289499996
ACH-000087,-0.499856776256
ACH-000092,-0.50662123627
ACH-000095,-0.177690131976
ACH-000097,-0.370176836203
ACH-000098,-0.205074104441
ACH-000099,-0.333105340056
ACH-000108,-0.38961211627
ACH-000113,-0.339795004809
ACH-000115,-0.128057568075
ACH-000116,-0.251722146802
ACH-000118,-0.354109794281
ACH-000120,-0.190307104114
ACH-000123,-0.233397849318
ACH-000127,-0.323644497573
ACH-000128,-0.401699294928
ACH-000132,-0.14116113671
ACH-000133,-0.141721126015
ACH-000137,-0.340362789802
ACH-000138,-0.41569099229199996
ACH-000142,-0.33089301332
ACH-000143,-0.16239286144600001
ACH-000146,-0.244159997933
ACH-000148,-0.313440281095
ACH-000150,-0.27530800683
ACH-000152,-0.356199515261
ACH-000153,-0.18934475561500003
ACH-000159,-0.333098557337
ACH-000160,-0.394098748243
ACH-000163,-0.19588061357500003
ACH-000167,-0.27710808143800003
ACH-000168,-0.104227396486
ACH-000169,-0.201483373459
ACH-000178,-0.17005523426
ACH-000182,-0.162770178762
ACH-000183,-0.449185231799
ACH-000188,-0.29528807528
ACH-000189,-0.4401810082
ACH-000190,-0.121588978134
ACH-000198,-0.17334213785799998
ACH-000204,-0.341149285691
ACH-000206,-0.234593894968
ACH-000207,-0.204283451048
ACH-000211,-0.250460794043
ACH-000215,-0.330266529116
ACH-000221,-0.386924022773
