,CPT1B (1375)
ACH-000004,-0.060289197827699995
ACH-000007,0.019555139673599998
ACH-000009,-0.265064230143
ACH-000011,-0.238047362043
ACH-000012,-0.46447956886999997
ACH-000013,-0.38180099207199997
ACH-000014,-0.282421878717
ACH-000015,-0.330061319846
ACH-000017,-0.317104921596
ACH-000018,-0.21506341869000004
ACH-000019,-0.21750490248399998
ACH-000021,-0.240147573879
ACH-000022,-0.37086153498499996
ACH-000025,-0.117659261075
ACH-000028,-0.336257388389
ACH-000030,-0.389815290082
ACH-000035,-0.215619117477
ACH-000036,-0.271305124558
ACH-000037,-0.392809470326
ACH-000039,-0.257449506045
ACH-000040,-0.130291375582
ACH-000041,-0.28708499332
ACH-000042,-0.288217489888
ACH-000045,-0.143952476937
ACH-000047,-0.216413857835
ACH-000052,-0.432981877176
ACH-000053,-0.29188760305399997
ACH-000054,-0.15990558645400002
ACH-000055,-0.314661569971
ACH-000060,-0.176034546414
ACH-000067,-0.21300133670000002
ACH-000070,-0.291548889616
ACH-000075,-0.245691089069
ACH-000078,-0.436654055527
ACH-000082,-0.227033709201
ACH-000085,-0.360406203714
ACH-000086,-0.214640611131
ACH-000087,-0.183610018756
ACH-000092,-0.213348061136
ACH-000095,-0.321197289521
ACH-000097,-0.38334225713299996
ACH-000098,-0.276840705049
ACH-000099,-0.328159972411
ACH-000108,-0.21477330466400002
ACH-000113,-0.306270699312
ACH-000115,-0.25752655310600003
ACH-000116,-0.314060959477
ACH-000118,-0.311984874318
ACH-000120,-0.452157120215
ACH-000123,-0.28368103174000003
ACH-000127,-0.253838499215
ACH-000128,-0.264171206899
ACH-000132,-0.311015138252
ACH-000133,-0.14841857781099999
ACH-000137,-0.374907537258
ACH-000138,-0.155625937959
ACH-000142,-0.0372304330386
ACH-000143,-0.342571231048
ACH-000146,-0.10661747951600001
ACH-000148,-0.26172657683600004
ACH-000150,-0.227375786735
ACH-000152,-0.372895271752
ACH-000153,-0.31459863634
ACH-000159,-0.286198828358
ACH-000160,-0.235469291574
ACH-000163,-0.26123726412
ACH-000167,-0.269990637855
ACH-000168,-0.087290303235
ACH-000169,-0.291383357119
ACH-000178,-0.289922236792
ACH-000182,-0.277689281491
ACH-000183,-0.215647402886
ACH-000188,-0.116927870941
ACH-000189,-0.267448876261
ACH-000190,-0.0891091579882
ACH-000198,-0.26518362286499997
ACH-000204,-0.40405135505500006
ACH-000206,-0.0245896780534
ACH-000207,-0.36463336476499997
ACH-000211,-0.372733979262
ACH-000215,-0.132538540766
ACH-000221,-0.231360325283
ACH-000222,-0.296092058752
ACH-000223,-0.127808083574
ACH-000226,-0.046645621521699994
ACH-000227,-0.292058131042
ACH-000228,-0.403489726263
ACH-000231,-0.441212224836
ACH-000232,-0.288186515634
ACH-000233,-0.313895560172
ACH-000234,-0.35342281049
ACH-000235,-0.253778650096
ACH-000237,-0.32021228230500004
ACH-000238,-0.36958464119499995
ACH-000243,-0.15220800496
ACH-000244,-0.33881359079000006
ACH-000246,-0.248046657598
ACH-000248,-0.46151697141500003
ACH-000250,-0.266250861066
ACH-000251,-0.513264222687
ACH-000253,-0.31112502528700003
ACH-000255,-0.143145940479
ACH-000256,-0.5036768350509999
ACH-000257,-0.375833905388
ACH-000258,-0.0697881115255
ACH-000259,-0.25721493799199996
ACH-000260,-0.286126536114
ACH-000261,-0.279148056801
ACH-000262,-0.259364446512
ACH-000263,-0.361104384335
ACH-000264,-0.28126788172899997
ACH-000265,-0.148588551649
ACH-000266,-0.384010882033
ACH-000272,-0.341529741359
ACH-000273,-0.205708082857
ACH-000274,-0.378607481344
ACH-000277,-0.36915091124300004
ACH-000278,-0.22630342837900003
ACH-000279,-0.431630320143
ACH-000280,-0.416728343822
ACH-000281,-0.501565621928
ACH-000288,-0.28840819449
ACH-000291,-0.165928918921
ACH-000293,-0.25820989279199996
ACH-000294,-0.114061300331
ACH-000295,-0.09574137775489999
ACH-000296,-0.427686488797
ACH-000302,-0.246720286768
ACH-000304,-0.148290211772
ACH-000307,-0.340965590631
ACH-000308,-0.364250539555
ACH-000310,-0.43172863408999995
ACH-000311,-0.366732395417
ACH-000312,-0.369250350484
ACH-000315,-0.254831678916
ACH-000316,-0.260222641431
ACH-000317,-0.18812321627099998
ACH-000318,-0.225624725482
ACH-000319,-0.1360930592
ACH-000320,-0.486908997615
ACH-000322,-0.14841621325999999
ACH-000323,-0.33986523569300003
ACH-000324,-0.302973029457
ACH-000329,-0.317709415143
ACH-000330,-0.432493395585
ACH-000331,-0.08479829716
ACH-000332,-0.290478196915
ACH-000334,-0.025688204281
ACH-000335,0.0360227875023
ACH-000336,-0.00577774024386
ACH-000337,-0.414493599684
ACH-000339,-0.226826669468
ACH-000341,-0.053917226837900005
ACH-000348,-0.296502952235
ACH-000350,-0.274553764781
ACH-000352,-0.295595504315
ACH-000356,-0.298468878722
ACH-000361,-0.5389982667750001
ACH-000362,-0.194120700756
ACH-000363,-0.393860483758
ACH-000364,-0.38203990201899996
ACH-000365,-0.392120964781
ACH-000366,-0.21141790012699999
ACH-000368,-0.22674830701499998
ACH-000374,-0.281800232115
ACH-000375,-0.322539136166
ACH-000376,-0.28636489268800003
ACH-000381,-0.399499628327
ACH-000383,-0.343593111121
ACH-000387,-0.21042898039400001
ACH-000389,-0.35146595334200004
ACH-000390,-0.366685383762
ACH-000393,-0.39894335650799995
ACH-000395,-0.384846490637
ACH-000397,-0.335818888794
ACH-000401,-0.154443462126
ACH-000402,-0.0663429192304
ACH-000403,-0.251716416054
ACH-000404,-0.08312145886469999
ACH-000406,-0.273344578093
ACH-000407,-0.18761691383600002
ACH-000408,-0.348630812715
ACH-000410,-0.257073112341
ACH-000411,-0.290428987687
ACH-000414,-0.30601463663
ACH-000415,-0.156150901334
ACH-000416,-0.234614005447
ACH-000420,-0.237076772374
ACH-000421,-0.22596077419
ACH-000424,-0.502723066723
ACH-000425,-0.331840541779
ACH-000426,-0.339244154503
ACH-000427,-0.295248858583
ACH-000433,-0.0413831817592
ACH-000436,-0.301473191347
ACH-000444,-0.340559727253
ACH-000445,-0.559371388161
ACH-000448,-0.341790638734
ACH-000450,-0.154802696539
ACH-000452,-0.22676710480599999
ACH-000454,-0.23069175187600002
ACH-000458,-0.298252005139
ACH-000459,-0.0784787669912
ACH-000460,-0.317240101373
ACH-000461,-0.28763640915800004
ACH-000463,-0.27548050834000004
ACH-000464,-0.444539287706
ACH-000466,-0.132102828171
ACH-000467,-0.18354218633299998
ACH-000468,-0.438611300149
ACH-000469,-0.18006861766899998
ACH-000470,-0.406656138175
ACH-000471,-0.348439722095
ACH-000472,-0.29622095408599997
ACH-000473,-0.255083773103
ACH-000475,-0.263014375649
ACH-000476,-0.320313770956
ACH-000477,-0.549943722363
ACH-000480,-0.18035742908
ACH-000481,-0.24752452604800002
ACH-000483,-0.114240718967
ACH-000484,-0.190518308989
ACH-000485,-0.303281168917
ACH-000486,-0.294440206994
ACH-000487,-0.216105408132
ACH-000488,-0.165281900852
ACH-000490,-0.317593338916
ACH-000491,-0.16199068947
ACH-000495,-0.20024377700100002
ACH-000496,-0.139265194296
ACH-000499,-0.11650253263
