,USH1G (124590)
ACH-000004,-0.367138545938
ACH-000007,-0.417704858758
ACH-000009,-0.414735964897
ACH-000011,-0.665420161
ACH-000012,-0.54704003354
ACH-000013,-0.357154084783
ACH-000014,-0.395301820258
ACH-000015,-0.38210638775600003
ACH-000017,-0.55221736394
ACH-000018,-0.042409904445
ACH-000019,-0.09393504776730001
ACH-000021,-0.470627023524
ACH-000022,-0.277696907943
ACH-000025,-0.315212559355
ACH-000028,-0.34343423157200004
ACH-000030,-0.49515513153000007
ACH-000035,-0.342298238144
ACH-000036,-0.421189263254
ACH-000037,-0.5230563116520001
ACH-000039,-0.662398581268
ACH-000040,-0.44546119363000003
ACH-000041,-0.380833839146
ACH-000042,-0.7418516177330001
ACH-000045,-0.541199848658
ACH-000047,-0.42788374852
ACH-000052,-0.309532079132
ACH-000053,-0.424206024402
ACH-000054,-0.33279023769
ACH-000055,-0.364850685323
ACH-000060,-0.486016535169
ACH-000067,-0.687906712504
ACH-000070,-0.564905643823
ACH-000075,-0.5112611534120001
ACH-000078,-0.5148242831090001
ACH-000082,-0.375719953283
ACH-000085,-0.34117554268100003
ACH-000086,-0.455617082187
ACH-000087,-0.264270981799
ACH-000092,-0.5242865710469999
ACH-000095,-0.501618121632
ACH-000097,-0.335042377612
ACH-000098,-0.418491765856
ACH-000099,-0.645234096949
ACH-000108,-0.508419415244
ACH-000113,-0.57785216738
ACH-000115,-0.49253538721199996
ACH-000116,-0.599403837952
ACH-000118,-0.352217869183
ACH-000120,-0.178575789278
ACH-000123,-0.45340405763400005
ACH-000127,-0.307632713919
ACH-000128,-0.555267089427
ACH-000132,-0.404610355114
ACH-000133,-0.44540201761799997
ACH-000137,-0.46003581375299996
ACH-000138,-0.395947511344
ACH-000142,-0.557263253778
ACH-000143,-0.319674692028
ACH-000146,-0.254673191238
ACH-000148,-0.48704027833400004
ACH-000150,-0.495248160642
ACH-000152,-0.382585351747
ACH-000153,-0.345981890851
ACH-000159,-0.498452752143
ACH-000160,-0.572590521242
ACH-000163,-0.223180639362
ACH-000167,-0.500899174464
ACH-000168,-0.525936018061
ACH-000169,-0.497023810695
ACH-000178,-0.414848272416
ACH-000182,-0.484386887172
ACH-000183,-0.180842440734
ACH-000188,-0.431663065691
ACH-000189,-0.347331154595
ACH-000190,-0.348237406759
ACH-000198,-0.527189838175
ACH-000204,0.10389867645199999
ACH-000206,-0.31832558901
ACH-000207,-0.23947561491099997
ACH-000211,-0.698883184851
ACH-000215,-0.42408027682
ACH-000221,-0.384666199436
ACH-000222,-0.382375691691
ACH-000223,-0.446103071835
ACH-000226,-0.41785140948399996
ACH-000227,-0.250535091157
ACH-000228,-0.361887387821
ACH-000231,-0.35401800808899997
ACH-000232,-0.38600189975
ACH-000233,-0.410884099331
ACH-000234,-0.799391643915
ACH-000235,-0.355467105607
ACH-000237,-0.293218650042
ACH-000238,-0.47879806007799997
ACH-000243,-0.404261000201
ACH-000244,-0.5220036602870001
ACH-000246,-0.488910348526
ACH-000248,-0.630263519855
ACH-000250,-0.644981476536
ACH-000251,-0.602855574275
ACH-000253,-0.554908813882
ACH-000255,-0.421096840551
ACH-000256,-0.570994481627
ACH-000257,-0.204419852306
ACH-000258,-0.690371373422
ACH-000259,-0.587518827995
ACH-000260,-0.556018892121
ACH-000261,-0.583029738603
ACH-000262,-0.415566314103
ACH-000263,-0.593813771802
ACH-000264,-0.686704005997
ACH-000265,-0.30920575667100003
ACH-000266,-0.573654459339
ACH-000272,-0.445006900123
ACH-000273,-0.485403455831
ACH-000274,-0.677170373469
ACH-000277,-0.35440708468000004
ACH-000278,-0.544035238268
ACH-000279,-0.516806612878
ACH-000280,-0.672763890449
ACH-000281,-0.419578515573
ACH-000288,-0.45579350097800003
ACH-000291,-0.392731574005
ACH-000293,-0.48692630904
ACH-000294,-0.507367442856
ACH-000295,-0.543615060748
ACH-000296,-0.41918964107199996
ACH-000302,-0.444613724577
ACH-000304,-0.326933138935
ACH-000307,-0.44831615200099995
ACH-000308,-0.290089745711
ACH-000310,-0.7664748609020001
ACH-000311,-0.338914242862
ACH-000312,-0.37822321747500004
ACH-000315,-0.198236000462
ACH-000316,-0.566096377505
ACH-000317,-0.368464256704
ACH-000318,-0.21606290755399998
ACH-000319,-0.591901103767
ACH-000320,-0.286544238342
ACH-000322,-0.242474665644
ACH-000323,-0.325309804925
ACH-000324,-0.42018799092
ACH-000329,-0.700524100898
ACH-000330,-0.24896460841600002
ACH-000331,-0.40604006351599997
ACH-000332,-0.45773392212200004
ACH-000334,0.0689389252547
ACH-000335,-0.00831833450971
ACH-000336,-0.592577803907
ACH-000337,-0.498844286255
ACH-000339,-0.405681281449
ACH-000341,-0.37637158608599997
ACH-000348,-0.361091588781
ACH-000350,-0.618195729084
ACH-000352,-0.463443119151
ACH-000356,-0.38221487413500005
ACH-000361,-0.5807932779630001
ACH-000362,-0.439945538394
ACH-000363,-0.488462332143
ACH-000364,-0.35823536517
ACH-000365,-0.475741312161
ACH-000366,-0.622534884012
ACH-000368,-0.400104544261
ACH-000374,-0.392610758665
ACH-000375,-0.5862714458380001
ACH-000376,-0.438644410237
ACH-000381,-0.33761278486699997
ACH-000383,-0.42233509365000005
ACH-000387,-0.579539331625
ACH-000389,-0.410493388977
ACH-000390,-0.263593122645
ACH-000393,-0.44511532119499997
ACH-000395,-0.324123705676
ACH-000397,-0.398822644843
ACH-000401,-0.238886926494
ACH-000402,-0.32066355466400004
ACH-000403,-0.758871950713
ACH-000404,-0.00607403513501
ACH-000406,-0.506604109435
ACH-000407,-0.546459381465
ACH-000408,-0.284423613142
ACH-000410,-0.182047577221
ACH-000411,-0.45978583940300005
ACH-000414,-0.301321230187
ACH-000415,-0.512780211925
ACH-000416,-0.579230941616
ACH-000420,-0.41978191232199996
ACH-000421,-0.382523147171
ACH-000424,-0.6208040689159999
ACH-000425,-0.43060902634
ACH-000426,-0.39933725294
ACH-000427,-0.609701863535
ACH-000433,-0.654305861811
ACH-000436,-0.21996319114000001
ACH-000444,-0.208110563559
ACH-000445,-0.49997895611599996
ACH-000448,-0.530047945043
ACH-000450,-0.07507910944910001
ACH-000452,-0.392326948385
ACH-000454,-0.205769627257
ACH-000458,-0.241410872584
ACH-000459,-0.358464075127
ACH-000460,-0.610016114108
ACH-000461,-0.32374839676899997
ACH-000463,-0.459574380921
ACH-000464,-0.431589332058
ACH-000466,-0.395872902989
ACH-000467,-0.332539816647
ACH-000468,-0.48761929539300003
ACH-000469,-0.451345626711
ACH-000470,-0.557572664273
ACH-000471,-0.6465660136729999
ACH-000472,-0.498165430308
ACH-000473,-0.40752061163900005
ACH-000475,-0.511233211163
ACH-000476,-0.44890166805799997
ACH-000477,-0.277509787973
ACH-000480,-0.5035176225410001
ACH-000481,-0.404680365324
ACH-000483,-0.283977942198
ACH-000484,-0.30551031074
ACH-000485,-0.335325702739
ACH-000486,-0.353406096853
ACH-000487,-0.376624669067
ACH-000488,-0.486658514741
ACH-000490,-0.5149110019690001
ACH-000491,-0.48396907408100004
ACH-000495,-0.462342930556
ACH-000496,-0.246939617887
ACH-000499,-0.19457594572599998
ACH-000500,-0.7951398975660001
ACH-000502,-0.37775359652199997
ACH-000503,-0.623694224524
ACH-000505,-0.467119664042
ACH-000507,-0.446334957662
ACH-000510,-0.334629705363
ACH-000511,-0.520702055333
ACH-000512,-0.620002128886
ACH-000516,-0.379538759076
ACH-000517,-0.490893996254
ACH-000518,-0.19952322600000003
ACH-000520,-0.622031323651
ACH-000521,-0.520164802395
ACH-000522,-0.355694423231
ACH-000524,-0.44132840051100003
ACH-000527,-0.598274157516
ACH-000528,-0.402338722277
ACH-000537,-0.560542840577
ACH-000541,0.0502206443998
ACH-000542,-0.36557223424
ACH-000544,-0.411977838344
ACH-000545,-0.38917746008299997
ACH-000547,-0.334282927834
ACH-000548,-0.403363708111
ACH-000549,-0.529854793142
ACH-000550,-0.565426264104
ACH-000552,-0.40872674633699996
ACH-000556,-0.485525167173
ACH-000557,-0.45618706529299996
ACH-000570,-0.41164616318
ACH-000571,-0.295149846068
ACH-000573,-0.14522228427300002
ACH-000576,-0.462423350577
ACH-000580,-0.183590270194
ACH-000584,-0.42161731550399995
ACH-000585,-0.49649208111599996
ACH-000588,-0.18869278872200002
ACH-000589,-0.384277234198
ACH-000591,-0.41467486756399996
ACH-000593,-0.38634723015100003
ACH-000600,-0.355049237335
ACH-000601,-0.415925810985
ACH-000604,-0.563535640162
ACH-000605,-0.5831428973430001
ACH-000606,-0.449229489418
ACH-000608,-0.722767482797
ACH-000614,0.0314255760762
ACH-000616,-0.601266920861
ACH-000618,-0.382979272024
ACH-000619,-0.257556050951
ACH-000620,-0.387974973416
ACH-000621,-0.31208469719099996
ACH-000622,-0.617698056386
ACH-000623,-0.447207577626
ACH-000624,-0.53045546853
ACH-000627,-0.430721835353
ACH-000630,-0.5242106506090001
ACH-000632,-0.378690726945
ACH-000633,-0.551206541757
ACH-000637,-0.577920668933
ACH-000638,-0.349489717354
ACH-000646,-0.46241149195799996
ACH-000647,-0.5472251140609999
ACH-000648,-0.25660114343199997
ACH-000649,-0.613956794196
ACH-000651,-0.448956094995
ACH-000652,-0.49475146764
ACH-000653,-0.625814440065
ACH-000657,-0.508293517927
ACH-000658,-0.21120140583
ACH-000661,-0.163532478027
ACH-000662,-0.284240473082
ACH-000663,-0.5223608136110001
ACH-000665,-0.47804646209
ACH-000671,-0.471655845865
ACH-000673,-0.68208697027
ACH-000676,-0.575858753737
ACH-000677,-0.336930803979
ACH-000681,-0.432458578185
ACH-000682,-0.567153488685
ACH-000683,-0.317301758376
ACH-000684,-0.331769554324
ACH-000688,-0.36058481731299996
ACH-000693,-0.41497971963
ACH-000694,-0.432606301703
ACH-000695,-0.417829565444
ACH-000696,-0.564368947285
ACH-000697,-0.545721644494
ACH-000699,-0.51953017554
ACH-000701,-0.516026310242
ACH-000706,-0.44090006342200005
ACH-000711,-0.47380715956200004
ACH-000713,-0.478219699538
