,PLEKHM1 (9842)
ACH-000004,-0.11322212130300001
ACH-000007,-0.19074016318300002
ACH-000009,-0.431232459483
ACH-000011,-0.215190125208
ACH-000012,-0.40019303968000003
ACH-000013,-0.307324612922
ACH-000014,-0.264154743835
ACH-000015,-0.340751198722
ACH-000017,-0.37045434716
ACH-000018,-0.378735266638
ACH-000019,-0.308178787941
ACH-000021,-0.265594476905
ACH-000022,-0.5850561130849999
ACH-000025,-0.314433690998
ACH-000028,-0.331045482535
ACH-000030,-0.23436653569200003
ACH-000035,-0.5870866462300001
ACH-000036,-0.321949934647
ACH-000037,-0.423659232197
ACH-000039,-0.452908406789
ACH-000040,-0.33812296129600006
ACH-000041,-0.279074761856
ACH-000042,-0.291973326576
ACH-000045,-0.385156392101
ACH-000047,-0.269100964033
ACH-000052,-0.387851883711
ACH-000053,-0.222727832777
ACH-000054,-0.506853729668
ACH-000055,-0.533208093084
ACH-000060,-0.28762761287599997
ACH-000067,-0.509901316071
ACH-000070,-0.041067670754900004
ACH-000075,-0.41142179971299997
ACH-000078,-0.287863614168
ACH-000082,-0.22637416437600003
ACH-000085,-0.43354966466899997
ACH-000086,-0.428023271785
ACH-000087,-0.143587910051
ACH-000092,-0.243095996373
ACH-000095,-0.369354416942
ACH-000097,-0.349848998599
ACH-000098,-0.44444523413099996
ACH-000099,-0.40958761230400004
ACH-000108,-0.22385391328600002
ACH-000113,-0.22201865671799997
ACH-000115,-0.432041557905
ACH-000116,-0.521973750587
ACH-000118,-0.413423167443
ACH-000120,-0.49447573643200005
ACH-000123,-0.241033127372
ACH-000127,-0.217103409374
ACH-000128,-0.512501722112
ACH-000132,-0.20980755072700003
ACH-000133,-0.28382575966999996
ACH-000137,-0.12007036353900001
ACH-000138,-0.474286109868
ACH-000142,-0.53815156053
ACH-000143,-0.29461231887
ACH-000146,-0.11943535797
ACH-000148,-0.402469533911
ACH-000150,-0.500566143892
ACH-000152,-0.575608567623
ACH-000153,-0.0436468576718
ACH-000159,-0.19803247779
ACH-000160,-0.352774974181
ACH-000163,-0.576565968789
ACH-000167,-0.303228048247
ACH-000168,-0.106012826919
ACH-000169,-0.517753163804
ACH-000178,-0.262188816298
ACH-000182,-0.476803392284
