,PIP5K1A (8394)
ACH-000004,-0.33703971965400004
ACH-000007,-0.227902296978
ACH-000009,-0.647252518089
ACH-000011,-0.470162505457
ACH-000012,-0.678923444039
ACH-000013,-0.629028497073
ACH-000014,-0.0680995482166
ACH-000015,-0.22753572243700002
ACH-000017,-0.475931103002
ACH-000018,-0.783547187395
ACH-000019,-0.5343755700980001
ACH-000021,-0.32602020881099997
ACH-000022,-0.551634643104
ACH-000025,-0.494231607769
ACH-000028,-0.408411742279
ACH-000030,-0.399530251857
ACH-000035,-0.35718221895400004
ACH-000036,-0.511224868662
ACH-000037,-0.596207514907
ACH-000039,-0.463505412645
ACH-000040,-0.446540334092
ACH-000041,-0.40115133808799996
ACH-000042,-0.13221454912299999
ACH-000045,-0.23334026919300002
ACH-000047,-0.539645983342
ACH-000052,-0.5752720389720001
ACH-000053,-0.642517342553
ACH-000054,-0.282749654393
ACH-000055,-0.420323068062
ACH-000060,-0.194482267053
ACH-000067,-0.656685427091
ACH-000070,-0.257288748454
ACH-000075,-0.457079559237
ACH-000078,-0.178091402863
ACH-000082,-0.390988923028
ACH-000085,-0.277899797794
ACH-000086,-0.598106102402
ACH-000087,-0.303440288475
ACH-000092,-0.334180240569
ACH-000095,-0.389904995567
ACH-000097,-0.312135835077
ACH-000098,-0.607081813205
ACH-000099,-0.44308566931500004
ACH-000108,-0.422111531164
ACH-000113,-0.37287095170699996
ACH-000115,-0.48858052884
ACH-000116,-0.49718241506099997
ACH-000118,-0.103637441179
ACH-000120,-0.345152167491
ACH-000123,-0.396726140289
ACH-000127,-0.504138543306
ACH-000128,-0.38989136147500003
ACH-000132,-0.39910095802699996
ACH-000133,-0.35335269894599997
ACH-000137,-0.30443284783
ACH-000138,-0.420075096237
ACH-000142,-0.681612377545
ACH-000143,-0.348769015204
ACH-000146,-0.22788252240499998
ACH-000148,-0.279392566015
ACH-000150,-0.5031022924390001
ACH-000152,-0.300486215347
ACH-000153,-0.26872132625399997
ACH-000159,-0.621158442544
ACH-000160,-0.360175231213
ACH-000163,-0.254208008197
ACH-000167,-0.687972597349
ACH-000168,-0.129842245203
ACH-000169,-0.446219576237
ACH-000178,-0.3003792436
ACH-000182,-0.316877297825
ACH-000183,-0.17956186466600002
ACH-000188,-0.444176174405
ACH-000189,-0.670216594591
ACH-000190,-0.198533445127
ACH-000198,-0.6108630670340001
ACH-000204,-0.5174327641309999
ACH-000206,-0.328163031096
ACH-000207,-0.529320470534
ACH-000211,-0.38066350235299995
ACH-000215,-0.5523588858380001
ACH-000221,-0.209384760698
ACH-000222,-0.27843437469500004
ACH-000223,-0.312387221501
ACH-000226,-0.35607625806500004
ACH-000227,-0.31183018951499997
ACH-000228,-0.464346991557
ACH-000231,-0.19030272733800002
ACH-000232,-0.49269665452699996
ACH-000233,-0.458596724054
ACH-000234,-0.43886440468099996
ACH-000235,-0.7304688479350001
ACH-000237,-0.826057800724
ACH-000238,-0.584610793063
ACH-000243,-0.489012478214
ACH-000244,-0.592080904491
ACH-000246,-0.641366927199
ACH-000248,-0.575436917414
ACH-000250,-0.6926647891050001
ACH-000251,-0.31226941366300004
ACH-000253,-0.483961142191
ACH-000255,-0.596847445244
ACH-000256,-0.33425458649399997
ACH-000257,-0.393068756732
ACH-000258,-0.416272988757
ACH-000259,-0.344007215515
ACH-000260,-0.25593777717099997
ACH-000261,-0.300382425025
ACH-000262,-0.422083452393
ACH-000263,-0.579103559719
ACH-000264,-0.7990172217739999
ACH-000265,-0.18470476283300002
ACH-000266,-0.304603372893
ACH-000272,-0.34209309384400005
ACH-000273,-0.547195294604
ACH-000274,-0.341740478845
ACH-000277,-0.344315357684
ACH-000278,-0.287823366251
ACH-000279,-0.304817871729
ACH-000280,-0.323330544155
ACH-000281,-0.33837063681100005
ACH-000288,-0.48543648504500003
ACH-000291,-0.483131427824
ACH-000293,-0.575341169497
ACH-000294,-0.433916122583
ACH-000295,-0.427130974305
ACH-000296,-0.209655128726
ACH-000302,-0.7699875994390001
ACH-000304,-0.210205706677
ACH-000307,-0.393495966157
ACH-000308,-0.498893274315
ACH-000310,-0.5860450232509999
ACH-000311,-0.171708229755
ACH-000312,-0.24674524522799998
ACH-000315,-0.330383872881
ACH-000316,-0.207641403829
ACH-000317,-0.0359703670849
ACH-000318,-0.5150791736289999
ACH-000319,-0.796960339308
ACH-000320,-0.156601460716
ACH-000322,-0.138009663441
ACH-000323,-0.496303253063
ACH-000324,-0.43510133656000005
ACH-000329,-0.289118490458
ACH-000330,-0.380413291378
ACH-000331,-0.281506739956
ACH-000332,-0.44639129488000007
ACH-000334,-0.488923403504
ACH-000335,-0.250031013602
ACH-000336,-0.72889909794
ACH-000337,-0.698351243571
ACH-000339,-0.46724047228999993
ACH-000341,-0.445544304988
ACH-000348,-0.243069373584
ACH-000350,-0.187582260943
ACH-000352,-0.352176757836
ACH-000356,-0.421786673026
ACH-000361,-0.612545628842
ACH-000362,-0.41712156154299995
ACH-000363,-0.316859572282
ACH-000364,-0.610286215007
ACH-000365,-0.263496108515
ACH-000366,-0.488461996636
ACH-000368,-0.52052854622
ACH-000374,-0.544148291317
ACH-000375,-0.487433356789
ACH-000376,-0.521255460366
ACH-000381,-0.480323102717
ACH-000383,-0.952754028557
ACH-000387,-0.318410033583
ACH-000389,-0.161766711342
ACH-000390,-0.515741283002
ACH-000393,-0.318063847287
ACH-000395,-1.0642613745899998
ACH-000397,-0.23638037570999998
ACH-000401,-0.474879290764
ACH-000402,-0.138330264203
ACH-000403,-0.395768311896
ACH-000404,-0.212299617608
ACH-000406,-0.258704991777
ACH-000407,-0.224303426966
ACH-000408,-0.371931541859
ACH-000410,-0.496769778911
ACH-000411,-0.17781940648400002
ACH-000414,-0.11062366314300001
ACH-000415,-0.549799121875
ACH-000416,-0.619595066351
ACH-000420,-0.521354983233
ACH-000421,-0.509224905882
ACH-000424,-0.45095828963
ACH-000425,-0.47938945143899997
ACH-000426,-0.342709786316
ACH-000427,-0.605797476829
ACH-000433,-0.615462241677
ACH-000436,-0.332736539393
ACH-000444,-0.281221715987
ACH-000445,-0.317652228205
ACH-000448,-0.585127132867
ACH-000450,-0.239354430467
ACH-000452,-0.38975568626900003
ACH-000454,-0.587328106479
ACH-000458,-0.258825052628
ACH-000459,-0.21384223967399998
ACH-000460,-0.690019638527
ACH-000461,-0.28709365836399997
ACH-000463,-0.32594225108
ACH-000464,-0.351460903803
ACH-000466,-0.508911145782
ACH-000467,-0.296555946078
ACH-000468,-0.35261411250600005
ACH-000469,-0.415536067706
ACH-000470,-0.205328544415
ACH-000471,-0.40905055593199996
ACH-000472,-0.310384033261
ACH-000473,-0.315254253599
ACH-000475,-0.41532135108499996
ACH-000476,-0.649722729406
ACH-000477,-0.08315390245080001
ACH-000480,-0.615379808522
ACH-000481,-0.6120968792629999
ACH-000483,-0.28766516289099997
ACH-000484,-0.67891336408
ACH-000485,-0.855434759325
ACH-000486,-0.30974714125999997
ACH-000487,-0.324717203178
ACH-000488,-0.395974993512
ACH-000490,-0.420243132122
ACH-000491,-0.393462451488
ACH-000495,-0.597938176684
ACH-000496,-0.327434290725
ACH-000499,-0.0833641471084
ACH-000500,-0.746560332834
ACH-000502,-0.093709353663
ACH-000503,-0.8417381513500001
ACH-000505,-0.310273138853
ACH-000507,-0.45595830021000006
ACH-000510,-0.5806457632109999
ACH-000511,-0.307019502372
ACH-000512,-0.44555580912500004
ACH-000516,-0.460722318566
ACH-000517,-0.18339323830899998
ACH-000518,-0.238966081753
ACH-000520,-0.39699381748499996
ACH-000521,-0.42822200001500005
ACH-000522,-0.209988793118
ACH-000524,-0.600100957077
ACH-000527,-0.5114606152610001
ACH-000528,-0.35552343840899997
ACH-000537,-0.24976020263700002
ACH-000541,-0.507386200202
ACH-000542,-0.312780206204
ACH-000544,-0.7353211667120001
ACH-000545,-0.47148205593000003
ACH-000547,-0.30111810394
ACH-000548,-0.45879698907600003
ACH-000549,-0.615143384193
ACH-000550,-0.421581862919
ACH-000552,-0.26102278787300004
ACH-000556,-0.478885565295
ACH-000557,-0.378885623816
ACH-000570,-0.249844355619
ACH-000571,-0.398546977288
ACH-000573,-0.15058907891599999
ACH-000576,-0.608094781399
ACH-000580,-0.218846439594
ACH-000584,-0.54914024234
ACH-000585,-0.348533364502
ACH-000588,-0.18139481046
ACH-000589,-0.162833603519
ACH-000591,0.09590480671229999
ACH-000593,-0.133986196437
ACH-000600,-0.35680793823600004
ACH-000601,-0.564452772612
ACH-000604,-0.22034096090500002
ACH-000605,-0.259434416936
ACH-000606,-0.27121006358800004
ACH-000608,-0.637183646425
ACH-000614,-0.34567049809199996
ACH-000616,-0.266739191103
ACH-000618,-0.30085230933699997
ACH-000619,-0.556747131521
ACH-000620,-0.6213754530960001
ACH-000621,-0.294726364139
ACH-000622,-0.220040277142
ACH-000623,-0.300043520166
ACH-000624,-0.23233911660700002
ACH-000627,-0.660888335646
ACH-000630,-0.409309378889
ACH-000632,-0.119095947755
ACH-000633,-0.677986795449
ACH-000637,-0.169689795889
ACH-000638,-0.614029139819
ACH-000646,-0.253899877325
ACH-000647,-0.430724230772
ACH-000648,-0.526036233187
ACH-000649,-0.512276595362
ACH-000651,-0.38504082275799995
ACH-000652,-0.27069406643800004
ACH-000653,-0.414647177025
ACH-000657,-0.407065993119
ACH-000658,-0.76633986934
ACH-000661,-0.30055523867
ACH-000662,-0.6767182348530001
ACH-000663,-0.427399169822
ACH-000665,-0.539253069909
ACH-000671,-0.382961219054
ACH-000673,-0.261513396376
ACH-000676,-0.525127526196
ACH-000677,-0.368816392905
ACH-000681,-0.23873539988
ACH-000682,-0.590052104421
ACH-000683,-0.795966508959
ACH-000684,-0.194330232731
ACH-000688,-0.526109540671
ACH-000693,-0.369819438391
ACH-000694,-0.455180026293
ACH-000695,-0.797799462375
ACH-000696,-0.424334151783
ACH-000697,-0.225907174313
ACH-000699,-0.195441219268
ACH-000701,-0.522619893538
ACH-000706,-0.483365064903
ACH-000711,-0.37740292405299997
ACH-000713,-0.6852774162049999
ACH-000714,-0.608726173811
ACH-000718,-0.723808245174
ACH-000720,-0.343994888204
ACH-000721,-0.585166833428
ACH-000724,-0.31830848951499996
ACH-000725,-0.529001378685
ACH-000732,-0.245686557971
ACH-000734,-0.45985764382100003
ACH-000735,-0.388714113319
ACH-000736,-0.333173611235
ACH-000738,-0.33315616205
ACH-000746,-0.6090980454580001
ACH-000747,-0.441027945951
ACH-000748,-0.483292221411
ACH-000753,-0.416401015699
ACH-000756,-0.417810110946
ACH-000757,-0.112134808379
ACH-000758,-0.492678354537
ACH-000760,-0.795830774259
ACH-000763,-0.27547625104699996
ACH-000764,-0.391274366399
ACH-000765,-0.29050813720400004
ACH-000766,-0.508966404669
ACH-000767,-0.629471450003
ACH-000768,-0.37132350838600003
ACH-000769,-0.5967093562770001
ACH-000770,-0.241258906763
ACH-000771,-0.14825247980599998
ACH-000773,-0.41795465657499997
ACH-000776,-0.439615875818
ACH-000777,-0.592096307294
ACH-000778,-0.282626590671
ACH-000781,-0.323362365642
ACH-000782,-0.41918401324199994
ACH-000783,-0.35395462891400004
ACH-000784,-0.317128118266
ACH-000785,-0.476263199752
ACH-000787,-0.6098006261119999
ACH-000788,-0.28333548380199997
ACH-000791,-0.306309029362
ACH-000792,-0.29577526828699996
ACH-000794,-0.459635769436
ACH-000796,-0.619490836608
ACH-000799,-0.46012650131099997
ACH-000800,-0.5337160003
ACH-000802,-0.38538728032200004
ACH-000804,-0.3042643259
ACH-000805,-0.494104374339
ACH-000809,-0.34405924794500004
ACH-000810,-0.727667819119
ACH-000811,-0.464926820145
ACH-000817,-0.598692068653
ACH-000819,-0.577651677612
ACH-000820,-0.25928555808000003
ACH-000821,-0.38240115875200004
ACH-000822,-0.641136690967
ACH-000823,-0.673993969004
ACH-000824,-0.601974652054
ACH-000827,-0.33947483482100005
ACH-000829,-0.44233118155900003
ACH-000831,-0.437631869616
ACH-000832,-0.310501980418
ACH-000833,-0.293302287976
ACH-000834,-0.48288465363000005
ACH-000835,-0.216302123158
ACH-000836,-0.24865570969200002
ACH-000837,-0.107301567616
ACH-000838,-0.10938635124500001
ACH-000839,-0.387400030133
ACH-000840,-0.549993541131
ACH-000841,-0.362032728729
ACH-000843,-0.376072077919
ACH-000846,-0.402930287253
ACH-000847,-0.291560732506
ACH-000848,-0.49732074275300003
ACH-000849,-0.404527391936
ACH-000851,-0.150321666024
ACH-000855,-0.144238878159
ACH-000856,-0.474024551575
ACH-000858,-0.507552809661
ACH-000859,-0.84938928607
ACH-000861,-0.297760494286
ACH-000862,-0.244518437209
ACH-000865,-0.354922015149
ACH-000866,-0.31226469708
ACH-000867,-0.569151361009
ACH-000869,-0.43769042578999995
ACH-000872,-0.599918309926
ACH-000873,-0.262313517009
ACH-000876,-0.366047622773
ACH-000878,-0.37335325599799996
ACH-000880,-0.33618322241400006
ACH-000881,-0.319161170178
ACH-000882,-0.372203982931
ACH-000884,-0.34192119029299994
ACH-000885,-0.368013246691
ACH-000887,-0.511277322641
ACH-000888,-0.386457722116
ACH-000889,-0.565232287646
ACH-000890,-0.235439092953
ACH-000896,-0.513191917405
ACH-000898,-0.404876725054
ACH-000900,-0.473163798139
ACH-000901,-0.18129837439899998
ACH-000905,-0.59251710545
ACH-000906,-0.271943625303
ACH-000907,-0.43529782087800006
ACH-000910,-0.263246882474
ACH-000911,-0.242668022407
ACH-000912,-0.583273289334
ACH-000913,-0.6860915086310001
ACH-000915,-0.425772088688
ACH-000916,-0.40494872413000005
ACH-000917,-0.528527797797
ACH-000921,-0.42433729301600004
ACH-000924,-0.511225723039
ACH-000926,-0.47410023703000004
ACH-000928,-0.395346536083
ACH-000929,-0.5810016864850001
ACH-000932,-0.460714908042
ACH-000935,-0.0016255250984899999
ACH-000936,-0.775351200492
ACH-000937,-0.525766625106
ACH-000938,-0.482471199503
ACH-000939,-0.201582641459
ACH-000941,-0.225251795466
ACH-000943,-0.239680278364
ACH-000946,-0.47256406433799997
ACH-000947,-0.22669200678800003
ACH-000948,-0.33137850248000006
ACH-000950,-0.523734702052
ACH-000953,-0.562601051624
ACH-000957,-0.26743711966
ACH-000958,-0.146734566638
ACH-000960,-0.21494409848499998
ACH-000963,-0.46362359496699995
ACH-000968,-0.421430270366
ACH-000969,-0.573619678526
ACH-000973,-0.223693352037
ACH-000974,-0.497782089909
ACH-000975,-0.521719976846
ACH-000976,-0.747253483372
ACH-000978,-0.32102566198000004
ACH-000980,-0.238159798984
ACH-000984,-0.618695415731
ACH-000986,-0.532285827891
ACH-000988,-0.329062609361
ACH-000993,-0.308461371187
ACH-000994,-0.26471289497699996
ACH-000996,-0.367636817743
ACH-001001,-0.373098700167
ACH-001020,-0.41133851743
ACH-001028,-0.296813616342
ACH-001031,-0.36239495488300005
ACH-001038,-0.256498020514
ACH-001048,-0.226137821589
ACH-001050,-0.50168047215
ACH-001053,-0.43941084533299996
ACH-001054,-0.549776741806
ACH-001061,-0.271459562029
ACH-001067,-0.52947150415
ACH-001075,-0.7767766365109999
ACH-001096,-0.604413025639
ACH-001128,-0.37040801263400003
ACH-001134,-0.30980304805799996
ACH-001151,-0.399799429573
ACH-001163,-0.41790416043899997
ACH-001164,-0.542608030478
ACH-001173,-0.557670972091
ACH-001183,-0.33789289085999996
ACH-001184,-0.621778669228
ACH-001190,-0.52171336077
ACH-001192,-0.27974471961999997
ACH-001193,-0.275191347226
ACH-001196,-0.754577345891
ACH-001197,-0.564139191951
ACH-001205,-0.269761048547
ACH-001211,-0.40191847384199997
ACH-001212,-0.19655367680100003
ACH-001228,-0.26230735184099996
ACH-001232,-0.336672114512
ACH-001239,-0.265091650861
ACH-001274,-0.321581132702
ACH-001275,-0.464022726837
ACH-001277,-0.354752842812
ACH-001278,-0.47901029711000004
ACH-001280,-0.417416391911
ACH-001283,-0.24793072225
ACH-001289,-0.420832372231
ACH-001295,-0.326330525714
ACH-001300,-0.583812804965
ACH-001301,-0.38203773919100004
ACH-001302,-0.34438048607199995
ACH-001303,-0.325159728421
ACH-001306,-0.44177617415
ACH-001318,-0.65105261397
ACH-001322,-0.331720176856
ACH-001328,-0.36505543290200004
ACH-001332,-0.491290167199
ACH-001333,-0.262430862765
ACH-001336,-0.424530856222
ACH-001340,-0.548000155932
ACH-001346,-0.365294964644
ACH-001353,-0.33708915910099996
ACH-001354,-0.33804270953500004
ACH-001367,-0.232394302529
ACH-001368,-0.32195506189399997
ACH-001374,-0.7488201780470001
ACH-001375,-0.232873682621
ACH-001377,-0.236129081909
ACH-001380,-0.52883671529
ACH-001391,-0.403853627384
ACH-001407,-0.386920591697
ACH-001408,-0.44206664492
ACH-001413,-0.5497978140850001
ACH-001430,-0.3179642383
ACH-001431,-0.357511573452
ACH-001450,-0.302280315002
ACH-001496,-0.162997693798
ACH-001500,-0.406604116484
ACH-001521,0.027621291318
ACH-001523,-0.48458296858499994
ACH-001532,-0.35665921845200005
ACH-001536,-0.550477422052
ACH-001550,-0.320083081993
ACH-001552,-0.25669852543099997
ACH-001554,-0.321104592539
ACH-001645,-0.41989084833800006
ACH-001654,-0.265525918049
ACH-001715,-0.272621971452
ACH-001735,-0.412224001121
ACH-001736,-0.267767891342
ACH-001737,-0.47512899126100006
ACH-001740,-0.730545021466
ACH-001745,-0.796031565678
ACH-001750,-0.31217384081
ACH-001765,-0.475696118723
ACH-001956,-0.35014598862499996
ACH-001957,-0.303151980574
