,CCRL2 (9034)
ACH-000004,-0.177494729262
ACH-000007,-0.21793430475
ACH-000009,-0.125641350464
ACH-000011,-0.132725333512
ACH-000012,-0.117345509345
ACH-000013,-0.112993323579
ACH-000014,-0.154558069061
ACH-000015,-0.0950712452658
ACH-000017,-0.15078621798
ACH-000018,-0.022024601853000002
ACH-000019,-0.291991677038
ACH-000021,-0.0826607812749
ACH-000022,-0.103681554902
ACH-000025,-0.274300728457
ACH-000028,0.011461957685200001
ACH-000030,-0.17108219743500003
ACH-000035,-0.21658697978799998
ACH-000036,-0.11918623486999999
ACH-000037,0.0346933169316
ACH-000039,-0.017827192308
ACH-000040,-0.15597091212300002
ACH-000041,-0.080989709602
ACH-000042,-0.156646652828
ACH-000045,0.0215435588626
ACH-000047,0.0132944472829
ACH-000052,-0.193591100242
ACH-000053,-0.09266356715119999
ACH-000054,0.0159344712204
ACH-000055,-0.17261860335499998
ACH-000060,-0.08965772682050001
ACH-000067,-0.178052372507
ACH-000070,-0.12171182808599999
ACH-000075,-0.17928235093400002
ACH-000078,-0.23925070155699998
ACH-000082,0.0269850632323
ACH-000085,-0.24091630623100002
ACH-000086,0.0335504555025
ACH-000087,-0.220205481346
ACH-000092,-0.124044626071
ACH-000095,-0.0253066144996
ACH-000097,-0.107400934881
ACH-000098,-0.181366196048
ACH-000099,-0.141748445119
ACH-000108,-0.010788630377100001
ACH-000113,0.012695664733400001
ACH-000115,-0.319108131533
ACH-000116,-0.152289886735
ACH-000118,-0.105949452925
ACH-000120,0.0122128890617
ACH-000123,-0.192643280172
ACH-000127,0.040303954069999995
ACH-000128,-0.0190005594148
ACH-000132,-0.0059593861057500004
ACH-000133,-0.0634389094886
ACH-000137,0.0947142181824
ACH-000138,-0.027936921422
ACH-000142,-0.24793402264000003
ACH-000143,-0.15462788927999999
ACH-000146,-0.06830726455540001
ACH-000148,0.00714753518422
ACH-000150,-0.163948908694
ACH-000152,-0.0615064005783
ACH-000153,-0.0176157985309
ACH-000159,0.0209515693345
ACH-000160,-0.135724176448
ACH-000163,-0.0140872064331
ACH-000167,-0.0374129048678
ACH-000168,-0.22285546903
ACH-000169,-0.0227459085345
ACH-000178,0.141452623585
ACH-000182,0.013062027271
ACH-000183,-0.226230203405
ACH-000188,0.093145703049
ACH-000189,-0.41094929881
ACH-000190,-0.13745222540899998
ACH-000198,0.0387752258207
ACH-000204,-0.369213187188
ACH-000206,-0.37621216362
ACH-000207,-0.104099134201
ACH-000211,-0.14051694511499999
ACH-000215,-0.08994411107769999
ACH-000221,-0.20471006564599997
ACH-000222,-0.060288116655599994
ACH-000223,-0.07594549593710001
ACH-000226,0.0156175390476
ACH-000227,-0.18958487977299998
ACH-000228,-0.191795649926
ACH-000231,-0.126797326305
ACH-000232,-0.118148104193
ACH-000233,-0.330723028633
ACH-000234,-0.34616627659599997
ACH-000235,-0.000915840283309
ACH-000237,-0.161818267283
ACH-000238,-0.07577567878050001
