,GALC (2581)
ACH-000004,-0.147510860242
ACH-000007,-0.378629333306
ACH-000009,-0.285696346188
ACH-000011,-0.19487711597
ACH-000012,-0.07423366270239999
ACH-000013,-0.254603381315
ACH-000014,0.00841609248175
ACH-000015,-0.134474094739
ACH-000017,-0.392465950621
ACH-000018,-0.18905942641100001
ACH-000019,-0.288438340487
ACH-000021,0.00821813021527
ACH-000022,-0.11131659030200002
ACH-000025,-0.304704428216
ACH-000028,-0.08821799019689999
ACH-000030,-0.244267960196
ACH-000035,0.167874097491
ACH-000036,-0.194218361609
ACH-000037,-0.147293392759
ACH-000039,-0.214304700272
ACH-000040,-0.10455587733999999
ACH-000041,-0.26958031095
ACH-000042,-0.18249311140000002
ACH-000045,-0.388919206804
ACH-000047,-0.17940339266199998
ACH-000052,-0.023547726837200002
ACH-000053,-0.167038480161
ACH-000054,-0.130853963685
ACH-000055,-0.11559684546599999
ACH-000060,-0.234686162788
ACH-000067,-0.111459541843
ACH-000070,-0.185988658849
ACH-000075,-0.17126766807799998
ACH-000078,-0.2413967451
ACH-000082,-0.43933348943899997
ACH-000085,-0.056622174166599995
ACH-000086,-0.132033016117
ACH-000087,-0.432592488649
ACH-000092,-0.240512565515
ACH-000095,-0.17636543091200002
ACH-000097,-0.21595172520199998
ACH-000098,-0.24159070246999997
ACH-000099,-0.126785290813
ACH-000108,-0.0327241585317
ACH-000113,-0.169426896415
ACH-000115,-0.0813443276923
ACH-000116,-0.330276246303
ACH-000118,-0.114854119328
ACH-000120,-0.0290166822596
ACH-000123,-0.08827831331199999
ACH-000127,-0.20111698640999998
ACH-000128,-0.155285330832
ACH-000132,-0.126138047005
ACH-000133,-0.237804759397
ACH-000137,-0.164906588721
ACH-000138,-0.27657407166299997
ACH-000142,-0.13464353428
ACH-000143,-0.240449450475
ACH-000146,-0.168321641452
ACH-000148,-0.25534234177
ACH-000150,0.007788565217350001
ACH-000152,-0.230821248378
ACH-000153,-0.0177600428248
ACH-000159,-0.20180121832400003
ACH-000160,-0.264936049106
ACH-000163,-0.26037880033300004
ACH-000167,-0.27525855946100003
ACH-000168,-0.0942994865745
ACH-000169,-0.187609290499
ACH-000178,-0.16721920176400001
ACH-000182,-0.088344116852
ACH-000183,-0.156702956132
ACH-000188,-0.338113851234
ACH-000189,-0.09142076546019999
ACH-000190,-0.131256518589
ACH-000198,-0.19378522381700003
ACH-000204,-0.286716923984
ACH-000206,-0.104355331094
ACH-000207,-0.19594156338500002
ACH-000211,-0.264695328908
ACH-000215,-0.274307626737
ACH-000221,-0.28170471687
ACH-000222,0.0034183249697999998
ACH-000223,-0.291788492269
ACH-000226,-0.200343154193
ACH-000227,-0.383503661688
ACH-000228,-0.346210311814
ACH-000231,-0.295578011543
ACH-000232,-0.287803941495
ACH-000233,-0.183635556736
ACH-000234,-0.22774306923
ACH-000235,-0.291554002715
ACH-000237,-0.066751213049
