,APBB3 (10307)
ACH-000004,-0.060774155484999995
ACH-000007,-0.0396645888757
ACH-000009,-0.270208820696
ACH-000011,0.0040827128412
ACH-000012,-0.134396718897
ACH-000013,-0.0139361881562
ACH-000014,-0.169163088002
ACH-000015,-0.297004447335
ACH-000017,0.0319835732175
ACH-000018,-0.0393843034154
ACH-000019,-0.14964232830600002
ACH-000021,-0.153450439627
ACH-000022,-0.120336672821
ACH-000025,-0.0312436841644
ACH-000028,-0.10774937356599999
ACH-000030,-0.17449425785
ACH-000035,-0.0285551494803
ACH-000036,-0.0906532580336
ACH-000037,0.0169140012491
ACH-000039,-0.188280119485
ACH-000040,0.029506771883
ACH-000041,-0.07859330635339999
ACH-000042,-0.048042257760800004
ACH-000045,-0.123258712105
ACH-000047,-0.09798692222000001
ACH-000052,0.0498376841014
ACH-000053,-0.11789171355900001
ACH-000054,-0.20071727256299998
ACH-000055,-0.037105118844
ACH-000060,-0.173052290891
ACH-000067,-0.13420836546700002
ACH-000070,-0.08977165977019999
ACH-000075,-0.22628324480999998
ACH-000078,0.0481041655238
ACH-000082,-0.197997278486
ACH-000085,0.0563540331866
ACH-000086,-0.060124088734099995
ACH-000087,0.048022313890500004
ACH-000092,0.00922322093351
ACH-000095,-0.115707108576
ACH-000097,-0.0940602133344
ACH-000098,-0.128950717959
ACH-000099,-0.0078246247507
ACH-000108,-0.07846162716300001
ACH-000113,0.0256978242477
ACH-000115,0.009921873862930001
ACH-000116,-0.003973007175469999
ACH-000118,-0.11458564151799999
ACH-000120,-0.10351321118699999
ACH-000123,-0.11377548433599999
ACH-000127,-0.027333527928800002
ACH-000128,-0.056758406472699995
ACH-000132,-0.031434632542
ACH-000133,-0.0805772516637
ACH-000137,-0.0754522434844
ACH-000138,-0.37779442708899996
ACH-000142,-0.0893923062782
ACH-000143,-0.0425767549749
ACH-000146,-0.17772713699099998
ACH-000148,-0.0261464709509
ACH-000150,-0.138529578654
ACH-000152,-0.105757975165
ACH-000153,-0.254294394957
ACH-000159,-0.130783443792
ACH-000160,-0.09842510237169999
ACH-000163,-0.062308971218999996
ACH-000167,-0.32987539398800003
ACH-000168,-0.0933147049533
ACH-000169,-0.00254573587054
ACH-000178,-0.0854149629973
ACH-000182,-0.07652039095089999
ACH-000183,-0.128688808482
ACH-000188,-0.189613999115
ACH-000189,-0.10618300305
ACH-000190,0.080139159683
ACH-000198,-0.00677412399484
ACH-000204,-0.23363671858100002
ACH-000206,-0.154701451011
ACH-000207,-0.033095089860900005
ACH-000211,-0.173719787146
ACH-000215,-0.0276091408219
ACH-000221,-0.00369731819777
ACH-000222,-0.103612823818
ACH-000223,-0.0795326835493
ACH-000226,-0.165677924317
ACH-000227,-0.0755002545532
ACH-000228,-0.12193593943
ACH-000231,-0.140979175357
ACH-000232,-0.10755107312300001
ACH-000233,-0.051918550943800004
ACH-000234,-0.122857837822
ACH-000235,-0.10690657917400001
ACH-000237,-0.036522654426
ACH-000238,-0.0701068606167
ACH-000243,-0.152426977485
ACH-000244,-0.134987505507
ACH-000246,-0.10003913375399999
ACH-000248,-0.055938978814699995
ACH-000250,-0.169145660535
ACH-000251,-0.165301145317
ACH-000253,-0.0015367415896199998
ACH-000255,-0.150350810027
ACH-000256,0.0131081408552
ACH-000257,-0.213097826808
ACH-000258,-0.262185528326
ACH-000259,-0.0613097840861
ACH-000260,-0.171132229756
ACH-000261,-0.275184766179
ACH-000262,-0.0229472696047
ACH-000263,-0.21502971124200002
