,LGALS3BP (3959)
ACH-000004,-0.162895549667
ACH-000007,-0.0185368744781
ACH-000009,-0.32247720152
ACH-000011,-0.460290671416
ACH-000012,-0.250473784845
ACH-000013,-0.32175075360100003
ACH-000014,-0.326861906767
ACH-000015,-0.323713678033
ACH-000017,-0.427364148501
ACH-000018,-0.35845625269599996
ACH-000019,-0.38864038198600004
ACH-000021,-0.34684559274000004
ACH-000022,-0.207957425453
ACH-000025,-0.243300301245
ACH-000028,-0.136163935646
ACH-000030,-0.25496518872900004
ACH-000035,-0.346130240206
ACH-000036,-0.35013126024700003
ACH-000037,-0.267944405178
ACH-000039,-0.418405600801
ACH-000040,-0.10011713171
ACH-000041,-0.34254151971600005
ACH-000042,-0.40655747661700004
ACH-000045,-0.39983753109700004
ACH-000047,-0.40967455858
ACH-000052,-0.417437287153
ACH-000053,-0.297138397416
ACH-000054,-0.293209088249
ACH-000055,-0.460693593086
ACH-000060,-0.365375804613
ACH-000067,-0.243410940079
ACH-000070,-0.29660183815900004
ACH-000075,-0.299068793801
ACH-000078,-0.533761619022
ACH-000082,-0.34812924931999994
ACH-000085,-0.295309200046
ACH-000086,-0.464358458609
ACH-000087,-0.508317167759
ACH-000092,-0.260378568181
ACH-000095,-0.37740942833700003
ACH-000097,-0.254676958819
ACH-000098,-0.277120045103
ACH-000099,-0.47748296695200004
ACH-000108,-0.346368269934
ACH-000113,-0.178857017652
ACH-000115,-0.180052828422
ACH-000116,-0.439849546106
ACH-000118,-0.393424825053
ACH-000120,-0.680551045545
ACH-000123,-0.246185588156
ACH-000127,-0.272139688722
ACH-000128,-0.319557656318
ACH-000132,-0.0753997536663
ACH-000133,-0.20547560741700002
ACH-000137,-0.130887059833
ACH-000138,-0.384086494347
ACH-000142,-0.462560990697
ACH-000143,-0.22632498432300002
ACH-000146,-0.220748450055
ACH-000148,-0.216913015242
ACH-000150,-0.549063654508
ACH-000152,-0.372449979609
ACH-000153,0.00997464784693
ACH-000159,-0.248384466096
ACH-000160,-0.37180120155599994
ACH-000163,-0.35097537528300005
ACH-000167,-0.08611659417060001
ACH-000168,-0.362369232833
ACH-000169,-0.400198342949
ACH-000178,-0.37611377499700005
ACH-000182,-0.223533554282
