,PMPCB (9512)
ACH-000004,-1.5943719875100002
ACH-000007,-1.5654220102399998
ACH-000009,-1.64377902117
ACH-000011,-1.3581128493599999
ACH-000012,-1.28671175421
ACH-000013,-1.6633623766999999
ACH-000014,-1.30001882315
ACH-000015,-1.4525137270200001
ACH-000017,-1.22552077885
ACH-000018,-1.0300916822600001
ACH-000019,-1.32077414846
ACH-000021,-1.4760213889700002
ACH-000022,-1.02342203689
ACH-000025,-1.27248719869
ACH-000028,-1.27493360789
ACH-000030,-1.19622066158
ACH-000035,-1.48283837949
ACH-000036,-1.19920787266
ACH-000037,-1.5988731385100001
ACH-000039,-1.5119382001100001
ACH-000040,-1.3746012454299998
ACH-000041,-1.5171869687900001
ACH-000042,-1.3982762857299997
ACH-000045,-1.68407600937
ACH-000047,-1.4877969204
ACH-000052,-1.23332502829
ACH-000053,-1.4525574190700001
ACH-000054,-1.3199383278299999
ACH-000055,-1.20494088747
ACH-000060,-1.49833432869
ACH-000067,-0.962496995898
ACH-000070,-1.28299915539
ACH-000075,-1.34915370537
ACH-000078,-1.36759149682
ACH-000082,-1.5480953455200002
ACH-000085,-1.6607929776600001
ACH-000086,-1.11086440957
ACH-000087,-1.32851918464
ACH-000092,-1.31686229994
ACH-000095,-1.4558475600100003
ACH-000097,-1.46336770305
ACH-000098,-1.1792184645700001
ACH-000099,-1.2272368669
ACH-000108,-1.47886721685
ACH-000113,-1.2962532474600001
ACH-000115,-1.8472270928799999
ACH-000116,-2.0336047804499997
ACH-000118,-1.29161742888
ACH-000120,-1.34759563597
ACH-000123,-1.4668952772200001
ACH-000127,-1.48824694351
ACH-000128,-1.51930780083
ACH-000132,-1.6119303648199999
ACH-000133,-1.5541529198500001
ACH-000137,-1.3429919874599998
ACH-000138,-1.36988888466
ACH-000142,-1.24088487185
ACH-000143,-1.26584547463
ACH-000146,-1.56498501165
ACH-000148,-1.51326906805
ACH-000150,-1.4671148009900001
ACH-000152,-1.4048865435299998
ACH-000153,-2.00933402259
ACH-000159,-1.37029896019
ACH-000160,-2.41248584079
ACH-000163,-1.6568160662600002
ACH-000167,-1.75604315968
ACH-000168,-1.9190569317099997
ACH-000169,-1.55279938878
ACH-000178,-1.2677855651
ACH-000182,-1.54762960567
ACH-000183,-1.22805390385
ACH-000188,-1.36260426676
ACH-000189,-1.0257271563500001
ACH-000190,-1.65742147504
ACH-000198,-1.4662496543399999
ACH-000204,-1.14393099626
ACH-000206,-1.6189817730399998
ACH-000207,-0.9004618193610001
ACH-000211,-1.02833724456
ACH-000215,-1.18129946506
ACH-000221,-1.55556101605
ACH-000222,-1.4538256047100002
ACH-000223,-1.87708527619
ACH-000226,-1.46887099604
ACH-000227,-1.60642938151
ACH-000228,-1.3676059465500001
ACH-000231,-1.32445299293
ACH-000232,-1.34811600366
ACH-000233,-1.46409744778
ACH-000234,-1.09324398426
ACH-000235,-1.32608358622
ACH-000237,-1.44063007119
ACH-000238,-1.45428284732
ACH-000243,-1.31964078805
ACH-000244,-1.6315827303000001
ACH-000246,-1.2841115443200002
ACH-000248,-1.3611656958200002
ACH-000250,-1.15958142907
ACH-000251,-1.04630692795
ACH-000253,-1.66007389022
ACH-000255,-1.37271191567
ACH-000256,-1.2448948372700002
ACH-000257,-1.49639539804
ACH-000258,-1.6078366214300002
ACH-000259,-1.6636281167200002
ACH-000260,-1.29424846406
ACH-000261,-1.45055971846
ACH-000262,-1.38048332008
ACH-000263,-1.35941031227
ACH-000264,-1.1812660612399999
ACH-000265,-1.37061253507
ACH-000266,-1.4520340374399998
ACH-000272,-1.28472085062
ACH-000273,-1.3197112695
ACH-000274,-1.6386788952899998
ACH-000277,-2.00640588742
ACH-000278,-1.4983060710799998
ACH-000279,-1.31817207584
ACH-000280,-1.6549010676499998
ACH-000281,-1.0981706533
ACH-000288,-1.26500022185
ACH-000291,-1.14032639177
ACH-000293,-1.7224063916999999
ACH-000294,-1.3512408944499998
ACH-000295,-1.4589307779299998
ACH-000296,-1.4957176727300001
ACH-000302,-1.4305536010100002
ACH-000304,-1.31016202565
ACH-000307,-1.4487413075400002
ACH-000308,-1.3917223476700002
ACH-000310,-1.06326560701
ACH-000311,-1.52538349866
ACH-000312,-1.54190078757
ACH-000315,-1.3685820981999999
ACH-000316,-1.16493710671
ACH-000317,-1.18235166987
ACH-000318,-1.6408027545100001
ACH-000319,-1.6007067352899997
ACH-000320,-1.47386061914
ACH-000322,-1.4030713666999999
ACH-000323,-1.47156969494
ACH-000324,-1.4061997283399998
ACH-000329,-1.2682171905500002
ACH-000330,-1.587623194
ACH-000331,-1.4512380433399998
ACH-000332,-1.4276962012099998
ACH-000334,-0.935167386565
ACH-000335,-1.3086895487999999
ACH-000336,-1.50431812773
ACH-000337,-1.09743809655
ACH-000339,-1.4022695207
ACH-000341,-1.11643686615
ACH-000348,-1.58831150324
ACH-000350,-1.7352579053900001
ACH-000352,-1.65285227921
ACH-000356,-1.61154895865
ACH-000361,-1.19142970875
ACH-000362,-1.42595082636
ACH-000363,-1.57995737282
ACH-000364,-1.4467568323500002
ACH-000365,-1.3227620999299998
ACH-000366,-1.47507439924
ACH-000368,-1.3600180040099998
ACH-000374,-1.49062878977
ACH-000375,-1.3066564705200001
ACH-000376,-1.31591740641
ACH-000381,-1.3182963243799999
ACH-000383,-1.3067136881599999
ACH-000387,-1.47362925775
ACH-000389,-1.25903859812
ACH-000390,-1.0683257771799999
ACH-000393,-1.40730711139
ACH-000395,-1.04996768478
ACH-000397,-1.27008135904
ACH-000401,-1.5698612582499998
ACH-000402,-1.26335592092
ACH-000403,-1.39537246885
ACH-000404,-1.6938768367500001
ACH-000406,-1.5607559632499999
ACH-000407,-1.4587037863299999
ACH-000408,-1.6258515952200001
ACH-000410,-1.25180211751
ACH-000411,-1.38657520201
ACH-000414,-1.5663222120700002
ACH-000415,-1.7361176729099999
ACH-000416,-1.39564976758
ACH-000420,-1.48365736562
ACH-000421,-1.62728185364
ACH-000424,-1.3296352515
ACH-000425,-1.23406929067
ACH-000426,-1.9260054718200001
ACH-000427,-1.36996835909
ACH-000433,-0.928286178014
ACH-000436,-1.2939743810100002
ACH-000444,-1.75903896773
ACH-000445,-1.1017429626100002
ACH-000448,-1.42078670044
ACH-000450,-1.25058707425
ACH-000452,-1.68410391908
ACH-000454,-1.2163271476100002
ACH-000458,-1.41014139965
ACH-000459,-1.46438782648
ACH-000460,-1.21624703509
ACH-000461,-1.21232046351
ACH-000463,-1.4163298736
ACH-000464,-1.07050708068
ACH-000466,-1.3487179356799999
ACH-000467,-1.1031738852
ACH-000468,-0.899929470135
ACH-000469,-1.43407062175
ACH-000470,-1.54523758738
ACH-000471,-1.3499058494
ACH-000472,-1.51387245257
ACH-000473,-1.7917174827200002
ACH-000475,-1.44147221928
ACH-000476,-1.44832303621
ACH-000477,-1.15831865015
ACH-000480,-1.42146796998
ACH-000481,-1.4957003408399998
ACH-000483,-1.8898754151800001
ACH-000484,-1.10086588137
ACH-000485,-1.3649181629
ACH-000486,-1.37725929824
ACH-000487,-1.2315665232200002
ACH-000488,-1.49984247535
ACH-000490,-1.2949687434100001
ACH-000491,-1.3568156347799998
ACH-000495,-1.20422778462
ACH-000496,-1.53784053034
ACH-000499,-1.3495396714599999
ACH-000500,-1.7881598395299998
ACH-000502,-1.3557544117700002
ACH-000503,-1.4075234246500001
ACH-000505,-1.48267089091
ACH-000507,-1.17417746159
ACH-000510,-1.3541321238100001
ACH-000511,-1.53031385845
ACH-000512,-0.891154154067
ACH-000516,-1.48181196273
ACH-000517,-1.32571329909
ACH-000518,-1.47019589338
ACH-000520,-1.58609479998
ACH-000521,-1.5538866986000002
ACH-000522,-1.3286385065000001
ACH-000524,-1.3484559420500002
ACH-000527,-1.5805030121099999
ACH-000528,-1.6240438938
ACH-000537,-1.55972271939
ACH-000541,-1.17062487731
ACH-000542,-1.39995740428
ACH-000544,-1.14365555286
ACH-000545,-1.43266423523
ACH-000547,-1.3995735466600001
ACH-000548,-1.24525184914
ACH-000549,-1.3508710901199998
ACH-000550,-1.29791704528
ACH-000552,-1.4029767502000001
ACH-000556,-1.3387654605700001
ACH-000557,-1.5834574243900001
ACH-000570,-1.2484822716
ACH-000571,-1.4612817863999998
ACH-000573,-1.74950529676
ACH-000576,-1.51092636333
ACH-000580,-1.1198763808499999
ACH-000584,-1.65345714122
