,SETX (23064)
ACH-000004,-0.327860476074
ACH-000007,-0.38551912039700004
ACH-000009,-0.426647083089
ACH-000011,-0.408750357239
ACH-000012,-0.32447450473
ACH-000013,-0.354391065401
ACH-000014,-0.0516200919447
ACH-000015,-0.34462228809
ACH-000017,-0.103883872616
ACH-000018,-0.271585175349
ACH-000019,-0.22151819485500002
ACH-000021,-0.38693172716700003
ACH-000022,-0.457469678011
ACH-000025,-0.261372137282
ACH-000028,-0.24410168068500002
ACH-000030,-0.230066661012
ACH-000035,-0.0615682979462
ACH-000036,-0.481167451183
ACH-000037,-0.712215085951
ACH-000039,-0.23640987634500002
ACH-000040,-0.42956341971900003
ACH-000041,-0.594515868407
ACH-000042,-0.523891562537
ACH-000045,-0.39377696685400004
ACH-000047,-0.463653679129
ACH-000052,-0.0249352643518
ACH-000053,-0.250204460851
ACH-000054,-0.320712014419
ACH-000055,-0.146826065475
ACH-000060,-0.394120019486
ACH-000067,-0.404445159028
ACH-000070,-0.496973044778
ACH-000075,-0.5934533281669999
ACH-000078,-0.234823234509
ACH-000082,-0.329243027991
ACH-000085,-0.7184456255060001
ACH-000086,-0.21428411738699998
ACH-000087,-0.835687032221
ACH-000092,-0.37320166081399997
ACH-000095,-0.29097758281999997
ACH-000097,-0.325300228566
ACH-000098,-0.161232814423
ACH-000099,-0.281846181023
ACH-000108,-0.367250710081
ACH-000113,-0.182388040253
ACH-000115,-0.414069769426
ACH-000116,-0.432709559705
ACH-000118,-0.452134396316
ACH-000120,-0.38832242179
ACH-000123,-0.5302074032090001
ACH-000127,-0.38255007787199996
ACH-000128,-0.170577000626
ACH-000132,-0.09642689862639998
ACH-000133,-0.214909130196
ACH-000137,-0.48232057140900003
ACH-000138,-0.368869575277
ACH-000142,-0.2254716722
ACH-000143,-0.23727329939599998
ACH-000146,-0.33913351140500003
ACH-000148,-0.554092757884
ACH-000150,-0.287546524775
ACH-000152,-0.34940153712
ACH-000153,-0.00115357546882
ACH-000159,-0.271936587632
ACH-000160,-0.369811261048
ACH-000163,-0.46460594974799996
ACH-000167,-0.240630586173
ACH-000168,-0.400091368773
ACH-000169,-0.564956057902
ACH-000178,-0.411586294146
ACH-000182,-0.472531447683
ACH-000183,-0.340864874764
ACH-000188,-0.220227282203
ACH-000189,-0.401336163884
ACH-000190,-0.34211639875
ACH-000198,-0.238272934294
ACH-000204,-0.187966724268
ACH-000206,-0.619340878236
ACH-000207,-0.421804537494
ACH-000211,-0.331809860775
ACH-000215,-0.330416831167
ACH-000221,-0.5023133308250001
ACH-000222,-0.22948045653000002
ACH-000223,-0.364734192244
ACH-000226,-0.353963245713
ACH-000227,-0.6117279520319999
ACH-000228,-0.300093101844
ACH-000231,-0.316773607309
ACH-000232,-0.336115632559
ACH-000233,-0.32801703114799996
ACH-000234,-0.417460334975
ACH-000235,-0.292629343061
ACH-000237,-0.441675116231
ACH-000238,-0.181032150409
ACH-000243,-0.30926141055100004
ACH-000244,-0.271303818335
ACH-000246,-0.372491174289
ACH-000248,-0.224697351281
ACH-000250,-0.433237485941
ACH-000251,-0.594527613262
ACH-000253,-0.511251944405
ACH-000255,-0.35233682781400005
ACH-000256,-0.40588139046300004
ACH-000257,-0.0678683911256
ACH-000258,-0.380017481214
ACH-000259,-0.376416823111
ACH-000260,-0.30658927881
ACH-000261,-0.429088077456
ACH-000262,-0.25832540227899997
ACH-000263,-0.34024496228600004
ACH-000264,-0.46498153745
ACH-000265,-0.304364521686
ACH-000266,-0.36209647089599994
ACH-000272,-0.40359123333400004
ACH-000273,-0.388507289599
ACH-000274,-0.361825030054
ACH-000277,-0.489301012913
ACH-000278,-0.579776359458
ACH-000279,-0.329999732038
ACH-000280,-0.33279090645799997
ACH-000281,-0.146642657373
ACH-000288,-0.227382540291
ACH-000291,-0.294240154649
ACH-000293,-0.25058470785799997
ACH-000294,-0.050759348343
ACH-000295,-0.499400896341
ACH-000296,-0.385863406791
ACH-000302,-0.281722476558
ACH-000304,-0.715690119971
ACH-000307,-0.282972540557
ACH-000308,-0.31461562393599996
ACH-000310,-0.593833665718
ACH-000311,-0.38816388205799995
ACH-000312,-0.5045227670019999
ACH-000315,-0.46506232090899996
ACH-000316,-0.633576114081
ACH-000317,-0.46617468813199997
ACH-000318,0.0122256957791
ACH-000319,-0.0292755846008
ACH-000320,-0.27412673400800003
ACH-000322,-0.378813424619
ACH-000323,-0.34679054049099994
ACH-000324,-0.17929066582800002
ACH-000329,-0.45314231345600003
ACH-000330,-0.31349387724800004
ACH-000331,-0.360291165081
ACH-000332,-0.310446653525
ACH-000334,-0.24404849505999998
ACH-000335,-0.35636241093000004
ACH-000336,-0.38624035859
ACH-000337,-0.629950402865
ACH-000339,-0.283870372476
ACH-000341,-0.502935035931
ACH-000348,-0.445957543337
ACH-000350,-0.33378774009
ACH-000352,-0.302838671359
ACH-000356,-0.0640656726276
ACH-000361,-0.108220777735
ACH-000362,-0.354501802889
ACH-000363,-0.300454772993
ACH-000364,-0.315843519278
ACH-000365,-0.310367413381
ACH-000366,-0.432267137476
ACH-000368,-0.197536104724
ACH-000374,-0.240338409107
ACH-000375,-0.30698751187600004
ACH-000376,-0.359162162843
ACH-000381,-0.31161133788600004
ACH-000383,-0.269928452848
ACH-000387,-0.55427866678
ACH-000389,-0.27460065864100003
ACH-000390,-0.250710940012
ACH-000393,0.0328873144318
ACH-000395,-0.499420173982
ACH-000397,-0.40929850748400004
ACH-000401,-0.274042658253
ACH-000402,-0.175548450827
ACH-000403,-0.396536573837
ACH-000404,-0.287364472144
ACH-000406,-0.289065506741
ACH-000407,-0.5358641304039999
ACH-000408,-0.277639571622
ACH-000410,-0.36294439449500004
ACH-000411,-0.596815877408
ACH-000414,-0.353572661474
ACH-000415,-0.133765358823
ACH-000416,-0.421204866992
ACH-000420,-0.295076459177
ACH-000421,-0.18627981180300002
ACH-000424,-0.18553777168299998
ACH-000425,-0.42542227453500003
ACH-000426,-0.27048679242699997
ACH-000427,-0.502567274811
ACH-000433,-0.383687568486
ACH-000436,-0.38235440090499995
ACH-000444,-0.386908480513
ACH-000445,-0.332451311922
ACH-000448,-0.348494056618
ACH-000450,-0.569127489231
ACH-000452,-0.230999315403
ACH-000454,-0.07659225883660001
ACH-000458,-0.28642684641399996
ACH-000459,-0.043180038980599994
ACH-000460,-0.380527097514
ACH-000461,-0.296440106706
ACH-000463,-0.306145115023
ACH-000464,-0.348249336916
