,PNKP (11284)
ACH-000004,-0.518235099822
ACH-000007,-0.8715104499709999
ACH-000009,-0.6932962366500001
ACH-000011,-0.705054332836
ACH-000012,-0.698431872232
ACH-000013,-0.8461841257070001
ACH-000014,-0.8585839632790001
ACH-000015,-0.7942776006219999
ACH-000017,-0.296744687515
ACH-000018,-0.738616357611
ACH-000019,-0.7528146056199999
ACH-000021,-0.711252397298
ACH-000022,-0.903686733601
ACH-000025,-0.7624981535519999
ACH-000028,-0.609275385258
ACH-000030,-0.8164581460699999
ACH-000035,-0.433312772393
ACH-000036,-0.873597968732
ACH-000037,-1.09094883139
ACH-000039,-0.6625303638600001
ACH-000040,-0.9198367490260001
ACH-000041,-1.16178348595
ACH-000042,-0.6127018818659999
ACH-000045,-0.6918130092039999
ACH-000047,-0.530685773835
ACH-000052,-0.701458201119
ACH-000053,-0.508088304182
ACH-000054,-0.6824552803839999
ACH-000055,-0.7325001640659999
ACH-000060,-0.796969745273
ACH-000067,-0.888319864569
ACH-000070,-0.488082974578
ACH-000075,-1.07137598532
ACH-000078,-1.00551135746
ACH-000082,-0.806079204677
ACH-000085,-0.7125398437229999
ACH-000086,-0.6972226965899999
ACH-000087,-0.8947463477230001
ACH-000092,-1.04220158725
ACH-000095,-0.802967781605
ACH-000097,-0.548006442271
ACH-000098,-1.07371515039
ACH-000099,-0.693368952384
ACH-000108,-0.9373436251459999
ACH-000113,-0.577117928885
ACH-000115,-0.662058616245
ACH-000116,-0.633696962842
ACH-000118,-0.805625797598
ACH-000120,-0.727558632421
ACH-000123,-0.753074496919
ACH-000127,-0.804208227201
ACH-000128,-0.552464183288
ACH-000132,-0.764163160739
ACH-000133,-0.893649230546
ACH-000137,-1.06728601751
ACH-000138,-0.7907717859219999
ACH-000142,-0.735778371752
ACH-000143,-0.644261678536
ACH-000146,-0.654138794982
ACH-000148,-0.846608744421
ACH-000150,-0.891756961753
ACH-000152,-1.0992862003200001
ACH-000153,-0.863978761269
ACH-000159,-0.639131812448
ACH-000160,-0.513764931512
ACH-000163,-0.808382332562
ACH-000167,-0.8192620366240001
ACH-000168,-0.6343254718110001
ACH-000169,-0.7904682206710001
ACH-000178,-0.872786643943
ACH-000182,-0.9898985556990001
ACH-000183,-0.76959136631
ACH-000188,-0.728886132727
ACH-000189,-0.7672794964759999
ACH-000190,-1.13720498594
ACH-000198,-0.502671285925
ACH-000204,-0.914257330297
ACH-000206,-1.17998655667
ACH-000207,-0.911857925795
ACH-000211,-0.794987862924
ACH-000215,-0.905628503907
ACH-000221,-1.07397363438
ACH-000222,-0.8757186500849999
ACH-000223,-0.5554152034790001
ACH-000226,-1.01092820607
ACH-000227,-0.903354359905
ACH-000228,-0.9142848406649999
ACH-000231,-0.8810170397329999
ACH-000232,-0.694636826298
ACH-000233,-0.66450354375
ACH-000234,-0.863462539716
ACH-000235,-0.720591329462
ACH-000237,-0.8623213048289999
ACH-000238,-0.802142266658
ACH-000243,-0.846520576783
ACH-000244,-0.880503021392
ACH-000246,-0.8072624083650001
