,PNKD (25953)
ACH-000004,-0.24715946624200003
ACH-000007,-0.170920583195
ACH-000009,-0.30425409555
ACH-000011,-0.167572245567
ACH-000012,-0.264575731027
ACH-000013,-0.297658016212
ACH-000014,-0.17362811495000002
ACH-000015,-0.19429019221299998
ACH-000017,-0.109359218058
ACH-000018,-0.49665535564999996
ACH-000019,-0.017109373071399998
ACH-000021,-0.238721350139
ACH-000022,-0.24558082936500003
ACH-000025,-0.242420676966
ACH-000028,-0.252171277134
ACH-000030,-0.339967478561
ACH-000035,0.0705638399983
ACH-000036,-0.48680273896399995
ACH-000037,-0.487063191441
ACH-000039,-0.238319336971
ACH-000040,-0.315890180598
ACH-000041,-0.48247769215499997
ACH-000042,-0.249814197219
ACH-000045,-0.24396096660900002
ACH-000047,-0.281886266362
ACH-000052,-0.261699869142
ACH-000053,-0.306951760658
ACH-000054,-0.166003318847
ACH-000055,-0.161329206028
ACH-000060,-0.326436406267
ACH-000067,-0.44655685652599997
ACH-000070,-0.385916640188
ACH-000075,-0.36674826354699996
ACH-000078,-0.39466071154700005
ACH-000082,-0.27494094130999996
ACH-000085,-0.265991122291
ACH-000086,-0.33570925881499997
ACH-000087,-0.39836182709299994
ACH-000092,-0.311455936622
ACH-000095,-0.234578032617
ACH-000097,-0.190964369747
ACH-000098,-0.452303531879
ACH-000099,-0.234481419853
ACH-000108,-0.35411533905000003
ACH-000113,-0.509463272582
ACH-000115,0.114695650167
ACH-000116,-0.191202987892
ACH-000118,-0.255555139679
ACH-000120,-0.307435413091
ACH-000123,-0.257464949194
ACH-000127,-0.223056857716
ACH-000128,-0.34960421551700005
ACH-000132,-0.33473322019
ACH-000133,-0.572917129309
ACH-000137,-0.219169025913
ACH-000138,-0.266191395137
ACH-000142,-0.301346579487
ACH-000143,-0.152881832804
ACH-000146,-0.39087920234800005
ACH-000148,-0.326126214857
ACH-000150,-0.323786466128
ACH-000152,-0.241965635695
ACH-000153,-0.346265053823
ACH-000159,-0.331731979474
ACH-000160,-0.279989762592
ACH-000163,-0.228979943631
ACH-000167,-0.425566860791
ACH-000168,-0.332928281896
ACH-000169,-0.19878515319600001
ACH-000178,-0.28528978122
ACH-000182,-0.14641755062
ACH-000183,-0.293870937504
ACH-000188,-0.296690927773
ACH-000189,-0.322591482031
ACH-000190,-0.294356979308
ACH-000198,-0.16452384823799998
ACH-000204,-0.322795451068
ACH-000206,-0.177257695444
ACH-000207,-0.091107020919
ACH-000211,-0.329799822054
ACH-000215,-0.321003699666
ACH-000221,-0.14202058594699998
ACH-000222,-0.12687175666300002
ACH-000223,-0.30229311206799997
ACH-000226,-0.145188379373
ACH-000227,-0.373985769816
ACH-000228,-0.2150675925
ACH-000231,-0.294335015689
ACH-000232,-0.234435758985
ACH-000233,-0.295355552667
ACH-000234,-0.40167895303900003
ACH-000235,-0.22179216736699997
ACH-000237,-0.34731913531499997
ACH-000238,-0.193818536426
ACH-000243,-0.23779010045600002
ACH-000244,0.08328317392330001
ACH-000246,-0.194274155616
ACH-000248,-0.272889697047
ACH-000250,-0.30718413869399996
ACH-000251,-0.186341325797
ACH-000253,-0.407687073922
ACH-000255,-0.314325000752
ACH-000256,-0.44855084024499997
ACH-000257,0.16988642219099997
ACH-000258,-0.28578022930999997
ACH-000259,-0.160764032398
ACH-000260,-0.284155472563
ACH-000261,-0.46799638993299997
ACH-000262,-0.044575511418699997
ACH-000263,-0.228394837652
ACH-000264,-0.312479992275
ACH-000265,-0.268917457201
ACH-000266,-0.264630740713
ACH-000272,-0.44667817383999997
ACH-000273,-0.37232630584700005
ACH-000274,-0.34926858135899996
ACH-000277,-0.341047322574
ACH-000278,-0.200483866462
ACH-000279,-0.440225116627
ACH-000280,-0.16941064450999999
ACH-000281,-0.5518111534100001
ACH-000288,-0.37581900296899995
ACH-000291,-0.163128556129
ACH-000293,-0.130530109722
ACH-000294,-0.251886374637
ACH-000295,-0.259315944595
ACH-000296,-0.0574031507489
ACH-000302,-0.22065632806
ACH-000304,-0.567110806124
ACH-000307,-0.23152938047200003
ACH-000308,-0.316746898735
ACH-000310,-0.37501110241499996
ACH-000311,-0.199944794613
ACH-000312,-0.305236314892
ACH-000315,-0.30159132015
ACH-000316,-0.209647035303
ACH-000317,-0.21530707989300002
ACH-000318,-0.250719029315
ACH-000319,-0.140725265216
ACH-000320,-0.532428879713
ACH-000322,-0.28229576585
ACH-000323,-0.270806133312
ACH-000324,-0.289028364093
ACH-000329,-0.6338492888
ACH-000330,-0.22370595622099998
ACH-000331,-0.37720406557400005
ACH-000332,-0.294245634257
ACH-000334,-0.273541524232
ACH-000335,-0.261393274976
ACH-000336,-0.159701373972
ACH-000337,-0.38855787288599997
ACH-000339,-0.295713560908
ACH-000341,-0.275045313773
ACH-000348,-0.300320689369
ACH-000350,-0.18540686569000003
ACH-000352,-0.24671941762400001
ACH-000356,-0.40715163453000003
ACH-000361,-0.100247134735
ACH-000362,-0.16701621408700001
ACH-000363,-0.485841718973
ACH-000364,-0.200283835079
ACH-000365,-0.303917095402
ACH-000366,-0.250485397161
ACH-000368,-0.19652351184500003
ACH-000374,-0.448494987522
ACH-000375,-0.245103812598
ACH-000376,-0.331079660489
ACH-000381,-0.205512403816
ACH-000383,-0.346297034803
ACH-000387,-0.240025581824
ACH-000389,-0.224563024104
ACH-000390,-0.293808078321
ACH-000393,-0.453430633607
ACH-000395,-0.0613927939996
ACH-000397,-0.27740596249
ACH-000401,-0.215705546954
ACH-000402,-0.37952668992
ACH-000403,-0.48649815338799995
ACH-000404,-0.573285432185
ACH-000406,-0.241516404075
ACH-000407,-0.305046091742
ACH-000408,-0.244839437899
