,MYO1F (4542)
ACH-000004,-0.223132206492
ACH-000007,-0.099693028483
ACH-000009,0.00363303312901
ACH-000011,0.0311569487814
ACH-000012,0.00886111837247
ACH-000013,-0.30230532689
ACH-000014,0.022608451528400002
ACH-000015,-0.270421128018
ACH-000017,-0.139467662324
ACH-000018,-0.529580853673
ACH-000019,-0.381671326595
ACH-000021,-0.185913566763
ACH-000022,-0.06129290380969999
ACH-000025,-0.109290385386
ACH-000028,-0.14067530755899998
ACH-000030,-0.235729699888
ACH-000035,-0.202402676846
ACH-000036,-0.1964842762
ACH-000037,-0.431526160066
ACH-000039,0.144258029409
ACH-000040,-0.167593114229
ACH-000041,-0.289986867763
ACH-000042,-0.173194081391
ACH-000045,-0.0168669887191
ACH-000047,-0.142328154775
ACH-000052,-0.26915584239
ACH-000053,-0.0155550168802
ACH-000054,-0.192156691811
ACH-000055,-0.032489873917
ACH-000060,0.0251487640897
ACH-000067,-0.192125442376
ACH-000070,-0.09759277671160001
ACH-000075,-0.45142778345600004
ACH-000078,-0.106289379146
ACH-000082,-0.17422928614900002
ACH-000085,-0.361014938966
ACH-000086,-0.166153372216
ACH-000087,-0.259022881447
ACH-000092,-0.275814519195
ACH-000095,-0.35353977302699996
ACH-000097,-0.0020742671630199997
ACH-000098,-0.41991403006399997
ACH-000099,0.045311299382
ACH-000108,-0.152279470819
ACH-000113,-0.0642956030868
ACH-000115,-0.47428776896700003
ACH-000116,-0.259564109247
ACH-000118,-0.255132580241
ACH-000120,-0.160786244524
ACH-000123,-0.030552000003499998
ACH-000127,-0.213327167835
ACH-000128,-0.297218257855
ACH-000132,-0.0939117978476
ACH-000133,-0.16178452775399998
ACH-000137,-0.267417427017
ACH-000138,-0.045518581292900005
ACH-000142,-0.23127355028299998
ACH-000143,-0.213556416393
ACH-000146,-0.144027160822
ACH-000148,-0.06566443067200001
ACH-000150,-0.0794446181558
ACH-000152,-0.14868755122000002
ACH-000153,0.18003082787
ACH-000159,-0.22164406347899998
ACH-000160,-0.028729479243099997
ACH-000163,-0.0291541655491
ACH-000167,-0.244886954837
ACH-000168,-0.20638393873100003
ACH-000169,-0.175690537996
ACH-000178,-0.221396061887
ACH-000182,-0.07994047025239999
ACH-000183,-0.321500530422
ACH-000188,-0.18317455664500001
ACH-000189,-0.08203635443730001
ACH-000190,-0.0352331891302
ACH-000198,-0.132806894241
ACH-000204,-0.00917341949934
ACH-000206,-0.0936812123293
ACH-000207,-0.0321867026478
ACH-000211,-0.148232920567
ACH-000215,-0.08814443946450001
ACH-000221,-0.306150682873
ACH-000222,0.0150597521822
ACH-000223,-0.112116418253
ACH-000226,-0.0931671345149
ACH-000227,0.200741773167
ACH-000228,-0.0316253679679
ACH-000231,-0.164373719778
ACH-000232,-0.038967847177699994
ACH-000233,-0.08782983386320001
ACH-000234,-0.123760826599
ACH-000235,-0.140446617997
ACH-000237,-0.0920799666647
ACH-000238,-0.205105531179
ACH-000243,-0.188116957497
ACH-000244,-0.42989360411300004
ACH-000246,-0.21987603914
ACH-000248,-0.155061242394
ACH-000250,-0.150501199143
ACH-000251,-0.31411853273699997
ACH-000253,-0.382198372747
ACH-000255,-0.188053573691
ACH-000256,-0.14305257492999998
ACH-000257,-0.146747007826
ACH-000258,0.178316134018
ACH-000259,-0.20046937933200001
ACH-000260,-0.127031682209
ACH-000261,-0.133733579824
ACH-000262,-0.0163242724239
