,IST1 (9798)
ACH-000004,-0.330741107402
ACH-000007,0.0749850851754
ACH-000009,-0.16646896063
ACH-000011,-0.289507491549
ACH-000012,-0.295299232845
ACH-000013,-0.232252614295
ACH-000014,-0.122317059943
ACH-000015,0.009204563445150001
ACH-000017,-0.695812602982
ACH-000018,-0.0371879286121
ACH-000019,-0.0555129314699
ACH-000021,0.0189881810343
ACH-000022,-0.204569575748
ACH-000025,-0.31544909256
ACH-000028,-0.140663548262
ACH-000030,-0.218099586518
ACH-000035,-0.0085843710316
ACH-000036,-0.31937862262
ACH-000037,-0.30234612826499996
ACH-000039,-0.247411929937
ACH-000040,0.273394608562
ACH-000041,0.117957033851
ACH-000042,-0.0642516224637
ACH-000045,-0.17201342842
ACH-000047,-0.39554189038000004
ACH-000052,-0.09155113115530002
ACH-000053,-0.151166781526
ACH-000054,-0.289455190625
ACH-000055,-0.021348716985599998
ACH-000060,-0.386415906125
ACH-000067,-0.229648536609
ACH-000070,0.0875383491227
ACH-000075,-0.37887121023599996
ACH-000078,-0.43960555038599997
ACH-000082,-0.273767075352
ACH-000085,-0.256381546038
ACH-000086,-0.243297915017
ACH-000087,-0.22495498511
ACH-000092,-0.125805775606
ACH-000095,-0.156429666346
ACH-000097,-0.256983400754
ACH-000098,-0.433288644393
ACH-000099,-0.108964165507
ACH-000108,-0.181253636921
ACH-000113,-0.300514198405
ACH-000115,-0.220110316723
ACH-000116,-0.193405429729
ACH-000118,-0.312607804978
ACH-000120,0.0251440171072
ACH-000123,-0.13525385402
ACH-000127,-0.32688854801999995
ACH-000128,-0.46626943956100003
ACH-000132,-0.440330602312
ACH-000133,-0.219096402266
ACH-000137,-0.272041427746
ACH-000138,-0.248519863699
ACH-000142,-0.340085768209
ACH-000143,-0.0180014027067
ACH-000146,-0.235362139869
ACH-000148,-0.083855274451
ACH-000150,-0.172425363433
ACH-000152,-0.0598778104818
ACH-000153,0.0132207026673
ACH-000159,0.029872336430200003
ACH-000160,-0.09530024257089999
ACH-000163,-0.12809745157299998
ACH-000167,-0.17692955554200002
ACH-000168,-0.341955533124
ACH-000169,-0.44364228842299996
ACH-000178,-0.206199453159
ACH-000182,-0.19855067557300002
ACH-000183,-0.0759920589848
ACH-000188,-0.241597794991
ACH-000189,0.0553577871477
ACH-000190,-0.186179476322
ACH-000198,-0.183200883096
ACH-000204,-0.186313464615
ACH-000206,0.042187620714699996
ACH-000207,-0.32763143410100004
ACH-000211,-0.40428851617
ACH-000215,-0.21098293645799998
ACH-000221,-0.251632974774
ACH-000222,0.151588167571
ACH-000223,-0.255197722953
ACH-000226,-0.0359001393302
ACH-000227,-0.45873597719899994
ACH-000228,0.014390447236
ACH-000231,0.0836509065944
ACH-000232,-0.23046095113499998
ACH-000233,-0.11445269110200001
ACH-000234,0.00769393352559
ACH-000235,-0.157492537827
ACH-000237,-0.190975422506
ACH-000238,-0.294722344292
ACH-000243,-0.30760167499
ACH-000244,-0.151781856501
ACH-000246,0.148738057103
ACH-000248,-0.337390292453
ACH-000250,-0.09598250915860002
ACH-000251,-0.187995757504
ACH-000253,-0.354560242958
ACH-000255,-0.25805716874699997
ACH-000256,-0.12071653724999999
ACH-000257,-0.544354702997
ACH-000258,-0.190290485913
ACH-000259,-0.0286311659871
ACH-000260,-0.139881083838
ACH-000261,-0.157158289457
ACH-000262,-0.23831774467099998
ACH-000263,-0.580353357823
ACH-000264,-0.0292686280829
ACH-000265,0.10061220154100001
ACH-000266,-0.384751539076
ACH-000272,-0.338183777369
ACH-000273,-0.34363310081799997
ACH-000274,0.163598552515
ACH-000277,-0.579383941021
ACH-000278,-0.026106526885599998
ACH-000279,-0.171227762421
ACH-000280,-0.0946921447793
ACH-000281,-0.14669416489499998
ACH-000288,-0.160040445929
ACH-000291,-0.05449323000990001
