,EFR3B (22979)
ACH-000004,-0.21431621750399998
ACH-000007,-0.0592742060109
ACH-000009,-0.022424383887099997
ACH-000011,-0.0711566480285
ACH-000012,-0.0372931264552
ACH-000013,-0.316899233128
ACH-000014,-0.256463192132
ACH-000015,-0.33697812668899996
ACH-000017,-0.0181934969827
ACH-000018,-0.0326109764736
ACH-000019,-0.229612884646
ACH-000021,-0.194552048966
ACH-000022,-0.344775094557
ACH-000025,-0.1402595179
ACH-000028,-0.10548056179500001
ACH-000030,-0.162261445929
ACH-000035,-0.252311365088
ACH-000036,-0.281302049986
ACH-000037,-0.23005104135499999
ACH-000039,-0.0023157420303299998
ACH-000040,-0.40502389847
ACH-000041,-0.500551741783
ACH-000042,-0.206631973048
ACH-000045,0.0453792728084
ACH-000047,-0.410058585629
ACH-000052,-0.506603422047
ACH-000053,-0.142802731302
ACH-000054,-0.192625444661
ACH-000055,0.034103439522099994
ACH-000060,-0.23995332901299998
ACH-000067,-0.0621597005567
ACH-000070,-0.41376351927
ACH-000075,0.025206911822599997
ACH-000078,-0.0755817948025
ACH-000082,0.0447640186396
ACH-000085,-0.30249472874899996
ACH-000086,-0.280998224033
ACH-000087,-0.149958386216
ACH-000092,-0.512061545162
ACH-000095,-0.31108861501999996
ACH-000097,-0.28504115153799997
ACH-000098,-0.18244023996599998
ACH-000099,-0.35810140599299994
ACH-000108,-0.321621990395
ACH-000113,-0.26539165052700003
ACH-000115,-0.344075415698
ACH-000116,-0.30895077604000004
ACH-000118,-0.13798289327
ACH-000120,-0.266326740013
ACH-000123,-0.141091067847
ACH-000127,-0.268497565369
ACH-000128,-0.370107465683
ACH-000132,-0.278312089804
ACH-000133,-0.482313506176
ACH-000137,-0.296923278377
ACH-000138,-0.0508590656905
ACH-000142,-0.255434084989
ACH-000143,-0.233883794301
ACH-000146,-0.156193099349
ACH-000148,-0.247879026456
ACH-000150,-0.18144433552099998
ACH-000152,-0.056819967653800006
ACH-000153,0.10018610015000001
ACH-000159,-0.203497084767
ACH-000160,-0.06683335919649999
ACH-000163,-0.137361581574
ACH-000167,-0.00450256504241
ACH-000168,-0.25254528333799997
ACH-000169,-0.228972078528
ACH-000178,-0.21613174932100002
ACH-000182,-0.24964724284499998
ACH-000183,-0.163761122229
ACH-000188,-0.0888691837926
ACH-000189,-0.601015188824
ACH-000190,-0.38147257071999996
ACH-000198,-0.346911799549
ACH-000204,-0.45180596140199997
ACH-000206,0.113253101013
ACH-000207,-0.31044451588599997
