,ZPBP2 (124626)
ACH-000004,-0.17956806764199998
ACH-000007,-0.21612179306899998
ACH-000009,-0.497518006238
ACH-000011,-0.21365779332499998
ACH-000012,-0.36342891023100005
ACH-000013,-0.355944191454
ACH-000014,-0.514424042204
ACH-000015,-0.283345848087
ACH-000017,-0.588489037938
ACH-000018,-0.40075815307400003
ACH-000019,-0.444067221863
ACH-000021,-0.249829450805
ACH-000022,-0.355516997571
ACH-000025,-0.188108960297
ACH-000028,-0.23329264517200002
ACH-000030,-0.431343258498
ACH-000035,-0.523076158975
ACH-000036,-0.316321635156
ACH-000037,0.047598373699900005
ACH-000039,-0.434672298332
ACH-000040,-0.384609124824
ACH-000041,-0.412769596529
ACH-000042,-0.227514073363
ACH-000045,-0.23963489173500002
ACH-000047,-0.381691330296
ACH-000052,-0.19966156208799998
ACH-000053,-0.262693869884
ACH-000054,-0.112731703893
ACH-000055,-0.622229743923
ACH-000060,-0.480624690585
ACH-000067,-0.574958367198
ACH-000070,-0.241014780951
ACH-000075,-0.399719225437
ACH-000078,-0.408661899436
ACH-000082,-0.25421349660799997
ACH-000085,-0.20426080570900002
ACH-000086,-0.279081585146
ACH-000087,-0.232968455343
ACH-000092,-0.246281097486
ACH-000095,-0.324050816899
ACH-000097,-0.39592019821999996
ACH-000098,-0.32347271332899996
ACH-000099,-0.307283947384
ACH-000108,-0.218390331192
ACH-000113,-0.336762603378
ACH-000115,-0.38529041945299997
ACH-000116,-0.310018894838
ACH-000118,-0.32514085579199997
ACH-000120,-0.523462815364
ACH-000123,-0.392346790554
ACH-000127,-0.265102843833
ACH-000128,-0.053546031457500004
ACH-000132,-0.428410650881
ACH-000133,-0.332022690172
ACH-000137,-0.383277446013
ACH-000138,-0.511409852644
ACH-000142,-0.402461521702
ACH-000143,-0.39971552380900005
ACH-000146,-0.391790472308
ACH-000148,-0.409350944436
ACH-000150,-0.233098309375
ACH-000152,-0.265323302607
ACH-000153,-0.45367373244099995
ACH-000159,-0.329794380951
ACH-000160,-0.549745990692
ACH-000163,-0.26201850835
ACH-000167,-0.419601451817
ACH-000168,-0.5188121039410001
ACH-000169,-0.276951297387
ACH-000178,-0.301874276619
ACH-000182,-0.43862966278000004
ACH-000183,-0.304372088695
ACH-000188,-0.5607436811
ACH-000189,-0.18540213523899998
ACH-000190,-0.363061790634
ACH-000198,-0.271336529977
ACH-000204,-0.153518472846
ACH-000206,-0.33997538688
ACH-000207,-0.5904868505749999
ACH-000211,-0.473217661847
ACH-000215,-0.355855319422
ACH-000221,-0.237071472304
ACH-000222,-0.287644617446
ACH-000223,-0.20378753335799998
ACH-000226,-0.19155134304699997
ACH-000227,-0.380701626598
ACH-000228,-0.25517967521400003
ACH-000231,-0.36007821158
ACH-000232,-0.250758397233
ACH-000233,-0.17414763597199998
ACH-000234,-0.350221626889
ACH-000235,-0.375579173597
ACH-000237,-0.221434469519
ACH-000238,-0.465673122232
ACH-000243,-0.470862069155
ACH-000244,-0.49345297574600006
ACH-000246,-0.303036253551
ACH-000248,-0.46265378391900003
ACH-000250,-0.41629959990099996
