,MTNR1A (4543)
ACH-000004,-0.0248729456303
ACH-000007,0.113376789082
ACH-000009,0.0026973657635500003
ACH-000011,-0.0164322551857
ACH-000012,0.046006599649300005
ACH-000013,0.0028275500368000004
ACH-000014,-0.0668469378207
ACH-000015,-0.0125349790885
ACH-000017,0.19996446625300002
ACH-000018,0.022440690918799997
ACH-000019,0.0911611969848
ACH-000021,0.041362301306800006
ACH-000022,0.026292101516
ACH-000025,-0.0203378612675
ACH-000028,0.138693295035
ACH-000030,0.019456847735299997
ACH-000035,0.0934383936029
ACH-000036,0.0236773877611
ACH-000037,-0.149283542819
ACH-000039,0.0527189887532
ACH-000040,-0.103463509609
ACH-000041,-0.0326849066802
ACH-000042,-0.00596853390167
ACH-000045,0.0619507468754
ACH-000047,-0.0879450566875
ACH-000052,-0.0428606035006
ACH-000053,-0.04653868772459999
ACH-000054,0.0309638804096
ACH-000055,-0.0414509724353
ACH-000060,-0.09257590219560001
ACH-000067,-0.0249727399015
ACH-000070,-0.0790895905785
ACH-000075,0.0212814584448
ACH-000078,0.111025047597
ACH-000082,-0.14583628541500002
ACH-000085,-0.161632012143
ACH-000086,0.0502391299203
ACH-000087,-0.029246502899700003
ACH-000092,0.035028791186599996
ACH-000095,0.012660839662500001
ACH-000097,0.07568307917469999
ACH-000098,-0.0161244196981
ACH-000099,0.038343985864800006
ACH-000108,0.107542013609
ACH-000113,0.030347710742900005
ACH-000115,0.0209194303115
ACH-000116,0.052792517076
ACH-000118,0.0314270738723
ACH-000120,-0.0270535582665
ACH-000123,0.0470381961294
ACH-000127,-0.0394713586245
ACH-000128,-0.0073720850335799995
ACH-000132,0.057750843876
ACH-000133,0.190744456755
ACH-000137,0.117341768759
ACH-000138,0.0445438039592
ACH-000142,0.0996552239662
ACH-000143,-0.151891411332
ACH-000146,0.0140381309129
ACH-000148,-0.1336955964
ACH-000150,0.03672873405219999
ACH-000152,-0.054104744380400006
ACH-000153,-0.119082842862
ACH-000159,0.0537720755767
ACH-000160,0.10221564693900001
ACH-000163,-0.00498902542987
ACH-000167,-0.316095170018
ACH-000168,0.036715026936
ACH-000169,-0.016365599099
ACH-000178,-0.0488195538507
ACH-000182,0.0314454990863
ACH-000183,0.0678748056521
ACH-000188,-0.19071616593
ACH-000189,0.22907629396600002
ACH-000190,0.023363985362200003
ACH-000198,0.004685507568109999
ACH-000204,-0.0179685742102
ACH-000206,-0.0851629366872
ACH-000207,0.0513883058046
ACH-000211,-0.0405113600585
ACH-000215,-0.130968120223
ACH-000221,-0.0437168607344
ACH-000222,0.08185595330180001
ACH-000223,-0.0036250355881100003
ACH-000226,0.0717394361955
