,EIF3K (27335)
ACH-000004,-0.489971488651
ACH-000007,-0.33893464996600003
ACH-000009,-0.305257567946
ACH-000011,-0.21825951936000001
ACH-000012,-0.145587300411
ACH-000013,-0.25553449786
ACH-000014,-0.247656787467
ACH-000015,-0.371425838707
ACH-000017,-0.331970803375
ACH-000018,-0.452178319446
ACH-000019,-0.171832420082
ACH-000021,-0.192011203897
ACH-000022,-0.41214595190700004
ACH-000025,0.044517359654299996
ACH-000028,-0.25867921334800004
ACH-000030,-0.32115116522
ACH-000035,-0.145983065034
ACH-000036,-0.347207248297
ACH-000037,-0.20544943311900002
ACH-000039,-0.446259703006
ACH-000040,-0.41703242984399996
ACH-000041,-0.049980354167
ACH-000042,0.0991581358364
ACH-000045,-0.06878996909799999
ACH-000047,0.11219202633099999
ACH-000052,-0.380963485948
ACH-000053,-0.21985990729600002
ACH-000054,-0.09794054633639998
ACH-000055,-0.6194137045279999
ACH-000060,-0.0727494167609
ACH-000067,-0.422831154516
ACH-000070,-0.430099971107
ACH-000075,-0.13760165235
ACH-000078,-0.320411360671
ACH-000082,-0.0485401845264
ACH-000085,-0.737134665449
ACH-000086,-0.229690909013
ACH-000087,-0.175174799618
ACH-000092,-0.139149253351
ACH-000095,-0.312551238224
ACH-000097,-0.19811778024
ACH-000098,-0.26868980693100003
ACH-000099,-0.29236359382800003
ACH-000108,-0.368814114766
ACH-000113,-0.153872918971
ACH-000115,-0.16498814417500002
ACH-000116,0.0596719043948
ACH-000118,-0.277159775236
ACH-000120,-0.23630429543099998
ACH-000123,-0.181327589962
ACH-000127,-0.23806937023299998
ACH-000128,-0.32880899555599996
ACH-000132,-0.153985369813
ACH-000133,-0.261244187851
ACH-000137,-0.29566480461800004
ACH-000138,-0.090806786937
ACH-000142,-0.472411927637
ACH-000143,-0.17553265243000002
ACH-000146,-0.411037327429
ACH-000148,-0.160993008536
ACH-000150,-0.453881604221
ACH-000152,-0.115840579385
ACH-000153,-0.118703613868
ACH-000159,-0.320561977463
ACH-000160,-0.20405489709000002
ACH-000163,-0.06322900703409999
ACH-000167,-0.164571072462
ACH-000168,-0.361957391734
ACH-000169,-0.21762851393100002
ACH-000178,-0.21048585492
ACH-000182,-0.293302868998
ACH-000183,-0.281108763136
ACH-000188,-0.26837861372099997
ACH-000189,-0.110527580831
ACH-000190,-0.28826174404599997
ACH-000198,-0.0640237682548
ACH-000204,-0.595904867966
ACH-000206,-0.552460642264
ACH-000207,-0.355574794317
ACH-000211,-0.150334050359
ACH-000215,-0.275691331671
ACH-000221,-0.194138889754
ACH-000222,-0.132097778056
ACH-000223,-0.281828502514
ACH-000226,-0.31124748773899996
ACH-000227,-0.185355460814
ACH-000228,-0.42011947575999997
ACH-000231,-0.037286648072900004
ACH-000232,-0.0633686513423
ACH-000233,-0.162712993733
ACH-000234,-0.260362796766
ACH-000235,-0.264843472885
ACH-000237,-0.337176075972
ACH-000238,-0.19066776378400002
ACH-000243,-0.489940226743
ACH-000244,-0.06374650383880001
ACH-000246,-0.13141787410999997
ACH-000248,-0.25504650612
ACH-000250,-0.197552254647
ACH-000251,0.11267613884000001
ACH-000253,-0.250400059315
ACH-000255,-0.299195288614
ACH-000256,-0.409463825757
ACH-000257,0.0013696089088599999
ACH-000258,-0.19247188308600002
ACH-000259,-0.374705254718
ACH-000260,-0.305341748223
ACH-000261,-0.10566598116800001
ACH-000262,0.266855698777
ACH-000263,-0.062408604346000006
