,CYBRD1 (79901)
ACH-000004,-0.260300360407
ACH-000007,0.000751876799226
ACH-000009,-0.129435541272
ACH-000011,-0.284716343606
ACH-000012,-0.107375701252
ACH-000013,-0.24939870253000002
ACH-000014,-0.09370832739219999
ACH-000015,-0.07670146647689999
ACH-000017,-0.226106903994
ACH-000018,-0.580609201394
ACH-000019,0.129769831905
ACH-000021,-0.11142587798499999
ACH-000022,-0.0826142941494
ACH-000025,-0.00742774546061
ACH-000028,-0.228054713833
ACH-000030,-0.158880895464
ACH-000035,-0.154311966179
ACH-000036,-0.0137169153415
ACH-000037,-0.173481611806
ACH-000039,-0.284103954827
ACH-000040,-0.25134856501200004
ACH-000041,-0.308470139224
ACH-000042,-0.138318081066
ACH-000045,-0.395522679396
ACH-000047,-0.40266715205200004
ACH-000052,-0.278098525068
ACH-000053,-0.218969343441
ACH-000054,-0.22808752055599998
ACH-000055,-0.078101298518
ACH-000060,-0.18329385228300002
ACH-000067,-0.100883278836
ACH-000070,0.10990110803
ACH-000075,-0.0608513408716
ACH-000078,-0.118692311286
ACH-000082,-0.23184071799400002
ACH-000085,-0.242909400705
ACH-000086,-0.26059054428399997
ACH-000087,-0.337385101826
ACH-000092,-0.314241914671
ACH-000095,-0.31468971269
ACH-000097,-0.257543248088
ACH-000098,-0.32387371035100004
ACH-000099,-0.23459580978100003
ACH-000108,-0.24335935056400002
ACH-000113,-0.109980135647
ACH-000115,-0.142624287498
ACH-000116,-0.118342933828
ACH-000118,-0.23209114591
ACH-000120,-0.429335566637
ACH-000123,-0.152743436081
ACH-000127,-0.119204883977
ACH-000128,-0.241380795964
ACH-000132,-0.338302407515
ACH-000133,-0.0739490915304
ACH-000137,-0.245255261687
ACH-000138,-0.210877302808
ACH-000142,-0.167618275223
ACH-000143,-0.310672168065
ACH-000146,-0.1153123524
ACH-000148,-0.23651513379099998
ACH-000150,-0.20661015818599998
ACH-000152,-0.186428254445
ACH-000153,-0.47034899499300004
ACH-000159,-0.2508201219
ACH-000160,-0.10075966238800001
ACH-000163,-0.189574071432
ACH-000167,-0.182132967889
ACH-000168,-0.26497788497900004
ACH-000169,-0.286004515389
ACH-000178,-0.168940030996
ACH-000182,-0.13489903786
ACH-000183,-0.28224096531599996
ACH-000188,-0.0319738155382
ACH-000189,-0.08583389976780001
ACH-000190,-0.245836863055
ACH-000198,-0.335361017357
ACH-000204,-0.0684422370661
ACH-000206,-0.166625442691
ACH-000207,-0.120779866381
ACH-000211,-0.11986779192
ACH-000215,-0.207398124349
ACH-000221,-0.21612722098499998
ACH-000222,-0.025903123226099996
ACH-000223,-0.174636670114
ACH-000226,-0.244368766296
ACH-000227,-0.0490827877826
ACH-000228,-0.119116751369
ACH-000231,-0.13293874026
ACH-000232,-0.10930568623199999
ACH-000233,-0.203407259089
ACH-000234,-0.221183667085
ACH-000235,-0.257980740002
ACH-000237,-0.29638979560400003
ACH-000238,-0.134055537935
ACH-000243,-0.223723578417
ACH-000244,-0.105522166469
ACH-000246,-0.132795764781
ACH-000248,-0.0754225687519
ACH-000250,-0.22056965917399998
ACH-000251,-0.223274271345
ACH-000253,-0.27484192613200004
ACH-000255,-0.14935599019
ACH-000256,0.00292451433992
ACH-000257,0.0194707742313
ACH-000258,0.243913961054
ACH-000259,-0.132482946901
ACH-000260,-0.397418054322
ACH-000261,-0.24984996643000004
ACH-000262,-0.261956683323
ACH-000263,-0.11126846972000001
ACH-000264,-0.261305025508
ACH-000265,-0.285625044254
ACH-000266,-0.262292496612
ACH-000272,-0.198819733928
ACH-000273,-0.29076752538199996
ACH-000274,-0.18065347469999998
ACH-000277,-0.256805346634
ACH-000278,-0.201476908951
ACH-000279,-0.274361996268
ACH-000280,-0.08608373729310001
ACH-000281,0.0898280466632
ACH-000288,-0.155687384178
ACH-000291,-0.210833449034
ACH-000293,-0.11554236766899999
ACH-000294,-0.210543024642
ACH-000295,0.46840376384099996
ACH-000296,-0.418304180555
ACH-000302,-0.109943653879
ACH-000304,0.14218227682499998
ACH-000307,-0.207847704231
ACH-000308,-0.12383062555600001
ACH-000310,-0.467866929301
ACH-000311,-0.172561275007
ACH-000312,-0.43810166640500003
ACH-000315,-0.08815124858830001
ACH-000316,0.011405555826099999
ACH-000317,-0.23112693898800002
ACH-000318,-0.203701622892
ACH-000319,-0.11700824306299999
ACH-000320,-0.241435995968
ACH-000322,-0.302233217879
ACH-000323,-0.11259469753200001
ACH-000324,-0.221043600271
ACH-000329,-0.0843325835925
ACH-000330,-0.009365440998799998
