,FBXW11 (23291)
ACH-000004,-1.03985462099
ACH-000007,-0.167991408431
ACH-000009,-0.236154577022
ACH-000011,-0.282233071537
ACH-000012,-0.676145257848
ACH-000013,-0.190796720773
ACH-000014,-0.750693198493
ACH-000015,-0.0992065276472
ACH-000017,-0.8505889354699999
ACH-000018,-0.44465065504600004
ACH-000019,0.0559057765276
ACH-000021,-0.35108651366
ACH-000022,-0.00878163862448
ACH-000025,-0.556312534972
ACH-000028,-0.277750163704
ACH-000030,-0.681914273393
ACH-000035,-0.536061748646
ACH-000036,0.346653608543
ACH-000037,-0.35131828127899994
ACH-000039,-0.872723440617
ACH-000040,-0.7275355811349999
ACH-000041,-0.17865149682300002
ACH-000042,-0.9885237348170001
ACH-000045,-0.60712264361
ACH-000047,-0.47078009726099995
ACH-000052,-0.200237400472
ACH-000053,-0.578806217431
ACH-000054,-0.49535464873999996
ACH-000055,-0.39109860300800003
ACH-000060,-0.377732138351
ACH-000067,-0.537183643435
ACH-000070,-0.8214309442569999
ACH-000075,-0.513664230343
ACH-000078,-0.855130948193
ACH-000082,-0.137975568103
ACH-000085,-0.847579853276
ACH-000086,0.0508248244306
ACH-000087,0.22575116050500002
ACH-000092,-0.571010476979
ACH-000095,0.0682069572016
ACH-000097,-0.127811391863
ACH-000098,-0.017245495958599998
ACH-000099,-0.219626901685
ACH-000108,0.14601116352399998
ACH-000113,-0.631962809906
ACH-000115,-0.0960727418082
ACH-000116,-0.742894847269
ACH-000118,-0.809462147219
ACH-000120,-0.0197376010731
ACH-000123,-0.621788925637
ACH-000127,0.0196533729554
ACH-000128,-0.757579620214
ACH-000132,-0.239712990849
ACH-000133,-0.644434016599
ACH-000137,-0.45981098867700004
ACH-000138,-0.278030551384
ACH-000142,-0.206298435723
ACH-000143,-0.327374721229
ACH-000146,-1.2853332448
ACH-000148,-0.172525357929
ACH-000150,-0.22199324981999996
ACH-000152,-0.180828005598
ACH-000153,-0.013897323700899999
ACH-000159,-0.700813557514
ACH-000160,-0.335418942602
ACH-000163,-0.13226002394
ACH-000167,-0.64653167124
ACH-000168,-0.6743758076530001
ACH-000169,-0.15008419875600001
ACH-000178,-0.550224412021
ACH-000182,-0.9271549914489999
ACH-000183,-0.444433836995
ACH-000188,-0.7150011348049999
ACH-000189,-0.445784084233
ACH-000190,-0.500055776205
ACH-000198,-0.736326795878
ACH-000204,-0.8099624455840001
ACH-000206,-0.42635673922
ACH-000207,0.149424622762
ACH-000211,-0.8379091371520001
ACH-000215,-0.06976309315689999
ACH-000221,0.0149328663821
ACH-000222,-0.157722919902
ACH-000223,-1.18117903189
ACH-000226,-0.0751018848756
ACH-000227,-0.867122868402
ACH-000228,-0.8489372944499999
ACH-000231,-0.15839292263000002
ACH-000232,-0.7365873268619999
ACH-000233,-0.108322439176
ACH-000234,-0.482722374871
ACH-000235,-0.798662030765
ACH-000237,-0.561214035224
ACH-000238,-0.684241650943
ACH-000243,0.00811758878247
ACH-000244,-0.804480909792
ACH-000246,-0.6524496143330001
ACH-000248,-1.0601245073899999
ACH-000250,-0.33232685582800003
ACH-000251,-0.350648451541
ACH-000253,-0.779228884843
ACH-000255,-0.451869744487
ACH-000256,-0.6932504895199999
ACH-000257,-0.26226894629700004
ACH-000258,-0.9451341719299999
ACH-000259,-0.040769786658099993
ACH-000260,-0.417818580056
ACH-000261,-0.11955842058499999
ACH-000262,-0.5594577703320001
ACH-000263,-0.761874703353
ACH-000264,-0.139461323574
ACH-000265,0.101397892237
ACH-000266,-0.612989770505
ACH-000272,-0.37390834328199996
ACH-000273,-0.892453671429
ACH-000274,-1.34705140854
ACH-000277,-0.08902060318880001
ACH-000278,-0.49257986874700005
ACH-000279,-1.06237499167
ACH-000280,-0.30593710204700003
ACH-000281,-0.0344815609212
ACH-000288,0.0265605976473
ACH-000291,-0.335422362312
ACH-000293,0.0506418557434
ACH-000294,-0.302519803419
ACH-000295,-0.602680717981
ACH-000296,-0.461777174052
ACH-000302,0.170737999355
ACH-000304,-0.41993329180399996
ACH-000307,-0.08152078721539999
ACH-000308,0.0198405736638
ACH-000310,-0.424066332126
ACH-000311,0.290677910231
ACH-000312,-0.222373863587
ACH-000315,-0.614047010953
ACH-000316,-0.43728479878999993
ACH-000317,-0.63680899693
ACH-000318,-0.046085853107
ACH-000319,-0.237116551091
ACH-000320,-0.25037324366999997
ACH-000322,-0.626059362313
ACH-000323,-0.23373912507
ACH-000324,-0.261818145028
ACH-000329,-0.9157258630189999
ACH-000330,-1.1617825928799999
ACH-000331,0.274176280065
ACH-000332,-0.18029265437199998
ACH-000334,-0.297859161388
ACH-000335,0.09342490651100001
ACH-000336,-0.6822352747139999
ACH-000337,-0.585821389605
ACH-000339,-0.742004274551
ACH-000341,-0.0968297551179
ACH-000348,-0.9199186455480001
ACH-000350,-0.39365676456500004
ACH-000352,-0.364070842559
ACH-000356,-0.122173752528
ACH-000361,0.09044349606560001
ACH-000362,-0.671548698302
ACH-000363,0.0571095220758
ACH-000364,-0.317092011626
ACH-000365,-0.783198733037
ACH-000366,-0.584299714849
ACH-000368,-0.582907612786
ACH-000374,-0.385143610897
ACH-000375,0.150716468507
ACH-000376,0.18435336790999998
ACH-000381,-0.390061909105
ACH-000383,-0.18497439560400003
ACH-000387,-0.345441714932
ACH-000389,-0.389367216748
ACH-000390,-0.635049083046
ACH-000393,-0.0857908818629
ACH-000395,-0.46922272680699995
ACH-000397,-0.464047892157
ACH-000401,-0.6765609355159999
ACH-000402,-0.262060759886
ACH-000403,-0.128629181875
ACH-000404,0.00411488792359
ACH-000406,-0.652555485518
ACH-000407,-0.203763568519
ACH-000408,-0.057902881641800005
ACH-000410,-0.472343993806
ACH-000411,-0.22369563071600002
ACH-000414,-0.00800829601091
ACH-000415,-0.033270627136099996
