,HDAC10 (83933)
ACH-000274,0.14427211426300002
ACH-000277,0.237806007429
ACH-000278,0.0518983878057
ACH-000279,0.139715396754
ACH-000280,0.0037040848422800004
ACH-000281,-0.0864128189549
ACH-000288,0.16288075965999999
ACH-000291,0.18464644715999998
ACH-000293,0.29538145553
ACH-000294,0.027669690343299996
ACH-000295,0.16267620143
ACH-000296,0.144454661331
ACH-000302,0.09741320700549999
ACH-000304,0.36449399567900004
ACH-000307,0.167086656058
ACH-000308,0.154073008728
ACH-000310,-0.0113850703433
ACH-000311,-0.078006885865
ACH-000312,0.0414707600402
ACH-000315,0.08946508546710001
ACH-000316,0.11678920903100001
ACH-000317,0.0879236549604
ACH-000318,-0.0119683161232
ACH-000319,-0.06331811443839999
ACH-000320,0.0957938294232
ACH-000322,0.0192540573688
ACH-000323,0.251957743945
ACH-000324,-0.049655901989599995
ACH-000329,0.205962933956
ACH-000330,0.158867027298
ACH-000331,0.29221504562399997
ACH-000332,0.11068289272500001
ACH-000334,0.180379234934
ACH-000335,0.20857683817400002
ACH-000336,0.543388800564
ACH-000337,0.17626051463599998
ACH-000339,0.128503586387
ACH-000341,0.29029127767499996
ACH-000348,0.274079710029
ACH-000350,0.030433149347299997
ACH-000352,0.145407081963
ACH-000356,-0.021805735835500002
ACH-000361,0.00681959663946
ACH-000362,0.015854502434499998
ACH-000363,0.029077434265
ACH-000364,0.162176745135
ACH-000365,0.0318693374169
ACH-000366,0.25573355287099997
ACH-000368,0.051007912448100004
ACH-000374,0.104917299426
ACH-000375,0.185634919626
ACH-000376,0.0508330992299
ACH-000381,0.139009065998
ACH-000383,0.123282582808
ACH-000387,0.09097998145410001
ACH-000389,0.09641527703189999
ACH-000390,0.0648334198971
ACH-000393,0.19843824170899999
ACH-000395,0.0606433988106
ACH-000397,0.0610206834411
ACH-000401,0.10678218204800001
ACH-000402,0.0312833723462
ACH-000403,0.121335104289
ACH-000404,0.201481938484
ACH-000406,0.06769271697359999
ACH-000407,0.284356784866
ACH-000408,0.22185862045200003
ACH-000410,0.10082326938200001
ACH-000411,0.036466546618199994
ACH-000414,0.0537765747594
ACH-000415,0.140875885101
ACH-000416,0.110890965753
ACH-000420,0.162436426542
ACH-000421,0.09704543377419998
ACH-000424,0.275284079498
ACH-000425,0.217536652322
ACH-000426,0.22721277785100003
ACH-000427,0.406201825199
ACH-000433,0.0807323821575
ACH-000436,0.17848510513000002
ACH-000444,0.042906626881099995
ACH-000445,0.117452560153
ACH-000448,0.143059790661
ACH-000450,-0.00642151808247
ACH-000452,0.13618637062
ACH-000454,0.204036637302
ACH-000458,0.18018604880800002
ACH-000459,0.25052700047800003
ACH-000460,0.0885797270676
ACH-000461,0.157718582062
ACH-000463,0.0867512112171
ACH-000464,0.21589866696899998
ACH-000466,0.022820275337900004
ACH-000467,0.171440819356
ACH-000468,0.202132512709
ACH-000469,0.08067324255469999
ACH-000470,-0.00250999733139
ACH-000471,0.0798431161917
ACH-000472,0.06511367642140001
ACH-000473,0.0171864339718
ACH-000475,0.150642405317
ACH-000476,-0.0489053484539
ACH-000477,0.0330860303328
ACH-000480,0.254327705234
ACH-000481,0.104845314289
ACH-000483,0.145912738827
ACH-000484,0.165875458059
ACH-000485,0.061101225533
ACH-000486,0.0975702706529
ACH-000487,0.185433433323
ACH-000488,0.19169259705400002
ACH-000490,0.0325876958784
ACH-000491,0.121876105781
ACH-000495,0.216504482445
ACH-000496,0.157340664693
ACH-000499,0.12176696595599999
ACH-000500,-0.175986117967
ACH-000502,0.0292110732387
ACH-000503,0.162667135046
ACH-000505,0.210226926282
ACH-000507,0.185614290934
ACH-000510,0.0653844424466
ACH-000511,0.10112803109999999
ACH-000512,0.20383154564599998
ACH-000516,0.119924537217
ACH-000517,0.0441136613024
ACH-000518,-0.159841910566
ACH-000520,0.20639150500999998
ACH-000521,0.150086575556
ACH-000522,0.160933108003
ACH-000524,0.0866156479025
ACH-000527,0.140140597784
ACH-000528,0.07239158617439999
ACH-000537,0.115365586914
ACH-000541,-0.0768158329506
ACH-000542,0.147983892247
ACH-000544,0.166092806809
ACH-000545,0.107936293906
ACH-000547,0.191433642233
ACH-000548,0.0655547896207
ACH-000549,0.30381504854200003
ACH-000550,0.104335251755
ACH-000552,0.250582765891
ACH-000556,0.0647185295634
ACH-000557,0.126520155684
ACH-000570,-0.0338784896966
ACH-000571,0.0502617923648
ACH-000573,0.14792458539
