,FSCN1 (6624)
ACH-000004,-0.146789091188
ACH-000007,0.24125693421500002
ACH-000009,-0.12635558144
ACH-000011,-0.11865157130000001
ACH-000012,-0.03960718897880001
ACH-000013,-0.0784272071653
ACH-000014,-0.30050644732799997
ACH-000015,-0.0895663766231
ACH-000017,0.297072063398
ACH-000018,0.012325682537499999
ACH-000019,-0.1608451599
ACH-000021,-0.024004799766599996
ACH-000022,0.0009372171103010001
ACH-000025,-0.026094367141800003
ACH-000028,-0.110076149996
ACH-000030,-0.116415164221
ACH-000035,-0.35518602373499997
ACH-000036,-0.241448156924
ACH-000037,-0.130390469349
ACH-000039,-0.176696484791
ACH-000040,-0.194154484058
ACH-000041,-0.12038163073699999
ACH-000042,-0.217657651822
ACH-000045,-0.0942207366251
ACH-000047,0.108960855443
ACH-000052,-0.276034120172
ACH-000053,-0.0872959084262
ACH-000054,-0.221508262648
ACH-000055,0.0933501974614
ACH-000060,-0.110494213971
ACH-000067,-0.141191908665
ACH-000070,0.09077727937
ACH-000075,-0.292135334539
ACH-000078,-0.139296198158
ACH-000082,-0.15325857573100002
ACH-000085,0.0146797298834
ACH-000086,0.0106152731903
ACH-000087,-0.11510143295900001
ACH-000092,-0.18742613416700002
ACH-000095,-0.011205366373100002
ACH-000097,-0.113339180821
ACH-000098,-0.0813139740857
ACH-000099,-0.0954276764621
ACH-000108,0.045986343558800005
ACH-000113,-0.206225011676
ACH-000115,-0.281801779997
ACH-000116,-0.177196452527
ACH-000118,-0.0204588697799
ACH-000120,-0.029596730429700003
ACH-000123,-0.221312985037
ACH-000127,-0.207194097104
ACH-000128,0.10445933260500001
ACH-000132,-0.09735932648710001
ACH-000133,0.107912625904
ACH-000137,0.018819993667400003
ACH-000138,-0.05188455629369999
ACH-000142,-0.0767782938805
ACH-000143,-0.200980317541
ACH-000146,-0.05528860276000001
ACH-000148,-0.0720429482814
ACH-000150,0.0914593897768
ACH-000152,0.051067442435099995
ACH-000153,0.151460375924
ACH-000159,-0.127531597298
ACH-000160,-0.0561728395133
ACH-000163,0.026383832516400006
