,ASPSCR1 (79058)
ACH-000004,-0.11735182432600001
ACH-000007,-0.5220671870979999
ACH-000009,-0.41747251782399997
ACH-000011,-0.402721760712
ACH-000012,-0.270759701908
ACH-000013,-0.18768844177299998
ACH-000014,-0.270385269169
ACH-000015,-0.177822035533
ACH-000017,-0.426815509422
ACH-000018,-0.294150938455
ACH-000019,-0.244521880962
ACH-000021,-0.405476055686
ACH-000022,-0.510612756266
ACH-000025,-0.0191356554056
ACH-000028,-0.361453991836
ACH-000030,-0.259127194203
ACH-000035,-0.209042028428
ACH-000036,-0.38717052655900003
ACH-000037,-0.125431434458
ACH-000039,-0.196750830277
ACH-000040,-0.44396363433200003
ACH-000041,-0.368836605298
ACH-000042,-0.554260106447
ACH-000045,-0.39727133769100004
ACH-000047,-0.46873733816600005
ACH-000052,-0.660170558039
ACH-000053,-0.357958800748
ACH-000054,-0.385468957138
ACH-000055,-0.09711218791580001
ACH-000060,-0.267156930919
ACH-000067,-0.352006323703
ACH-000070,-0.23478489792800003
ACH-000075,-0.24654222780299997
ACH-000078,-0.520273465955
ACH-000082,-0.311662170431
ACH-000085,-0.7882219988950001
ACH-000086,-0.27949741200399997
ACH-000087,-0.182279673926
ACH-000092,-0.18606280286200003
ACH-000095,-0.294083327128
ACH-000097,-0.35527214405699997
ACH-000098,-0.331292668631
ACH-000099,-0.676524377868
ACH-000108,-0.410125773198
ACH-000113,-0.458566388921
ACH-000115,-0.6435102560029999
ACH-000116,-0.35794450483999996
ACH-000118,-0.312784588204
ACH-000120,-0.414057296208
ACH-000123,-0.28281742358399997
ACH-000127,-0.303376769705
ACH-000128,-0.532626127254
ACH-000132,-0.102256960017
ACH-000133,-0.191555810662
ACH-000137,-0.06891238643289999
ACH-000138,-0.411149799839
ACH-000142,-0.34898956350500004
ACH-000143,-0.410628622864
ACH-000146,-0.142109403065
ACH-000148,-0.40519390698700003
ACH-000150,-0.162334026032
ACH-000152,-0.418155516954
ACH-000153,-0.365286278193
ACH-000159,-0.12409508711799999
ACH-000160,-0.38674878847499994
ACH-000163,-0.379667651226
ACH-000167,-0.229910346384
ACH-000168,-0.371718406475
ACH-000169,-0.387845148016
ACH-000178,-0.28172257241500004
ACH-000182,-0.43563064944799995
ACH-000183,-0.374636131071
ACH-000188,-0.291888036477
ACH-000189,-0.284323756383
ACH-000190,-0.201804990003
ACH-000198,-0.46711690681
ACH-000204,-0.39494309592200005
ACH-000206,-0.191027659171
ACH-000207,-0.264656372269
ACH-000211,-0.297086571751
ACH-000215,-0.374354432065
ACH-000221,-0.32449846292
ACH-000222,-0.462322316826
ACH-000223,-0.28031724050900003
ACH-000226,-0.32556002012699997
ACH-000227,-0.272338286725
ACH-000228,-0.286182914492
ACH-000231,-0.317846509141
ACH-000232,-0.28680055041200003
ACH-000233,-0.24331112993700002
ACH-000234,-0.314342373267
ACH-000235,-0.40071195406599996
ACH-000237,-0.38059436840899996
ACH-000238,-0.34431366917499995
ACH-000243,-0.33758830855099997
ACH-000244,-0.254440331442
ACH-000246,-0.5266021518840001
ACH-000248,-0.195293312951
ACH-000250,-0.361095008156
ACH-000251,-0.483118274092
ACH-000253,-0.3097208152
ACH-000255,-0.40653885100500003
ACH-000256,-0.510715783595
ACH-000257,-0.365860330613
ACH-000258,-0.161497583117
ACH-000259,-0.440277080038
ACH-000260,-0.405996485109
ACH-000261,-0.398855766692
ACH-000262,-0.41612030817400003
ACH-000263,-0.506078088418
ACH-000264,-0.29113498051
ACH-000265,-0.166057452588
ACH-000266,-0.486409940404
ACH-000272,-0.399254036689
ACH-000273,-0.40170451624799997
ACH-000274,-0.77448284344
ACH-000277,-0.553414650124
ACH-000278,-0.241788038517
ACH-000279,-0.530830409992
ACH-000280,-0.178394507951
ACH-000281,-0.478323872758
ACH-000288,-0.545576204296
ACH-000291,-0.397111466281
ACH-000293,-0.323851861671
ACH-000294,-0.34083292889899997
ACH-000295,-0.622172569459
ACH-000296,-0.46503771816600004
ACH-000302,-0.200854296771
ACH-000304,-0.164667118345
ACH-000307,-0.358781586075
ACH-000308,-0.267373232843
ACH-000310,-0.708993733467
ACH-000311,-0.301460632828
ACH-000312,-0.362237153504
ACH-000315,-0.345789928395
ACH-000316,-0.423513683824
ACH-000317,-0.370620344587
ACH-000318,-0.41485975685099996
ACH-000319,-0.41729703125
ACH-000320,-0.142468305288
ACH-000322,-0.147655906888
ACH-000323,-0.23507226214899998
ACH-000324,-0.378226467387
ACH-000329,-0.20894339312899998
ACH-000330,-0.29140671425500003
ACH-000331,-0.0974881856253
ACH-000332,-0.373540571619
ACH-000334,-0.383686513352
ACH-000335,-0.279519201613
ACH-000336,-0.265537181375
ACH-000337,-0.588507545211
ACH-000339,-0.407280632515
ACH-000341,-0.608415155161
ACH-000348,-0.22537002413499999
ACH-000350,-0.435127296
ACH-000352,-0.400359411
ACH-000356,-0.32122287207
ACH-000361,-0.18508741997
ACH-000362,-0.0834649915469
ACH-000363,-0.33619125796300003
ACH-000364,-0.23185773650400002
ACH-000365,-0.343938178388
ACH-000366,-0.306681182751
ACH-000368,-0.21894213078000002
ACH-000374,-0.49478735931100004
ACH-000375,-0.470431721534
ACH-000376,-0.307731937352
ACH-000381,-0.33697935487400005
ACH-000383,-0.276900035117
ACH-000387,-0.26784047392
ACH-000389,-0.277101019851
ACH-000390,-0.300788750875
ACH-000393,-0.239844352801
ACH-000395,-0.432334447457
ACH-000397,-0.40937957735200003
ACH-000401,-0.251638199419
ACH-000402,-0.428155420404
ACH-000403,-0.35863058427
ACH-000404,0.0181985683691
ACH-000406,-0.310148231502
ACH-000407,-0.512600755614
ACH-000408,-0.301557470849
ACH-000410,-0.149285243662
ACH-000411,-0.382959159312
ACH-000414,-0.410538192047
ACH-000415,-0.465702511242
ACH-000416,-0.34002005670100005
ACH-000420,-0.409875038979
ACH-000421,-0.22516869101599998
ACH-000424,-0.48810653135
ACH-000425,-0.189032774557
ACH-000426,-0.0720749541497
ACH-000427,-0.209357241347
ACH-000433,-0.515281464291
ACH-000436,-0.21125119647100002
ACH-000444,-0.278867267445
ACH-000445,-0.204836638038
ACH-000448,-0.24838619181999996
ACH-000450,-0.49059030072899995
ACH-000452,-0.308348128515
ACH-000454,-0.0697207072769
ACH-000458,-0.267810412985
ACH-000459,-0.258774275815
ACH-000460,-0.22617834225800001
ACH-000461,-0.38526026258
ACH-000463,-0.326917598719
ACH-000464,-0.40606175242299997
ACH-000466,-0.30392084020300003
ACH-000467,-0.117876649805
ACH-000468,-0.270739641453
ACH-000469,-0.30784302081799997
ACH-000470,-0.331644992519
ACH-000471,-0.412022914536
ACH-000472,-0.45680722950499997
ACH-000473,-0.307244360537
ACH-000475,-0.284550259257
ACH-000476,-0.476348642205
ACH-000477,-0.209317326969
ACH-000480,-0.24278984818799998
ACH-000481,-0.421473832288
ACH-000483,-0.217812979342
ACH-000484,-0.262161935595
ACH-000485,-0.49698102528300003
ACH-000486,-0.26966584802099997
ACH-000487,-0.389942240727
ACH-000488,-0.502155102432
ACH-000490,-0.0832568638644
ACH-000491,-0.266987826125
ACH-000495,-0.30104902330899996
ACH-000496,-0.54163606912
ACH-000499,-0.249738751303
ACH-000500,-0.261688664383
ACH-000502,-0.30693871130899997
ACH-000503,-0.014244284705700001
ACH-000505,-0.325615051338
ACH-000507,-0.251430882367
ACH-000510,-0.332089211741
ACH-000511,-0.10229492881300001
ACH-000512,-0.291289539474
ACH-000516,-0.138332642557
ACH-000517,-0.22525121922
ACH-000518,-0.5031353448979999
ACH-000520,-0.26548640606
ACH-000521,-0.7377159858490001
ACH-000522,-0.24504218630199998
ACH-000524,-0.276157843314
ACH-000527,-0.247844967326
ACH-000528,-0.180445500266
ACH-000537,-0.334458914502
ACH-000541,-0.441998788145
ACH-000542,-0.40881624845799996
ACH-000544,-0.394589849742
ACH-000545,-0.435851411205
ACH-000547,-0.264850639604
ACH-000548,-0.334387547102
ACH-000549,-0.42623162075099996
ACH-000550,-0.41987760454899997
ACH-000552,-0.293160188466
ACH-000556,-0.38137146568499997
ACH-000557,-0.17430709684700002
ACH-000570,-0.431845019643
ACH-000571,-0.53783399055
ACH-000573,-0.251795831699
ACH-000576,-0.28222616651500004
ACH-000580,-0.353687164388
ACH-000584,-0.40968398186
ACH-000585,-0.133884239573
ACH-000588,-0.328245183986
ACH-000589,-0.33684263575
ACH-000591,-0.341958519908
ACH-000593,-0.32858937697900004
ACH-000600,-0.24394804754799998
ACH-000601,-0.333383504085
ACH-000604,-0.298458096475
ACH-000605,-0.385904717987
ACH-000606,-0.322379336724
ACH-000608,-0.42130988569399996
ACH-000614,-0.19610626147399998
ACH-000616,-0.372889244136
ACH-000618,-0.415864446316
ACH-000619,-0.39814304573
ACH-000620,-0.31527431609900003
ACH-000621,-0.4628764449600001
ACH-000622,-0.451751430513
ACH-000623,-0.332026435822
ACH-000624,-0.43065459859
ACH-000627,-0.32691279181099997
ACH-000630,-0.285202639338
ACH-000632,-0.248662723519
ACH-000633,-0.47917602888300004
ACH-000637,-0.428751291576
ACH-000638,-0.292571895484
ACH-000646,-0.310605270913
ACH-000647,-0.35399170586400003
ACH-000648,-0.339098946181
ACH-000649,-0.310332490839
ACH-000651,-0.301659822086
ACH-000652,-0.512324813038
ACH-000653,-0.3311215196
ACH-000657,-0.42812138751199996
ACH-000658,-0.167370289492
ACH-000661,-0.244124544043
ACH-000662,-0.18999002553199998
ACH-000663,-0.251449978206
ACH-000665,-0.24018049718899998
ACH-000671,-0.42325712291
ACH-000673,-0.38239312637100004
ACH-000676,-0.578107242623
ACH-000677,-0.0946732522724
ACH-000681,-0.392053878896
ACH-000682,-0.416444628526
ACH-000683,-0.336469792181
ACH-000684,-0.152318921338
ACH-000688,-0.14897456379000001
ACH-000693,-0.386730314429
ACH-000694,-0.418651650923
ACH-000695,-0.15151398957599999
ACH-000696,-0.18715328876200002
ACH-000697,-0.477700830312
ACH-000699,-0.24392673519400002
ACH-000701,-0.40270156120300005
ACH-000706,-0.27392451059
ACH-000711,-0.296034612338
ACH-000713,-0.287721574524
ACH-000714,-0.426853284621
ACH-000718,-0.562579958541
ACH-000720,-0.496857624649
ACH-000721,-0.321838584413
ACH-000724,-0.184703526836
ACH-000725,-0.602310309368
ACH-000732,-0.184094015702
ACH-000734,-0.377074933156
ACH-000735,-0.278384749934
ACH-000736,-0.261975276079
ACH-000738,-0.270623109438
ACH-000746,-0.190116827651
ACH-000747,-0.266267369938
ACH-000748,-0.275410717539
ACH-000753,-0.321678325022
ACH-000756,-0.177507037663
ACH-000757,-0.207899761036
ACH-000758,-0.148222045186
ACH-000760,-0.43390980539800006
ACH-000763,-0.122372130462
ACH-000764,-0.5468818300180001
ACH-000765,-0.406254882533
ACH-000766,-0.317829224917
ACH-000767,-0.606965368388
ACH-000768,-0.12313593453800001
ACH-000769,-0.36470574294
ACH-000770,-0.202768403184
ACH-000771,-0.239570297641
ACH-000773,-0.37992584665
ACH-000776,-0.43751052160899995
ACH-000777,-0.18520984012699998
ACH-000778,-0.328091520337
ACH-000781,-0.291968720538
ACH-000782,-0.325171131518
ACH-000783,-0.384934466307
ACH-000784,-0.13749351852
ACH-000785,-0.318261643527
ACH-000787,-0.282518374969
ACH-000788,-0.058286134646699995
ACH-000791,-0.39660629325900004
ACH-000792,-0.28600931718199996
ACH-000794,-0.34186371490199996
ACH-000796,-0.271423762088
ACH-000799,-0.221146307568
ACH-000800,-0.1666208173
ACH-000802,-0.330063714725
ACH-000804,-0.374488320452
ACH-000805,-0.21957175202399998
ACH-000809,-0.525981217654
ACH-000810,-0.48383388741899996
ACH-000811,-0.519277248287
ACH-000817,-0.213540702283
ACH-000819,-0.247562565902
ACH-000820,-0.45518702591300003
ACH-000821,-0.167369003499
ACH-000822,-0.48201788592600003
ACH-000823,-0.25671980729800004
ACH-000824,-0.440675980001
ACH-000827,-0.186593137923
ACH-000829,-0.296335645504
ACH-000831,-0.355752626502
ACH-000832,-0.173543910526
ACH-000833,-0.462075561636
ACH-000834,-0.308260446343
ACH-000835,-0.265525630687
ACH-000836,-0.33401183179
ACH-000837,-0.269375516358
ACH-000838,-0.26544825409
ACH-000839,-0.5589571350429999
ACH-000840,-0.41183371322800005
