,NFYC (4802)
ACH-000004,-0.81778964122
ACH-000007,-1.3788544471200002
ACH-000009,-1.20299012567
ACH-000011,-0.930150342431
ACH-000012,-0.924017325766
ACH-000013,-1.00589377619
ACH-000014,-1.25179468021
ACH-000015,-1.2266342045999998
ACH-000017,-1.06814410494
ACH-000018,-0.807351159289
ACH-000019,-1.09433536221
ACH-000021,-0.8724459287
ACH-000022,-0.9951374932829999
ACH-000025,-0.891514611827
ACH-000028,-0.717424887675
ACH-000030,-0.904222890261
ACH-000035,-1.2520008183600002
ACH-000036,-0.6478441652920001
ACH-000037,-0.976821931443
ACH-000039,-0.795846481375
ACH-000040,-0.956941619894
ACH-000041,-0.79166895189
ACH-000042,-0.953385848715
ACH-000045,-1.13847186467
ACH-000047,-1.03000843379
ACH-000052,-1.20413856194
ACH-000053,-0.8318932179790001
ACH-000054,-0.943850811667
ACH-000055,-0.9754985902009999
ACH-000060,-1.2214453753299999
ACH-000067,-0.8565120868260001
ACH-000070,-0.817854409751
ACH-000075,-1.06722309774
ACH-000078,-0.597098748765
ACH-000082,-1.16098424982
ACH-000085,-1.20707677968
ACH-000086,-0.893558468169
ACH-000087,-1.1708871678100001
ACH-000092,-0.8881669346719999
ACH-000095,-1.0769983986299998
ACH-000097,-1.0841179116700002
ACH-000098,-0.949418205537
ACH-000099,-1.3233236631899998
ACH-000108,-1.06949846963
ACH-000113,-1.1005079607700001
ACH-000115,-0.82399500374
ACH-000116,-0.785209021979
ACH-000118,-1.19593068006
ACH-000120,-1.32809900814
ACH-000123,-1.20951859029
ACH-000127,-1.0639149080099999
ACH-000128,-0.965567883195
ACH-000132,-0.875226240992
ACH-000133,-0.987032572034
ACH-000137,-1.10085981623
ACH-000138,-0.830103625712
ACH-000142,-1.07206289724
ACH-000143,-1.03871823065
ACH-000146,-0.8211960481939999
ACH-000148,-0.982501313828
ACH-000150,-1.00065369506
ACH-000152,-1.00780291267
ACH-000153,-0.889212130492
ACH-000159,-0.840183056774
ACH-000160,-0.623905781112
ACH-000163,-0.816707352981
ACH-000167,-0.474283434021
ACH-000168,-0.878360304736
ACH-000169,-1.04016907953
ACH-000178,-0.937953768688
ACH-000182,-0.966011037185
ACH-000183,-0.779510287336
ACH-000188,-1.0887074736799998
ACH-000189,-0.9217819973100001
ACH-000190,-0.44420622817100003
ACH-000198,-1.19678617877
ACH-000204,-0.95935974555
ACH-000206,-0.959545019912
ACH-000207,-1.12734835553
ACH-000211,-1.06241981397
ACH-000215,-0.563215575668
ACH-000221,-1.1516648760700001
ACH-000222,-1.0939054392799998
ACH-000223,-1.02655955694
ACH-000226,-0.7911947805060001
ACH-000227,-1.16608992412
ACH-000228,-1.02603944284
ACH-000231,-0.704652575448
ACH-000232,-0.9239222753659999
ACH-000233,-0.958091164111
ACH-000234,-1.1017182760100002
ACH-000235,-1.0568623861
ACH-000237,-0.999937018154
ACH-000238,-0.999694117859
ACH-000243,-1.11611282015
ACH-000244,-1.0672003135299999
ACH-000246,-0.793764650387
ACH-000248,-0.9039125165090001
ACH-000250,-0.916612273981
ACH-000251,-1.16969372643
ACH-000253,-1.06010017122
ACH-000255,-0.958551591645
ACH-000256,-0.941299965933
ACH-000257,-0.688031428318
ACH-000258,-1.1205305113600001
ACH-000259,-0.687335700859
ACH-000260,-0.987251135008
ACH-000261,-1.13442636271
ACH-000262,-0.8119356338770001
ACH-000263,-1.00388871189
ACH-000264,-1.3506816379
ACH-000265,-1.1832796577200002
ACH-000266,-1.01389689808
ACH-000272,-0.8808177887690001
ACH-000273,-0.8014063604389999
ACH-000274,-0.948150543592
ACH-000277,-1.13311056782
ACH-000278,-0.9188810526369999
ACH-000279,-0.552317643761
ACH-000280,-0.752490206964
ACH-000281,-0.6231516437610001
ACH-000288,-0.659114430061
ACH-000291,-1.13700078326
ACH-000293,-0.8108066297759999
ACH-000294,-1.05747911229
ACH-000295,-1.31014339595
ACH-000296,-0.8201188098700001
ACH-000302,-0.99350849658
ACH-000304,-0.956238233476
ACH-000307,-1.1009339935
ACH-000308,-0.8938676437459999
ACH-000310,-1.15815092276
ACH-000311,-1.14332929096
ACH-000312,-1.0153973165
ACH-000315,-1.09789589634
ACH-000316,-1.02533156235
ACH-000317,-1.05790638592
ACH-000318,-1.02612927506
ACH-000319,-1.03805409083
ACH-000320,-1.0890708547299999
ACH-000322,-1.30833327881
ACH-000323,-1.1524439417399999
ACH-000324,-1.0355417061799999
ACH-000329,-0.931639110333
ACH-000330,-0.8712411176549999
ACH-000331,-0.9108544055519999
ACH-000332,-0.5219202105340001
ACH-000334,-1.1936098305399998
ACH-000335,-1.0276266806299998
ACH-000336,-0.7074600321179999
ACH-000337,-1.10339605687
ACH-000339,-0.884113494591
ACH-000341,-0.626937430407
ACH-000348,-0.900530141728
ACH-000350,-1.2488158517
ACH-000352,-1.01289697628
ACH-000356,-0.851741120703
ACH-000361,-0.994416614085
ACH-000362,-1.1562813587
ACH-000363,-1.24008681421
ACH-000364,-0.947148253702
ACH-000365,-0.791128040405
ACH-000366,-0.789448262794
ACH-000368,-0.9669160728389999
ACH-000374,-1.06537820591
ACH-000375,-0.681435918213
ACH-000376,-0.900478983461
ACH-000381,-0.963302808838
ACH-000383,-1.15248411673
ACH-000387,-1.15346485817
ACH-000389,-0.7423227597669999
ACH-000390,-1.11868651453
ACH-000393,-1.2342230422
ACH-000395,-0.968266642802
ACH-000397,-0.9635543106610001
ACH-000401,-0.911000394436
ACH-000402,-0.906404623496
ACH-000403,-1.14456612549
ACH-000404,-1.30058557248
ACH-000406,-0.912776589119
ACH-000407,-1.05024465505
ACH-000408,-1.26467025233
ACH-000410,-0.891086251696
ACH-000411,-0.908578820777
ACH-000414,-1.08499299826
ACH-000415,-0.939700713251
ACH-000416,-1.1170718984399999
ACH-000420,-0.9654034302519999
