,MYT1 (4661)
ACH-000004,0.107741272178
ACH-000007,0.0755554081234
ACH-000009,-0.135955303083
ACH-000011,-0.255520042428
ACH-000012,-0.060433450735800004
ACH-000013,-0.16867902255
ACH-000014,0.00827353334332
ACH-000015,-0.043707576535800007
ACH-000017,-0.0752637881431
ACH-000018,-0.046529394203
ACH-000019,-0.44415236212700004
ACH-000021,-0.00673702447842
ACH-000022,-0.203415744583
ACH-000025,-0.0287335214298
ACH-000028,-0.26019774858100003
ACH-000030,-0.176895165075
ACH-000035,-0.10572890415899999
ACH-000036,-0.13729746952400002
ACH-000037,0.109975479737
ACH-000039,-0.00862407271413
ACH-000040,-0.0275634874804
ACH-000041,-0.0225299967884
ACH-000042,-0.0128783359528
ACH-000045,0.08690298480010002
ACH-000047,-0.24026492971400001
ACH-000052,-0.160292718575
ACH-000053,-0.268011601409
ACH-000054,-0.0838822993909
ACH-000055,-0.111206258734
ACH-000060,-0.012070850862
ACH-000067,-0.060014876879
ACH-000070,-0.194390771543
ACH-000075,-0.0290579637658
ACH-000078,-0.62705682049
ACH-000082,0.0265042415973
ACH-000085,-0.132634804237
ACH-000086,-0.0972222975759
ACH-000087,-0.10641554845000001
ACH-000092,-0.0544594002505
ACH-000095,-0.107717132752
ACH-000097,-0.20057173142
ACH-000098,0.011147239266700002
ACH-000099,0.00822875466426
ACH-000108,-0.0541242531655
ACH-000113,-0.09949290740630001
ACH-000115,-0.856968669623
ACH-000116,0.0876199487472
ACH-000118,0.00456924159416
ACH-000120,-0.272188468427
ACH-000123,-0.15421613453400002
ACH-000127,-0.082195057682
ACH-000128,0.0365827502859
ACH-000132,-0.11384330328600001
ACH-000133,0.00789269377241
ACH-000137,-0.0586679255104
ACH-000138,-0.06446509235209999
ACH-000142,-0.166520071854
ACH-000143,-0.12182655879000001
ACH-000146,-0.271817853114
ACH-000148,-0.144996908236
ACH-000150,-0.12360259271099999
ACH-000152,-0.122848920107
ACH-000153,-0.191071730629
ACH-000159,-0.000443756544994
ACH-000160,-0.198995700546
ACH-000163,-0.0053066674263
ACH-000167,0.110406478399
ACH-000168,0.0113448981794
ACH-000169,-0.246368876795
ACH-000178,-0.0872512821765
ACH-000182,-0.198242396813
ACH-000183,-0.023753093614400003
ACH-000188,-0.08385795039810001
ACH-000189,0.10792340727
ACH-000190,0.0516458692098
ACH-000198,-0.013346783087
ACH-000204,-0.205958944009
ACH-000206,-0.009989811406639999
ACH-000207,-0.19245370397999997
ACH-000211,-0.119274682475
ACH-000215,-0.110369468672
ACH-000221,-0.0744004910596
ACH-000222,-0.051547102924
ACH-000223,-0.164033198603
ACH-000226,-0.015455232642000001
ACH-000227,-0.41534499881700004
ACH-000228,-0.0509015673065
ACH-000231,-0.29215966988000003
ACH-000232,0.00751262820888
ACH-000233,-0.227513576701
ACH-000234,-0.0750981445798
ACH-000235,-0.25542006209199997
ACH-000237,-0.021933734827200003
ACH-000238,-0.23993905334
ACH-000243,-0.013835960536499999
ACH-000244,-0.19249091705200003
ACH-000246,-0.159435347306
ACH-000248,-0.112875062645
ACH-000250,-0.140930984253
ACH-000251,0.301261450342
ACH-000253,-0.18414162509399998
ACH-000255,-0.044996702056900005
ACH-000256,-0.176819184934
ACH-000257,0.0215814094724
ACH-000258,-0.7651714121690001
ACH-000259,-0.621094854905
ACH-000260,-0.127078641381
ACH-000261,-0.09046300415930002
ACH-000262,-0.059069638986099994
ACH-000263,-0.18916758879
ACH-000264,-0.158924966924
ACH-000265,0.0026597288910100002
ACH-000266,-0.128967066672
ACH-000272,-0.155959254439
ACH-000273,-0.0902689715611
ACH-000274,-0.15779286701099998
ACH-000277,-0.300082140112
ACH-000278,-0.172221562306
ACH-000279,-0.0422963474601
ACH-000280,-0.123130862521
ACH-000281,0.016325104421899998
ACH-000288,-0.121952272807
ACH-000291,-0.192368801703
ACH-000293,-0.0591238061904
ACH-000294,-0.22389780455
ACH-000295,-0.21938886917599998
ACH-000296,-0.135383317609
ACH-000302,0.00111308367097
ACH-000304,-0.0559987107601
ACH-000307,-0.152207092761
ACH-000308,-0.201310491004
ACH-000310,-0.127694417419
ACH-000311,-0.21365591304200002
ACH-000312,-0.553605249069
ACH-000315,0.0114696458823
ACH-000316,-0.06371089681919999
ACH-000317,-0.037787936126300006
ACH-000318,-0.0800946088926
ACH-000319,-0.0524308365491
ACH-000320,-0.203981522964
ACH-000322,-0.0398785328921
ACH-000323,-0.00401605118824
ACH-000324,-0.21219493922200003
ACH-000329,-0.060253276842
ACH-000330,-0.24078231904
ACH-000331,-0.0457801931083
ACH-000332,0.0224348731618
ACH-000334,0.20284039751400001
ACH-000335,0.09609430535369999
ACH-000336,0.303399743308
ACH-000337,0.020479066092299998
ACH-000339,-0.0458891560502
ACH-000341,-0.106821743351
ACH-000348,-0.156943247221
ACH-000350,-0.10219325000900001
ACH-000352,-0.404839973948
ACH-000356,-0.00824068627734
ACH-000361,0.0820888068181
ACH-000362,-0.040009517729699996
ACH-000363,-0.259060647461
ACH-000364,0.19541968811299998
ACH-000365,-0.0265584493787
ACH-000366,-0.25111908215100004
ACH-000368,0.0115444230412
ACH-000374,-0.087417174552
ACH-000375,-0.205902913847
ACH-000376,-0.24111409401
ACH-000381,0.00750034156224
ACH-000383,0.013164071041000001
ACH-000387,-0.11051177672800001
ACH-000389,-0.141795575343
ACH-000390,0.0493148604351
ACH-000393,-0.0561090635563
ACH-000395,-0.474599438151
ACH-000397,-0.3244729516
ACH-000401,-0.216275255617
ACH-000402,0.499289614796
ACH-000403,-0.248555912215
ACH-000404,-0.36894902459
ACH-000406,-0.079835002349
ACH-000407,-0.164122349962
ACH-000408,-0.075616371691
ACH-000410,-0.0638846003852
ACH-000411,-0.252275982511
ACH-000414,-0.253517759744
ACH-000415,-0.08992325074549999
ACH-000416,-0.09108592347939999
ACH-000420,-0.059530270078800004
ACH-000421,-0.23406136098000002
ACH-000424,-0.116256516921
ACH-000425,-0.0843976222763
ACH-000426,-0.0463006410438
ACH-000427,-0.228487120942
ACH-000433,0.0977573372729
ACH-000436,-0.0650183427119
ACH-000444,-0.0524940508713
ACH-000445,-0.195151459073
ACH-000448,-0.187256921851
ACH-000450,-0.20635799770399998
ACH-000452,-0.199909112115
ACH-000454,0.212500547973
ACH-000458,-0.128648772852
ACH-000459,0.0671057369699
ACH-000460,-0.133746138584
ACH-000461,0.06631934295780001
ACH-000463,-0.13462430503699999
ACH-000464,-0.139217643924
ACH-000466,-0.104053975461
ACH-000467,-0.297384751567
ACH-000468,-0.108168422707
ACH-000469,-0.187803024448
ACH-000470,-0.07746789545169999
ACH-000471,-0.139158278559
ACH-000472,-0.123994315486
ACH-000473,-0.297061587472
ACH-000475,-0.121382780228
ACH-000476,-0.18074141269299998
ACH-000477,-0.259984305236
ACH-000480,-0.11376126577
ACH-000481,-0.261282779591
ACH-000483,-0.0858397625933
ACH-000484,-0.234625940656
ACH-000485,-0.044276224823400004
ACH-000486,-0.117188034772
ACH-000487,-0.0722385103172
ACH-000488,-0.353752472066
ACH-000490,-0.08272157262419999
ACH-000491,-0.25900756152800003
ACH-000495,0.0743750671868
ACH-000496,-0.145254435387
ACH-000499,0.17487045806499998
ACH-000500,-0.215223279736
ACH-000502,-0.20665539401500002
ACH-000503,0.510296693508
ACH-000505,-0.029192207606200005
ACH-000507,-0.0579321543219
ACH-000510,-0.0308520876694
ACH-000511,-0.07423679372
ACH-000512,-0.11075194697799999
ACH-000516,-0.123176594928
ACH-000517,-0.207080745964
ACH-000518,-0.129755562993
ACH-000520,-0.238477540683
ACH-000521,-0.08619398983860001
ACH-000522,-0.0368969643993
ACH-000524,-0.09416541504489999
ACH-000527,-0.110887611446
ACH-000528,-0.0693988072775
ACH-000537,-0.272944135704
ACH-000541,0.00631916881627
ACH-000542,-0.179001037542
ACH-000544,-0.08298193226049999
ACH-000545,-0.080248067562
ACH-000547,0.0792007585587
ACH-000548,-0.16070205131100002
ACH-000549,-0.0557352291258
