,HIST1H2AE (3012)
ACH-000004,-0.637135776931
ACH-000007,-0.416750004952
ACH-000009,-0.491528448979
ACH-000011,-0.8300666524060001
ACH-000012,-0.632997746603
ACH-000013,-0.488991578706
ACH-000014,-0.698016868744
ACH-000015,-0.399395966879
ACH-000017,-0.98581546406
ACH-000018,-0.565725641341
ACH-000019,-0.656873179043
ACH-000021,-0.382330031221
ACH-000022,-0.35824607171899997
ACH-000025,-0.659839904669
ACH-000028,-0.413013853019
ACH-000030,-0.579050004124
ACH-000035,-0.536422355558
ACH-000036,-0.479157917139
ACH-000037,-0.45526551291100004
ACH-000039,-0.6762891968449999
ACH-000040,-0.675381328076
ACH-000041,-0.5599685052160001
ACH-000042,-0.32796527874000003
ACH-000045,-0.764230286434
ACH-000047,-0.582844221457
ACH-000052,-0.48872701819799996
ACH-000053,-0.559111945645
ACH-000054,-0.533933140365
ACH-000055,-0.7326634833600001
ACH-000060,-0.535729498462
ACH-000067,-0.526846189339
ACH-000070,-0.665549489997
ACH-000075,-0.656559294172
ACH-000078,-0.595213736816
ACH-000082,-0.814583947059
ACH-000085,-0.569666030159
ACH-000086,-0.7056775763099999
ACH-000087,-0.616511586349
ACH-000092,-0.5211231466189999
ACH-000095,-0.647745590767
ACH-000097,-0.518888417287
ACH-000098,-0.5166005815079999
ACH-000099,-0.45556399346999993
ACH-000108,-0.499461844506
ACH-000113,-0.535823700922
ACH-000115,-0.883951101639
ACH-000116,-0.5130979399050001
ACH-000118,-0.5961061445970001
ACH-000120,-0.359809094136
ACH-000123,-0.51710760725
ACH-000127,-0.6183166338620001
ACH-000128,-0.58961472011
ACH-000132,-0.32637351353
ACH-000133,-0.44087634599200004
ACH-000137,-0.36833273504
ACH-000138,-0.615254626795
ACH-000142,-0.520544793245
ACH-000143,-0.627658778694
ACH-000146,-0.555134554476
ACH-000148,-0.444503313482
ACH-000150,-0.7690017434499999
ACH-000152,-0.786913832651
ACH-000153,-0.48863307498
ACH-000159,-0.9111355512039999
ACH-000160,-0.404519509366
ACH-000163,-0.609907716867
ACH-000167,-0.6029976017809999
ACH-000168,-0.678578948294
ACH-000169,-0.6894601083699999
ACH-000178,-0.539911879066
ACH-000182,-0.486217347754
ACH-000183,-0.579822736325
ACH-000188,-0.6686411857419999
ACH-000189,-0.735251804513
ACH-000190,-0.44259085338299997
ACH-000198,-0.699925595011
ACH-000204,-0.529452913185
ACH-000206,-1.1214616031
ACH-000207,-0.575071298994
ACH-000211,-0.34309937949600006
ACH-000215,-0.630494015422
ACH-000221,-0.19660632175700002
ACH-000222,-0.405002725929
ACH-000223,-0.780399247225
ACH-000226,-0.6641217285600001
ACH-000227,-0.523219082545
ACH-000228,-0.26749279237
ACH-000231,-0.6974419007989999
ACH-000232,-0.578997623694
ACH-000233,-0.65631428865
ACH-000234,-0.6640650197469999
ACH-000235,-0.42782066950000003
ACH-000237,-0.6210985648699999
ACH-000238,-0.512287062817
ACH-000243,-0.454622588287
ACH-000244,-0.5097200937049999
ACH-000246,-0.552716092242
ACH-000248,-0.6915639781380001
ACH-000250,-0.5528266449329999
ACH-000251,-0.65804827627
ACH-000253,-0.605507135691
ACH-000255,-0.50937647157
ACH-000256,-0.7468523378749999
