,RUVBL1 (8607)
ACH-000004,-2.22131152275
ACH-000007,-1.97860310925
ACH-000009,-1.82194987628
ACH-000011,-1.73804997911
ACH-000012,-1.87626143504
ACH-000013,-1.8564501532
ACH-000014,-1.91386988426
ACH-000015,-1.85158227083
ACH-000017,-1.8718914151400003
ACH-000018,-1.9253689519400001
ACH-000019,-2.05201935537
ACH-000021,-1.8665114509099998
ACH-000022,-2.03444510745
ACH-000025,-1.85483131896
ACH-000028,-1.84158717873
ACH-000030,-1.6859361000000002
ACH-000035,-1.66607686959
ACH-000036,-1.6111496269999999
ACH-000037,-2.67418837921
ACH-000039,-2.09017528018
ACH-000040,-1.8189040619099999
ACH-000041,-2.03761340639
ACH-000042,-1.86042765162
ACH-000045,-2.05417483209
ACH-000047,-1.6450484863100001
ACH-000052,-1.57119793438
ACH-000053,-1.90070932903
ACH-000054,-1.70046037239
ACH-000055,-1.7967136895900002
ACH-000060,-1.71379450419
ACH-000067,-1.5980271377700002
ACH-000070,-2.10543955545
ACH-000075,-1.82049236289
ACH-000078,-2.06244816943
ACH-000082,-2.2056793817
ACH-000085,-1.59087385699
ACH-000086,-1.6041401453400002
ACH-000087,-1.88323682757
ACH-000092,-1.7389636529599997
ACH-000095,-2.0524899442400004
ACH-000097,-1.89621827291
ACH-000098,-1.67094876979
ACH-000099,-2.00710074526
ACH-000108,-1.6454661471799998
ACH-000113,-1.9779884942800001
ACH-000115,-2.19047158439
ACH-000116,-1.81126306208
ACH-000118,-1.5208675740000002
ACH-000120,-1.6557141630899999
ACH-000123,-1.8087445048599997
ACH-000127,-1.8425542924200002
ACH-000128,-1.71941560215
ACH-000132,-1.76722955464
ACH-000133,-1.68468701454
ACH-000137,-1.7557642657199999
ACH-000138,-1.71287774691
ACH-000142,-1.6220438826199999
ACH-000143,-1.86055074784
ACH-000146,-2.34836343416
ACH-000148,-1.9220542767900002
ACH-000150,-1.7978348422400001
ACH-000152,-1.7593408469799998
ACH-000153,-2.0637354561500003
ACH-000159,-1.7350081340099999
ACH-000160,-1.34437799238
ACH-000163,-1.95911552651
ACH-000167,-1.64568654146
ACH-000168,-1.4469416078
ACH-000169,-1.56707851925
ACH-000178,-1.67637088607
ACH-000182,-1.8561892799900002
ACH-000183,-1.79610414349
ACH-000188,-1.96237572435
ACH-000189,-1.21890822611
ACH-000190,-1.3653776995
ACH-000198,-1.9384700968700002
