,NUTM2B (729262)
ACH-000004,-0.05467677331450001
ACH-000007,0.215264260185
ACH-000009,-0.06808431153469999
ACH-000011,-0.223624659041
ACH-000012,-0.116744182942
ACH-000013,0.11555740043500001
ACH-000014,0.0561254252129
ACH-000015,-0.25816027471
ACH-000017,0.19812948693
ACH-000018,-0.020027953891900003
ACH-000019,0.319609323814
ACH-000021,-0.158268530306
ACH-000022,-0.159376145842
ACH-000025,-0.201202869318
ACH-000028,-0.247914690482
ACH-000030,-0.26390282590999997
ACH-000035,-0.0914149006101
ACH-000036,0.0537238820881
ACH-000037,0.07512392240889999
ACH-000039,0.0626720452666
ACH-000040,-0.178164739769
ACH-000041,-0.266394747888
ACH-000042,0.010262158329299999
ACH-000045,-0.284154834182
ACH-000047,-0.08816106973030001
ACH-000052,-0.368594487304
ACH-000053,0.0694550892389
ACH-000054,-0.33779169918799995
ACH-000055,0.066609673502
ACH-000060,-0.012542887320999998
ACH-000067,-0.231387667537
ACH-000070,0.0086322378125
ACH-000075,-0.368763895839
ACH-000078,-0.176040649669
ACH-000082,-0.18292503154
ACH-000085,-0.143405287502
ACH-000086,-0.150322949912
ACH-000087,-0.242026241305
ACH-000092,0.166152371608
ACH-000095,-0.0320217353437
ACH-000097,-0.204700816006
ACH-000098,-0.150890046555
ACH-000099,-0.0637243872852
ACH-000108,-0.183269068435
ACH-000113,-0.09573754461419999
ACH-000115,0.11144675576999999
ACH-000116,0.006969343720270001
ACH-000118,-0.0498818338622
ACH-000120,0.08918780669910001
ACH-000123,-0.026072641434
ACH-000127,-0.0601240068626
ACH-000128,-0.11127561778799999
ACH-000132,0.0388637555774
ACH-000133,-0.0215031492679
ACH-000137,-0.00022791573563900002
ACH-000138,-0.0103635043912
ACH-000142,0.09984822704910001
ACH-000143,0.147756006946
ACH-000146,-0.015432863082999999
ACH-000148,-0.211355625057
ACH-000150,-0.20083134336300001
ACH-000152,-0.246053369108
ACH-000153,0.0972061330288
ACH-000159,-0.165601517492
ACH-000160,0.07971394959710001
ACH-000163,-0.224585000821
ACH-000167,-0.769792266671
ACH-000168,-0.19375129221700002
ACH-000169,-0.165997253959
ACH-000178,-0.132544240348
ACH-000182,-0.0909637129744
ACH-000183,-0.0128326241365
ACH-000188,-0.293504005756
ACH-000189,-0.168010494718
ACH-000190,-0.000631083172542
ACH-000198,-0.00440516176846
ACH-000204,0.0823286558072
