,CGN (57530)
ACH-000004,-0.195482090858
ACH-000007,0.0434838766298
ACH-000009,-0.33930944803400004
ACH-000011,0.108123753228
ACH-000012,-0.0597097535509
ACH-000013,-0.188277533928
ACH-000014,0.1421641865
ACH-000015,-0.0808912929041
ACH-000017,0.0614811889177
ACH-000018,-0.241971433462
ACH-000019,-0.156195063479
ACH-000021,-0.08628587037460002
ACH-000022,0.07787777959969999
ACH-000025,-0.194894928208
ACH-000028,-0.19761437073
ACH-000030,-0.0810975719079
ACH-000035,-0.00599326098735
ACH-000036,-0.11541629921499999
ACH-000037,-0.0255273559502
ACH-000039,0.0661807883548
ACH-000040,-0.00783940582116
ACH-000041,0.109923740942
ACH-000042,-0.118076671337
ACH-000045,-0.0230205669916
ACH-000047,-0.10179640624399999
ACH-000052,0.213315362975
ACH-000053,-0.134972048955
ACH-000054,-0.009940677175559999
ACH-000055,-0.192018690532
ACH-000060,-0.19755761967099997
ACH-000067,-0.05099818616309999
ACH-000070,-0.0781580333069
ACH-000075,-0.0660334290018
ACH-000078,-0.10146549400900001
ACH-000082,-0.140426231078
ACH-000085,-0.184147228011
ACH-000086,-0.09054859884410002
ACH-000087,0.21162964272999998
ACH-000092,-0.0149589870793
ACH-000095,-0.033676777845200005
ACH-000097,-0.10269555146600001
ACH-000098,-0.0626753370602
ACH-000099,0.012798514654
ACH-000108,-0.06451027149680001
ACH-000113,-0.0798487087134
ACH-000115,0.07085141422069999
ACH-000116,-0.158347094596
ACH-000118,-0.133865556088
ACH-000120,-0.20586163366500002
ACH-000123,-0.047880147238
ACH-000127,-0.0586334251439
ACH-000128,-0.039426209215
ACH-000132,0.0683552150825
ACH-000133,-0.0919947381015
ACH-000137,-0.258852864041
ACH-000138,-0.14603026637
ACH-000142,-0.122394903825
ACH-000143,-0.191674688885
ACH-000146,-0.131273096458
ACH-000148,-0.17789601711199998
ACH-000150,0.159205201821
ACH-000152,-0.0571371079593
ACH-000153,-0.062299571265
ACH-000159,-0.017588895541599998
ACH-000160,-0.137130481089
ACH-000163,-0.0410953900129
ACH-000167,-0.0579575832429
ACH-000168,0.193235808552
ACH-000169,0.0991214009925
ACH-000178,0.124954300285
ACH-000182,-0.12327578740499999
ACH-000183,-0.0935477270321
ACH-000188,0.025077773138299998
ACH-000189,-0.25766812725099997
ACH-000190,-0.0006234829573840001
ACH-000198,0.037198422886600004
ACH-000204,-0.517538123882
ACH-000206,-0.045042966254400005
ACH-000207,0.153991863721
ACH-000211,-0.08613688216710001
ACH-000215,-0.073532376223
ACH-000221,-0.125540874472
ACH-000222,-0.0293868563962
ACH-000223,-0.030268886395400003
ACH-000226,-0.0808116673144
ACH-000227,-0.0164583302831
ACH-000228,-0.16211880356
ACH-000231,-0.042881420871400004
ACH-000232,-0.09895310935039998
ACH-000233,-0.303946603226
ACH-000234,-0.0751413764487
ACH-000235,-0.32489034293200003
ACH-000237,-0.058890278104699996
ACH-000238,-0.158927306167
ACH-000243,-0.000805988983393
ACH-000244,-0.13962222431399998
