,MOG (4340)
ACH-000004,-0.445952215621
ACH-000007,-0.497718715421
ACH-000009,-0.722213320301
ACH-000011,-0.651141474742
ACH-000012,-0.463790515801
ACH-000013,-0.6142033802310001
ACH-000014,-0.46850392724
ACH-000015,-0.5852512340330001
ACH-000017,-0.721867550462
ACH-000018,-0.8839297001459999
ACH-000019,-0.815609044162
ACH-000021,-0.569759355898
ACH-000022,-0.637647513307
ACH-000025,-0.9606447953389999
ACH-000028,-0.46363058259499995
ACH-000030,-0.570200862718
ACH-000035,-0.660168393099
ACH-000036,-0.587211062551
ACH-000037,-0.9946532691709999
ACH-000039,-0.668091379148
ACH-000040,-0.608739245715
ACH-000041,-0.6383954466480001
ACH-000042,-0.733649946654
ACH-000045,-0.554681012749
ACH-000047,-0.796507975168
ACH-000052,-0.6267084560980001
ACH-000053,-0.579198430552
ACH-000054,-0.864063096103
ACH-000055,-0.572937586929
ACH-000060,-0.540688548045
ACH-000067,-0.45966200180399996
ACH-000070,-0.939081226065
ACH-000075,-0.636324817883
ACH-000078,-0.609626321519
ACH-000082,-0.680462521264
ACH-000085,-1.06229303479
ACH-000086,-0.404636249299
ACH-000087,-0.656501205548
ACH-000092,-0.6463598679720001
ACH-000095,-0.627713758103
ACH-000097,-0.5811398192930001
ACH-000098,-0.579160820951
ACH-000099,-0.621138486636
ACH-000108,-0.763483382871
ACH-000113,-0.6864718668430001
ACH-000115,-1.00758246064
ACH-000116,-0.705634198354
ACH-000118,-0.598277244371
ACH-000120,-0.403667264949
ACH-000123,-0.468829977249
ACH-000127,-0.8435102224259999
ACH-000128,-0.595026135032
ACH-000132,-0.559555081034
ACH-000133,-0.569717996843
ACH-000137,-0.595031129343
ACH-000138,-0.738834728329
ACH-000142,-0.72017951603
ACH-000143,-0.677488257658
ACH-000146,-0.8913763607140001
ACH-000148,-0.632186350991
ACH-000150,-0.37162159003899997
ACH-000152,-0.477227953825
ACH-000153,-0.367060742557
ACH-000159,-0.706767916056
ACH-000160,-0.592956671992
ACH-000163,-0.576336873979
ACH-000167,-1.03737264958
ACH-000168,-0.394528239897
ACH-000169,-0.573887071156
ACH-000178,-0.592237758473
ACH-000182,-0.7096125815719999
ACH-000183,-0.562946846507
ACH-000188,-1.04777000212
ACH-000189,-0.169516088047
ACH-000190,-0.540144276908
ACH-000198,-0.503834702702
ACH-000204,-0.6845455154000001
ACH-000206,-0.9536963984010001
ACH-000207,-0.49782844963999995
ACH-000211,-0.56502823627
ACH-000215,-1.0094400182799999
ACH-000221,-0.599587582179
ACH-000222,-0.605133284557
ACH-000223,-0.683715840952
ACH-000226,-0.85320294496
ACH-000227,-0.523377420079
ACH-000228,-0.817824361627
ACH-000231,-0.5604742249710001
ACH-000232,-0.8015640405259999
ACH-000233,-0.504240999838
ACH-000234,-0.48788354800899997
ACH-000235,-0.713259463534
ACH-000237,-0.733375773602
ACH-000238,-0.778393948427
ACH-000243,-0.5498491412259999
ACH-000244,-0.884337919199
ACH-000246,-0.647983019826
ACH-000248,-0.26332006052900003
ACH-000250,-0.7588001667350001
ACH-000251,-0.638512724795
ACH-000253,-0.786779071955
ACH-000255,-0.6691886277970001
ACH-000256,-0.263010353207
ACH-000257,-0.52230105374
ACH-000258,-0.507294293208
ACH-000259,-0.715340434249
