,SEMA3E (9723)
ACH-000004,-0.0369427315577
ACH-000007,0.137260341141
ACH-000009,0.0460660529206
ACH-000011,-0.019294176697400002
ACH-000012,0.0649553795217
ACH-000013,0.038437836521900005
ACH-000014,-0.149548003558
ACH-000015,-0.0342861299344
ACH-000017,0.048018941481800005
ACH-000018,-0.09357149105080001
ACH-000019,-0.141978241004
ACH-000021,-0.18373346549300001
ACH-000022,-0.05754193385419999
ACH-000025,-0.0371492879322
ACH-000028,0.08075769386699999
ACH-000030,-0.021605285750599997
ACH-000035,-0.156683497806
ACH-000036,-0.223970328208
ACH-000037,0.1460895548
ACH-000039,0.00955320898082
ACH-000040,0.021597477437
ACH-000041,-0.061856806120300006
ACH-000042,-0.018455938093299998
ACH-000045,-0.09113730844699999
ACH-000047,0.0204223182355
ACH-000052,-0.13863247138
ACH-000053,-0.0568214018036
ACH-000054,0.0547120504206
ACH-000055,-0.10427616962000001
ACH-000060,-0.132913045048
ACH-000067,-0.199160798565
ACH-000070,-0.0442556373616
ACH-000075,0.10449973992999999
ACH-000078,-0.10165290575300001
ACH-000082,-0.039506343693
ACH-000085,-0.0306981578854
ACH-000086,0.0320911396012
ACH-000087,-0.050924044708
ACH-000092,-0.029368627784599997
ACH-000095,-0.05419034467659999
ACH-000097,-0.055722932251199994
ACH-000098,-0.13532248465399999
ACH-000099,-0.061481881706999995
ACH-000108,0.019376051743700003
ACH-000113,-0.0596966648092
ACH-000115,0.0812838284808
ACH-000116,-0.024175965895599998
ACH-000118,-0.0199298019672
ACH-000120,-0.0422880032841
ACH-000123,-0.049811692571900004
ACH-000127,-0.181884241336
ACH-000128,-0.0320954365943
ACH-000132,0.07101492438410001
ACH-000133,0.132987646904
ACH-000137,0.0559158889198
ACH-000138,-0.0564766709306
ACH-000142,-0.07371803427460001
ACH-000143,-0.10156596488
ACH-000146,0.009851779915790001
ACH-000148,-0.0354015194741
ACH-000150,0.12821780105
ACH-000152,-0.0838359163492
ACH-000153,-0.0563125224524
ACH-000159,-0.10755444238600001
ACH-000160,-0.280958123059
ACH-000163,0.235238694263
ACH-000167,0.218448153587
ACH-000168,-0.363166508398
ACH-000169,-0.139987661077
ACH-000178,-0.0109526131917
ACH-000182,0.09833722541260001
ACH-000183,-0.045148417117999995
ACH-000188,-0.0858043782632
ACH-000189,-0.0224548956025
ACH-000190,-0.159954397084
ACH-000198,-0.0364168953898
ACH-000204,0.19950826616999998
ACH-000206,0.17957966079999998
ACH-000207,0.19222173202
ACH-000211,-0.07043117591350001
ACH-000215,0.10580026829900001
ACH-000221,-0.246403582376
ACH-000222,0.052958786140400005
ACH-000223,0.0191004494722
ACH-000226,-0.20842734956599998
ACH-000227,-0.160816157855
ACH-000228,0.09804969686010001
ACH-000231,0.022484063235
ACH-000232,-0.168396295971
ACH-000233,0.033901923246400005
ACH-000234,1.03427518677e-05
ACH-000235,0.057403569050000006
ACH-000237,-0.12325323403300001
ACH-000238,-0.051020492050999997
ACH-000243,-0.009323174642780001
ACH-000244,-0.16376434467700002
ACH-000246,0.055650875685000004
ACH-000248,0.029014326087700004
ACH-000250,-0.0284557487812
ACH-000251,0.17380725341400002
ACH-000253,0.0704999141667
ACH-000255,0.009733669380260001
ACH-000256,-0.14205442670399998
ACH-000257,0.038891759841
ACH-000258,-0.165274759488
ACH-000259,0.00757061642235
ACH-000260,-0.0257623836797
ACH-000261,-0.0835728208016
ACH-000262,0.181560620881
ACH-000263,0.208128558239
ACH-000264,-0.16617084672000001
ACH-000265,0.051665230869199996
ACH-000266,0.0183345137779
ACH-000272,-0.141282392802
ACH-000273,-0.0401376732243
ACH-000274,-0.0115520621575
ACH-000277,0.116146367261
ACH-000278,-0.15533991236400002
ACH-000279,0.100286432678
ACH-000280,0.12256944382099999
ACH-000281,0.18938287899300002
ACH-000288,0.124986758585
ACH-000291,-0.11602456821900001
ACH-000293,-0.0178712136788
ACH-000294,-0.097431168371
ACH-000295,-0.144379888632
ACH-000296,-0.023609354886599997
ACH-000302,-0.0011381385193199999
ACH-000304,0.0690076340101
ACH-000307,0.0675797179099
ACH-000308,-0.00266518530378
ACH-000310,-0.147823504533
ACH-000311,-0.0036288403697199998
ACH-000312,0.0436598590519
ACH-000315,-0.155986606908
ACH-000316,0.00988609213306
ACH-000317,-0.0839890862847
ACH-000318,-0.014723157775600001
ACH-000319,-0.05110648059230001
ACH-000320,-0.0832968547019
ACH-000322,-0.137988700137
ACH-000323,-0.0363511128587
ACH-000324,0.0246410504206
ACH-000329,0.128451692953
ACH-000330,-0.11248790306600001
ACH-000331,-0.0228118526773
ACH-000332,0.0505196610601
ACH-000334,0.148884525427
ACH-000335,0.0524978367614
ACH-000336,0.0280370920371
ACH-000337,-0.029687874578499997
ACH-000339,-0.112188717979
ACH-000341,-0.0599167967952
ACH-000348,0.0281824500641
ACH-000350,0.176540439674
ACH-000352,0.0802977744355
ACH-000356,-0.0909690056015
ACH-000361,-0.07901241088380001
ACH-000362,-0.12712369558800002
ACH-000363,-0.012562430076600002
ACH-000364,-0.128707203524
ACH-000365,-0.193101177619
ACH-000366,-0.161318919248
ACH-000368,0.031520289493
ACH-000374,-0.126812578377
ACH-000375,-0.033917409469
ACH-000376,-0.0682803951076
ACH-000381,0.0214045318628
ACH-000383,-0.06616714017030001
ACH-000387,-0.0165706538074
ACH-000389,-0.0220502098916
ACH-000390,-0.16814970928
ACH-000393,0.000521682770018
ACH-000395,0.0347704842407
ACH-000397,0.0785975316078
ACH-000401,0.15764582169299998
ACH-000402,-0.334278356715
ACH-000403,0.006435042325609999
ACH-000404,-0.007426499656220001
ACH-000406,-0.0123378001468
ACH-000407,-0.06209930259319999
ACH-000408,-0.290471069252
ACH-000410,0.112528568924
ACH-000411,0.023600227941299998
ACH-000414,-0.0884239264479
ACH-000415,-0.163389721011
